,Name,Team,Creativity per fixture,Creativity per game,Creativity GW14,Creativity GW13,Creativity GW12,Creativity GW11,Creativity GW10,Creativity GW9,Creativity GW8,Creativity GW7,Creativity GW6,Creativity GW5,Creativity GW4,Creativity GW3,Creativity GW2,Creativity GW1
1,Kevin De Bruyne,Man City,55.92857142857143,60.23076923076923,91.1,38.1,52.1,61.9,91.1,34.8,0.0,33.6,109.4,36.8,26.7,42.3,127.7,37.4
2,Trent Alexander-Arnold,Liverpool,49.87142857142856,49.87142857142856,30.5,61.9,30.3,53.4,100.3,33.2,69.1,7.7,29.8,102.6,33.3,80.3,29.5,36.3
3,Lucas Digne,Everton,40.49285714285714,40.49285714285714,53.5,55.8,58.8,57.3,42.5,49.6,26.8,26.4,19.3,40.8,36.5,53.4,29.8,16.4
4,James Maddison,Leicester,35.75,38.5,24.5,51.0,48.3,110.8,20.4,32.6,14.3,0.0,30.9,9.3,19.7,37.0,52.5,49.2
5,Emiliano Buendía,Norwich,33.00714285714286,33.00714285714286,38.8,0.1,5.6,44.8,25.6,56.8,38.8,45.8,15.3,40.1,5.3,41.8,62.8,40.5
6,Pascal Groß,Brighton,32.91428571428571,35.44615384615384,28.8,0.0,16.8,41.8,2.5,69.7,58.0,33.5,41.3,69.1,0.8,14.9,72.7,10.9
7,João Filipe Iria Santos Moutinho,Wolves,29.921428571428574,29.921428571428574,48.4,43.8,30.3,56.1,31.4,4.6,16.0,7.3,17.3,58.0,0.9,36.2,38.8,29.8
8,Jack Grealish,Aston Villa,29.642857142857142,34.583333333333336,14.9,75.4,0.0,0.0,2.5,69.2,27.5,36.1,46.3,33.7,3.8,13.5,70.0,22.1
9,Gylfi Sigurdsson,Everton,27.592857142857145,27.592857142857145,16.6,21.8,42.8,1.2,1.4,0.8,28.2,67.3,58.0,14.7,71.6,23.0,25.8,13.1
10,Raheem Sterling,Man City,26.542857142857144,28.584615384615386,34.8,4.4,4.9,49.6,37.3,41.8,18.1,52.3,0.0,57.8,14.5,12.8,30.6,12.7
11,Sadio Mané,Liverpool,26.364285714285717,26.364285714285717,32.9,24.7,22.3,45.7,32.6,36.3,16.5,3.6,3.4,26.0,16.6,51.2,56.0,1.3
12,Mason Mount,Chelsea,25.750000000000004,25.750000000000004,32.9,0.6,33.8,14.4,23.7,19.4,23.4,27.6,16.8,44.8,18.0,30.2,23.1,51.8
13,Youri Tielemans,Leicester,25.185714285714283,25.185714285714283,20.7,13.9,44.6,17.5,47.5,37.2,4.3,25.3,29.3,9.7,31.9,35.2,4.8,30.7
14,John Fleck,Sheffield Utd,24.650000000000002,28.758333333333336,35.0,33.5,25.7,16.8,43.3,46.8,11.2,33.0,16.6,39.2,0.0,0.0,15.5,28.5
15,James Ward-Prowse,Southampton,24.0,24.0,4.6,41.3,27.8,1.3,6.1,45.3,25.9,19.8,38.3,30.5,18.6,31.9,29.5,15.1
16,Oliver Norwood,Sheffield Utd,23.671428571428574,23.671428571428574,16.6,23.0,18.2,2.8,4.9,15.7,43.0,19.4,0.8,54.8,17.3,31.8,61.8,21.3
17,Andrew Robertson,Liverpool,23.57857142857143,23.57857142857143,5.7,23.3,29.7,24.1,32.0,33.2,16.9,17.0,16.7,33.7,5.0,49.8,18.3,24.7
18,Ilkay Gündogan,Man City,23.442857142857147,25.24615384615385,26.3,10.3,36.0,42.4,31.8,42.3,41.2,14.8,0.0,23.3,2.3,13.4,40.3,3.8
19,Dwight McNeil,Burnley,23.292857142857144,23.292857142857144,33.9,25.8,66.0,1.3,26.3,17.2,2.3,30.2,35.0,6.3,19.3,30.4,26.8,5.3
20,Gerard Deulofeu,Watford,21.87142857142857,21.87142857142857,2.8,59.3,13.3,26.5,7.6,12.1,11.3,12.9,0.3,92.0,1.0,32.3,29.3,5.5
21,Manuel Lanzini,West Ham,21.842857142857145,27.8,0.0,0.0,11.1,27.0,15.2,9.3,7.3,22.0,0.0,16.8,59.4,82.1,48.8,6.8
22,Ashley Young,Man Utd,21.635714285714283,33.65555555555555,0.0,0.0,0.0,17.2,16.8,5.1,88.1,39.3,10.0,29.7,14.4,82.3,0.0,0.0
23,Ashley Westwood,Burnley,21.550000000000004,23.207692307692312,0.0,9.6,16.8,18.8,3.2,31.9,39.4,19.6,50.3,32.4,15.3,30.3,22.6,11.5
24,Riyad Mahrez,Man City,20.95714285714286,29.340000000000003,9.2,16.9,0.0,0.0,0.0,0.0,4.9,59.7,51.8,18.8,66.3,13.6,1.0,51.2
25,Willian Borges Da Silva,Chelsea,20.592857142857145,22.176923076923078,7.5,14.2,56.3,54.1,35.3,44.8,41.8,14.2,9.6,6.4,2.8,0.3,1.0,0.0
26,David Silva,Man City,20.514285714285712,22.092307692307692,50.4,17.7,0.0,5.7,31.8,27.9,17.2,0.3,21.9,9.6,42.4,29.4,0.6,32.3
27,Heung-Min Son,Spurs,20.457142857142856,23.866666666666664,51.2,37.0,29.5,12.8,2.5,4.7,2.4,34.8,36.2,15.4,24.7,35.2,0.0,0.0
28,Diego Rico,Bournemouth,20.235714285714288,25.754545454545454,31.3,15.6,1.8,9.9,16.5,39.3,19.2,86.3,15.0,31.8,0.0,0.0,0.0,16.6
29,Raúl Jiménez,Wolves,20.17142857142857,20.17142857142857,29.8,24.2,46.3,14.4,32.3,3.6,31.0,12.0,41.6,5.3,2.8,24.4,2.5,12.2
30,Nicolas Pépé,Arsenal,20.142857142857142,23.5,0.0,1.7,1.1,0.0,67.0,35.8,19.6,6.0,61.8,14.2,29.2,17.7,26.3,1.6
31,John McGinn,Aston Villa,20.078571428571426,20.078571428571426,32.0,14.8,17.2,17.9,2.1,37.8,18.2,23.8,12.0,14.1,30.6,16.8,30.4,13.4
32,Luka Milivojevic,Crystal Palace,19.892857142857142,21.423076923076923,7.3,11.7,15.5,15.1,3.4,1.6,0.0,22.2,20.1,32.8,101.3,10.9,21.8,14.8
33,Marcus Rashford,Man Utd,19.814285714285713,19.814285714285713,17.1,20.1,28.0,24.9,29.3,12.0,24.2,23.1,12.5,16.0,21.8,18.3,25.2,4.9
34,Benjamin Chilwell,Leicester,19.61428571428571,22.88333333333333,28.9,31.7,27.3,13.0,76.8,5.6,4.7,27.2,12.6,4.5,25.6,0.0,0.0,16.7
35,Robert Snodgrass,West Ham,19.37857142857143,30.144444444444446,42.3,67.7,14.0,73.3,36.5,0.0,0.0,0.0,0.0,0.0,16.2,0.0,5.5,15.8
36,Felipe Anderson Pereira Gomes,West Ham,19.142857142857142,20.615384615384617,6.6,1.1,9.6,53.8,8.3,4.3,16.4,27.8,27.0,33.9,37.3,40.3,0.0,1.6
37,Bernardo Mota Veiga de Carvalho e Silva,Man City,18.33571428571429,21.39166666666667,1.3,0.0,24.3,25.1,47.8,42.5,4.9,0.3,33.0,33.2,1.1,21.8,21.4,0.0
38,Ryan Fraser,Bournemouth,18.178571428571427,19.576923076923077,17.3,16.8,31.3,24.3,37.1,7.6,16.0,0.0,0.1,3.3,42.6,2.0,31.4,24.7
39,Adama Traoré,Wolves,18.05714285714286,19.446153846153848,16.7,34.3,18.8,27.3,33.6,3.7,14.3,20.5,49.8,15.8,1.3,0.8,15.9,0.0
40,Mohamed Salah,Liverpool,17.650000000000002,20.59166666666667,12.7,0.0,3.3,1.2,15.3,0.0,37.7,13.3,15.3,41.8,38.4,16.6,11.8,39.7
41,Andreas Pereira,Man Utd,17.47142857142857,18.815384615384616,34.1,3.3,36.1,11.7,45.5,31.9,5.0,22.3,17.8,13.3,3.2,0.0,0.3,20.1
42,Roberto Firmino,Liverpool,17.321428571428573,17.321428571428573,3.1,4.0,11.0,45.5,14.8,5.8,26.5,14.9,12.6,49.6,26.9,5.8,7.2,14.8
43,Todd Cantwell,Norwich,17.135714285714286,17.135714285714286,21.8,11.9,14.2,1.3,11.3,13.8,37.3,2.5,15.5,12.8,3.1,2.2,58.3,33.9
44,Abdoulaye Doucouré,Watford,16.707142857142852,16.707142857142852,12.8,25.0,2.8,29.2,13.3,11.7,7.5,5.3,1.0,39.8,3.7,46.5,12.2,23.1
45,Daniel James,Man Utd,16.4,16.4,27.6,17.7,23.0,37.5,28.4,26.2,3.7,3.4,16.5,1.4,33.0,4.3,6.4,0.5
46,Mesut Özil,Arsenal,16.021428571428572,44.86,71.3,60.7,18.7,54.8,0.0,0.0,0.0,0.0,0.0,18.8,0.0,0.0,0.0,0.0
47,César Azpilicueta,Chelsea,15.885714285714286,18.533333333333335,0.0,13.3,0.0,8.0,13.2,5.3,2.2,12.1,54.9,12.5,31.6,22.0,30.5,16.8
48,Anwar El Ghazi,Aston Villa,15.828571428571427,17.046153846153846,14.0,24.5,31.1,26.2,0.3,3.3,36.0,2.0,30.1,37.2,0.0,0.5,11.1,5.3
49,Christian Pulisic,Chelsea,15.621428571428572,19.881818181818183,29.3,16.6,38.1,10.3,40.8,14.3,13.5,0.0,0.0,0.0,4.1,36.4,3.5,11.8
50,Ricardo Domingos Barbosa Pereira,Leicester,15.442857142857145,15.442857142857145,29.7,5.1,16.8,2.2,7.4,67.7,3.3,18.4,12.3,2.9,13.7,3.3,7.2,26.2
51,Pierre-Emile Højbjerg,Southampton,15.435714285714285,16.623076923076923,18.7,22.6,0.0,1.3,33.8,31.8,30.2,8.0,6.8,39.3,14.5,2.8,5.2,1.1
52,Joshua King,Bournemouth,15.364285714285714,17.925,0.0,0.0,19.9,21.1,25.6,20.8,13.0,17.0,3.2,42.9,22.5,13.2,3.5,12.4
53,Harvey Barnes,Leicester,15.35,16.53076923076923,5.4,28.3,19.0,1.3,50.3,38.4,0.8,23.9,23.3,1.3,15.7,5.1,0.0,2.1
54,Jorge Luiz Frello Filho,Chelsea,15.292857142857144,16.46923076923077,2.6,3.2,0.0,36.3,3.9,20.2,3.6,42.4,17.8,38.8,22.4,13.6,5.0,4.3
55,Teemu Pukki,Norwich,15.278571428571428,15.278571428571428,11.6,11.3,38.1,14.0,2.3,13.8,31.1,33.0,2.4,10.8,0.9,10.8,12.6,21.2
56,Matteo Guendouzi,Arsenal,15.257142857142856,15.257142857142856,15.4,19.8,12.6,12.8,22.5,15.1,20.4,4.5,37.8,14.9,18.1,1.4,3.9,14.4
57,Pierre-Emerick Aubameyang,Arsenal,15.071428571428571,15.071428571428571,22.3,11.1,30.3,10.6,12.4,4.7,12.8,25.7,1.6,2.2,26.6,25.3,18.9,6.5
58,Leandro Trossard,Brighton,15.014285714285716,26.275000000000002,12.0,14.3,28.8,53.7,14.3,0.0,0.0,0.0,0.0,0.0,3.8,81.0,2.3,0.0
59,Wilfried Zaha,Crystal Palace,14.971428571428573,14.971428571428573,29.5,9.7,11.9,22.2,6.6,14.8,14.9,58.7,6.5,2.2,15.0,2.0,14.8,0.8
60,Enda Stevens,Sheffield Utd,14.957142857142856,14.957142857142856,17.7,18.6,17.4,26.2,13.8,2.8,7.7,47.4,1.7,23.7,12.3,3.8,13.2,3.1
61,José Holebas,Watford,14.842857142857142,18.89090909090909,33.9,11.2,27.6,0.0,0.0,4.3,1.6,21.4,10.5,20.8,0.0,44.8,27.9,3.8
62,Andriy Yarmolenko,West Ham,14.76428571428572,15.900000000000006,0.1,1.2,17.5,0.6,48.6,14.8,18.6,29.3,14.8,12.8,24.3,22.8,1.3,0.0
63,Callum Wilson,Bournemouth,14.692857142857141,14.692857142857141,13.4,13.4,2.5,22.3,4.4,14.6,22.7,12.3,0.8,1.0,23.4,20.5,52.1,2.3
64,Christian Eriksen,Spurs,14.528571428571427,18.49090909090909,0.0,0.1,0.0,9.1,6.4,0.0,5.3,37.6,5.4,29.7,28.7,26.6,13.7,40.8
65,John Lundstram,Sheffield Utd,14.528571428571427,14.528571428571427,7.8,7.3,15.8,15.9,12.8,13.4,27.5,16.3,15.4,14.0,2.4,9.1,18.5,27.2
66,Erik Lamela,Spurs,14.464285714285714,22.5,0.0,0.0,0.0,0.0,0.0,27.2,24.9,11.8,39.6,19.2,11.9,14.5,15.1,38.3
67,Richarlison de Andrade,Everton,14.457142857142857,14.457142857142857,33.3,1.8,12.8,4.2,23.8,18.3,11.4,1.6,17.3,40.9,13.3,3.0,0.4,20.3
68,Alex Iwobi,Everton,14.214285714285717,16.583333333333336,16.3,22.4,13.9,13.8,4.5,27.3,18.9,31.8,13.3,14.3,15.7,6.8,0.0,0.0
69,Fabio Henrique Tavares,Liverpool,14.200000000000001,16.566666666666666,0.0,6.3,1.1,0.0,33.0,24.6,6.7,16.5,16.4,18.3,12.8,51.0,0.3,11.8
70,Rodrigo Hernandez,Man City,14.149999999999997,16.50833333333333,1.3,12.2,4.7,0.0,0.0,14.8,50.2,24.9,14.3,27.7,18.7,2.0,24.2,3.1
71,Joelinton Cássio Apolinário de Lira,Newcastle,14.135714285714286,14.135714285714286,11.8,25.7,12.8,14.2,13.2,5.2,12.3,1.3,23.8,24.4,14.1,24.3,12.3,2.5
72,Oleksandr Zinchenko,Man City,14.092857142857143,28.185714285714287,0.0,0.0,0.0,0.0,0.0,0.0,49.0,18.4,0.0,14.6,7.2,65.3,17.8,25.0
73,Mateo Kovacic,Chelsea,13.764285714285716,13.764285714285716,18.5,22.8,16.6,24.4,16.3,3.0,0.6,21.2,4.3,4.3,4.8,26.5,0.4,29.0
