,Name,Team,Threat per fixture,Threat per game,Threat GW13,Threat GW12,Threat GW11,Threat GW10,Threat GW9,Threat GW8,Threat GW7,Threat GW6,Threat GW5,Threat GW4,Threat GW3,Threat GW2,Threat GW1
1,Raheem Sterling,Man City,55.69230769230769,60.333333333333336,6.0,62.0,46.0,83.0,36.0,49.0,76.0,0.0,95.0,10.0,65.0,122.0,74.0
2,Roberto Firmino,Liverpool,53.84615384615385,53.84615384615385,61.0,29.0,46.0,113.0,44.0,41.0,10.0,58.0,29.0,72.0,99.0,32.0,66.0
3,Mohamed Salah,Liverpool,49.23076923076923,58.18181818181818,0.0,48.0,35.0,93.0,0.0,94.0,68.0,36.0,73.0,58.0,67.0,29.0,39.0
4,Sergio Agüero,Man City,44.76923076923077,48.5,35.0,44.0,111.0,0.0,0.0,46.0,7.0,56.0,89.0,58.0,68.0,51.0,17.0
5,Sébastien Haller,West Ham,43.46153846153846,47.083333333333336,55.0,9.0,69.0,8.0,37.0,54.0,78.0,8.0,30.0,90.0,110.0,0.0,17.0
6,Neal Maupay,Brighton,43.07692307692308,43.07692307692308,26.0,8.0,93.0,29.0,59.0,74.0,2.0,95.0,38.0,10.0,93.0,14.0,19.0
7,Teemu Pukki,Norwich,42.53846153846154,42.53846153846154,24.0,50.0,40.0,16.0,26.0,70.0,33.0,44.0,33.0,24.0,38.0,114.0,41.0
8,Marcus Rashford,Man Utd,41.76923076923077,41.76923076923077,42.0,92.0,24.0,81.0,24.0,2.0,38.0,6.0,20.0,118.0,29.0,9.0,58.0
9,Tammy Abraham,Chelsea,40.15384615384615,40.15384615384615,21.0,25.0,76.0,5.0,63.0,35.0,77.0,25.0,57.0,61.0,48.0,5.0,24.0
10,Raúl Jiménez,Wolves,39.38461538461539,39.38461538461539,87.0,41.0,116.0,13.0,23.0,30.0,13.0,27.0,13.0,54.0,43.0,22.0,30.0
11,Jamie Vardy,Leicester,38.92307692307692,38.92307692307692,95.0,48.0,40.0,93.0,21.0,10.0,64.0,45.0,4.0,45.0,27.0,10.0,4.0
12,Pierre-Emerick Aubameyang,Arsenal,38.53846153846154,38.53846153846154,37.0,22.0,39.0,11.0,8.0,47.0,19.0,59.0,44.0,53.0,23.0,33.0,106.0
13,Bernardo Mota Veiga de Carvalho e Silva,Man City,35.46153846153846,41.90909090909091,0.0,25.0,35.0,43.0,38.0,26.0,0.0,102.0,30.0,19.0,52.0,91.0,0.0
14,Wesley Moraes,Aston Villa,34.15384615384615,34.15384615384615,39.0,20.0,10.0,24.0,30.0,123.0,4.0,42.0,24.0,43.0,37.0,31.0,17.0
15,Sadio Mané,Liverpool,34.07692307692308,34.07692307692308,40.0,39.0,78.0,22.0,4.0,45.0,32.0,6.0,66.0,37.0,30.0,38.0,6.0
16,Wilfried Zaha,Crystal Palace,34.0,34.0,67.0,6.0,25.0,43.0,21.0,12.0,57.0,34.0,22.0,52.0,43.0,28.0,32.0
17,Richarlison de Andrade,Everton,33.92307692307692,33.92307692307692,14.0,54.0,60.0,32.0,20.0,43.0,27.0,39.0,19.0,53.0,18.0,30.0,32.0
18,Diogo Jota,Wolves,33.84615384615385,40.0,27.0,95.0,75.0,40.0,8.0,0.0,0.0,74.0,24.0,0.0,60.0,12.0,25.0
19,Gerard Deulofeu,Watford,33.46153846153846,33.46153846153846,51.0,32.0,35.0,22.0,25.0,2.0,12.0,41.0,85.0,2.0,113.0,12.0,3.0
20,Heung-Min Son,Spurs,33.30769230769231,39.36363636363637,34.0,74.0,12.0,57.0,14.0,8.0,37.0,20.0,64.0,38.0,75.0,0.0,0.0
21,Chris Wood,Burnley,32.92307692307692,38.90909090909091,35.0,77.0,0.0,0.0,56.0,8.0,37.0,111.0,6.0,17.0,65.0,8.0,8.0
22,Gabriel Fernando de Jesus,Man City,31.76923076923077,41.3,0.0,2.0,27.0,48.0,128.0,10.0,59.0,0.0,49.0,0.0,0.0,48.0,42.0
23,Ashley Barnes,Burnley,31.46153846153846,34.083333333333336,46.0,37.0,18.0,37.0,0.0,12.0,6.0,54.0,1.0,5.0,23.0,81.0,89.0
24,Christian Pulisic,Chelsea,31.153846153846153,40.5,6.0,100.0,71.0,110.0,25.0,2.0,0.0,0.0,0.0,41.0,38.0,4.0,8.0
25,Danny Ings,Southampton,30.692307692307693,30.692307692307693,26.0,35.0,7.0,1.0,82.0,61.0,45.0,44.0,2.0,24.0,13.0,59.0,0.0
26,Harry Kane,Spurs,30.076923076923077,32.583333333333336,30.0,19.0,0.0,19.0,44.0,12.0,31.0,86.0,5.0,38.0,8.0,4.0,95.0
27,David Silva,Man City,29.384615384615383,31.833333333333332,6.0,0.0,79.0,59.0,34.0,28.0,0.0,89.0,11.0,15.0,44.0,0.0,17.0
28,Mason Mount,Chelsea,28.923076923076923,28.923076923076923,1.0,44.0,44.0,36.0,19.0,26.0,8.0,10.0,29.0,9.0,53.0,77.0,20.0
29,John McGinn,Aston Villa,27.692307692307693,27.692307692307693,30.0,26.0,6.0,26.0,69.0,10.0,36.0,55.0,31.0,0.0,4.0,43.0,24.0
30,Callum Wilson,Bournemouth,26.615384615384617,26.615384615384617,10.0,30.0,12.0,2.0,17.0,17.0,84.0,21.0,54.0,19.0,19.0,26.0,35.0
31,Jordan Ayew,Crystal Palace,26.53846153846154,28.75,12.0,0.0,23.0,58.0,11.0,59.0,49.0,19.0,40.0,38.0,17.0,0.0,19.0
32,Anwar El Ghazi,Aston Villa,26.076923076923077,28.25,37.0,13.0,17.0,0.0,36.0,61.0,30.0,9.0,11.0,0.0,74.0,43.0,8.0
33,Alexandre Lacazette,Arsenal,25.923076923076923,42.125,60.0,51.0,27.0,68.0,2.0,0.0,0.0,0.0,0.0,69.0,2.0,58.0,0.0
34,James Maddison,Leicester,25.307692307692307,27.416666666666668,35.0,34.0,10.0,25.0,35.0,21.0,0.0,44.0,21.0,29.0,46.0,16.0,13.0
35,Anthony Martial,Man Utd,24.76923076923077,40.25,24.0,45.0,11.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,29.0,71.0
36,Mahmoud Ahmed Ibrahim Hassan,Aston Villa,24.692307692307693,29.181818181818183,0.0,37.0,39.0,63.0,10.0,3.0,2.0,39.0,0.0,28.0,4.0,61.0,35.0
37,Ayoze Pérez,Leicester,24.615384615384617,26.666666666666668,55.0,11.0,12.0,129.0,10.0,4.0,23.0,21.0,8.0,0.0,4.0,31.0,12.0
