,Team,Threat allowed av adj,Matches,Threat allowed GW13 adj,Threat allowed GW12 adj,Threat allowed GW11 adj,Threat allowed GW10 adj,Threat allowed GW9 adj,Threat allowed GW8 adj,Threat allowed GW7 adj,Threat allowed GW6 adj,Threat allowed GW5 adj,Threat allowed GW4 adj,Threat allowed GW3 adj,Threat allowed GW2 adj,Threat allowed GW1 adj
1,Chelsea,117.76182444301222,13.0,98.97162654996355,35.48421187308086,163.27545000000003,182.0663060278207,37.885539523212046,122.98126927029807,101.01708394698086,92.24858012170387,185.20725767169995,82.79097744360902,128.4788961038961,110.2711387434555,190.22538048343782
2,Liverpool,117.8014447015218,13.0,176.27640736949846,137.037636761488,85.08994565217392,151.81406735751298,60.07117278424351,44.889136125654446,192.74774436090226,83.71182776162792,98.22176913425345,69.13910355486861,88.18333333333335,204.58566289825285,139.65097402597402
3,Leicester,119.21928162048393,13.0,113.09521354933727,97.20208333333335,128.20102354145342,78.15632065775952,188.98021638330755,195.08306288032455,18.241185696361356,151.81406735751298,91.107945389436,111.26482233502539,146.17781954887218,132.47599927325584,98.05090112031175
4,Man City,119.24797998894003,13.0,104.84296875000001,119.46947261663286,60.91595580678316,162.07608695652175,96.15076765609007,79.53017535314174,203.41050696594428,118.54245000000003,125.12727272727274,121.8793078055965,196.41647208121827,93.86976683937826,67.99253629764065
5,Man Utd,132.5440815586305,13.0,206.97744360902254,88.93895434462446,213.44680203045684,121.77564935064936,88.46790060851927,152.94532622333753,145.30208333333334,102.49621143375681,109.29528795811518,144.81906474820147,127.0563715455476,91.51417437895762,130.03779069767444
6,Everton,135.75260353418963,13.0,222.3243506493507,71.26017471736897,60.26207253886011,103.21310751104566,115.68879310344828,145.19211746522413,139.7566374908826,37.514661654135345,191.8750507614213,200.4596200681929,144.85550271739132,127.48905,204.89270726714432
7,Sheffield Utd,139.94526456879825,13.0,147.17437332139662,184.2628756476684,50.702009273570326,150.19246823956442,127.26458333333336,100.64925000000001,114.17652129817445,204.2760835913313,174.70236382322716,131.66326308139537,126.86060209424083,100.72937563971341,206.63467005076143
8,Wolves,166.01237775294064,13.0,127.15979695431473,126.62194293478261,137.2854166666667,211.87838770388962,199.9882322713258,130.51203501094093,227.01997500000002,194.59083930399183,186.11658793604656,199.08262383900927,180.91398763523958,110.13048343777977,126.86060209424083
9,Brighton,171.11920083227298,13.0,237.13174083769633,311.3689122649956,93.84545454545454,123.77745743034056,322.126222826087,101.98196891191711,275.5175690406977,176.79918444165625,41.483462132921176,100.60302698760032,199.9882322713258,114.67397912885663,125.25240000000002
10,Burnley,175.55790125202782,13.0,224.78332500000002,88.28881578947369,260.0154135338346,199.12036700581396,168.82218586387435,125.50861068111455,139.790625,134.06493506493507,198.74013254786453,152.7394523326572,196.1018022406235,226.47083333333336,167.80621788283662
11,Watford,178.70144773115723,13.0,228.15904173106645,191.04253246753248,211.31140988372096,187.33362944162437,212.0761398963731,134.53533834586466,95.87199220652704,218.06385849744714,102.21250000000002,246.95759096612298,314.59233212341195,103.00361842105264,77.95883652430045
12,Crystal Palace,179.96018026110698,13.0,146.69036511156187,210.4986736918605,166.87048429319373,189.39375,168.03424507658647,134.97025862068966,202.2146103896104,233.14325377496348,163.40292746113994,108.38838315217393,231.27401521933754,275.5387218045113,109.06265479876163
13,Spurs,186.56188626992025,13.0,136.99988656987296,166.87556390977443,102.13804179566564,259.3546146044625,97.29427500000001,265.718851251841,201.1375899280576,191.26675392670157,199.16944728761513,304.6333333333334,158.55799874529487,255.04226841721376,87.11589673913045
14,West Ham,200.45131239719348,13.0,220.18834196891194,245.4438176197836,237.13541405269763,208.27105263157898,259.6729876160991,208.3266632548618,238.4246192893401,126.14946284691139,108.38838315217393,120.65844155844157,320.95927500000005,183.36796759941092,128.88063457330418
15,Bournemouth,200.57379917139113,13.0,204.81743789576228,385.8712358845671,125.14827663384065,90.584325,101.6659090909091,187.38958333333335,313.57751814882033,303.430421377184,180.90551470588238,176.62899214659686,172.38464624361782,251.21793478260872,113.83759398496241
16,Southampton,202.60843211062394,13.0,219.45625000000004,295.16162925696597,243.0786652078775,382.53350785340314,49.025450560155875,127.59958212209304,156.44961139896375,102.18197969543148,276.8323308270677,276.3273948075202,197.64212076583215,123.25015212981745,184.37094281298297
17,Newcastle,205.39148858485527,13.0,245.14008152173918,223.66500000000002,258.7775635208711,179.7599853872382,210.4986736918605,121.14353178155777,182.48409685863874,227.288438880707,240.45121703853954,174.45870000000002,191.2161917098446,265.8954545454545,149.31041666666667
18,Arsenal,220.38625194060953,13.0,306.87849434737933,212.73547120418849,375.8617876278617,217.4838792221085,134.53533834586466,97.64055837563451,162.1921665174575,184.3615489130435,320.95927500000005,186.58064766839382,273.7211967545639,261.57627511591966,130.49463613550816
19,Norwich,229.48910688706462,13.0,217.25973297213622,145.38225,296.46318114874816,284.336884512086,165.76187817258884,271.4774456521739,260.9806550665302,259.2716383307573,207.73165572574766,284.14791288566244,233.25528706395352,189.42769761606024,167.86217038539556
20,Aston Villa,241.91413439326004,13.0,192.2340338770389,247.30616171456407,263.13529411764705,236.55306345733044,261.3268041237114,389.9055194805195,199.35108191653785,262.5458333333334,154.25172413793103,287.3076509723644,113.3905379256966,174.84472081218274,362.7313212435233
