,Team,Threat adjusted,Threat,Creativity adjusted,Creativity,Threat allowed adjusted,Threat allowed
1,Man City,298.43214892983167,317.5,241.24893703968903,255.5785714285714,115.73470978776204,113.0
2,Liverpool,225.46172882387617,228.07142857142858,187.7340978052632,189.41428571428574,117.82369941180109,114.78571428571429
3,Chelsea,219.04076044060656,213.35714285714286,202.3774178798155,190.28571428571428,116.98840182283242,115.78571428571429
4,Everton,194.03128574160021,194.78571428571428,155.21042223820956,155.67857142857142,142.16138744930933,139.42857142857142
5,Leicester,180.76323296029042,180.14285714285714,170.93641329875047,168.80714285714288,118.87712485079972,117.42857142857143
6,Arsenal,174.19622824574745,184.42857142857142,156.6744515188535,160.06428571428572,219.81052511265156,205.21428571428572
7,Man Utd,167.95061134753345,175.35714285714286,156.36898987025637,162.12142857142857,131.04108112436379,122.42857142857143
8,Wolves,167.91421984970617,162.0,134.2388761575272,130.37142857142857,166.4742104232621,163.64285714285714
9,Southampton,166.54690140561812,152.42857142857142,129.93501606607882,119.21428571428571,192.39107547100895,206.35714285714286
10,Aston Villa,164.6958445779438,165.64285714285714,141.77698295537508,144.92142857142858,239.44899032013856,242.21428571428572
11,Bournemouth,162.44107118712444,156.57142857142858,122.9768748648033,121.30714285714285,204.02406125466442,197.5
12,Norwich,159.96269149922773,156.5,131.30340973264288,127.61428571428571,239.32303613337962,247.0
13,West Ham,159.2271739608744,164.85714285714286,138.32108226124197,141.65,201.83429531700776,192.28571428571428
14,Crystal Palace,153.24110906063524,146.5,112.82859333948555,107.42857142857143,181.5337379058687,190.21428571428572
15,Brighton,152.84866788562363,153.14285714285714,153.77256935267005,150.15714285714284,172.562345129809,179.07142857142858
16,Burnley,152.72081213451602,152.57142857142858,127.9024750507259,124.22857142857141,171.21447962783193,167.28571428571428
17,Spurs,150.44920088715955,152.28571428571428,153.7517086195457,155.59999999999997,191.48065641124649,199.5
18,Watford,148.44881006383548,147.85714285714286,133.8418702608943,133.95,181.35971896081256,181.14285714285714
19,Sheffield Utd,141.18308178543631,132.28571428571428,139.582843659876,129.4,145.6162897430825,145.07142857142858
20,Newcastle,113.44441921281283,116.71428571428571,113.36591746982035,109.79285714285716,203.30017374236715,213.64285714285714
