,Team,Creativity av adj,Matches,Creativity GW14 adj,Creativity GW13 adj,Creativity GW12 adj,Creativity GW11 adj,Creativity GW10 adj,Creativity GW9 adj,Creativity GW8 adj,Creativity GW7 adj,Creativity GW6 adj,Creativity GW5 adj,Creativity GW4 adj,Creativity GW3 adj,Creativity GW2 adj,Creativity GW1 adj
1,Man City,241.24893703968903,14.0,238.31587763289863,205.028531770512,248.77930304915986,237.02472481827618,230.447782365084,272.388926023282,250.04482758620688,315.75845286885243,301.18438485804415,193.27014170040482,200.83044674910246,232.70597468354427,275.7207518796992,175.98499257057955
2,Chelsea,202.3774178798155,14.0,174.18922734026742,208.0967256637168,199.41301915133303,190.8136514195583,191.757976088813,165.82712136409228,126.66976116303218,219.92042680494612,264.12119477286865,170.49470100392838,180.77670605612994,188.79661943319837,259.64711678832106,292.7596032672111
3,Liverpool,187.7340978052632,14.0,114.9255364978061,146.7687082238077,180.4421681415929,212.4139781775287,220.766992481203,219.99276546091014,305.51908759124086,144.3595420974889,151.64655768044415,253.83186559679038,172.45833048676343,238.3447372084928,141.4785773624091,125.32852226720647
4,Leicester,170.93641329875047,14.0,244.06271004098355,163.7110410849621,196.11068917507828,159.38518963574913,216.10831775700927,233.86629376601192,81.37219041692595,160.17025075225675,125.48496240601501,115.6372228704784,161.9850379746835,164.71031019202363,185.34579272054285,185.15977738978611
5,Arsenal,156.6744515188535,14.0,113.23603238866394,141.89690550363446,152.0244160583941,170.07268441728505,157.66063462260604,194.8199261447562,137.24582278481014,181.49403150525083,161.73399882040698,96.16931782334385,227.69030075187968,139.12990043559427,216.42436806148592,103.8439819458375
6,Man Utd,156.36898987025637,14.0,122.81519610734296,166.3764549483013,193.31015157558832,173.61159493670885,131.89900809716596,139.5811325451151,142.8763891675025,133.26440654368253,113.22299777117384,134.3813503649635,199.62618899273104,210.8495418700713,122.17380183326055,205.17764342998146
7,Everton,155.21042223820956,14.0,234.50574817518245,137.49091093117408,195.1082450674974,102.72458646616539,107.50165536497805,158.2069167904903,133.44621263877028,236.515221238938,219.3360561299852,122.99673417721519,199.29733304233957,108.55922441757592,113.42070189274448,103.83636500187758
8,Brighton,153.77256935267005,14.0,246.82396390790285,176.43065693430654,137.77752042007,154.7559109311741,106.98639344262294,162.80319669713947,156.46676691729323,171.6275200493522,175.0397392176529,160.07353116994022,111.53495575221238,136.45863966770509,183.88635958395244,72.15081624605678
9,Spurs,153.7517086195457,14.0,158.13865822784808,144.82846582466567,245.3993205317577,93.98457479508195,172.82189794648409,172.60915220820186,95.7391424012764,98.89277258566977,237.44625912408762,147.40407059707093,89.17946397493907,194.59634904714142,70.89345132743362,230.59034208198167
10,Aston Villa,141.77698295537508,14.0,145.81571761960325,183.20179538615847,111.51788302051506,106.34036714374606,127.7304424778761,229.94748703629836,134.41536437246964,187.0104696840307,125.27190741385306,112.59447994056463,97.39197521592189,119.86438524590166,225.97481012658224,77.80067669172932
11,Sheffield Utd,139.582843659876,14.0,138.421440419031,184.87853558926486,123.8406766917293,167.2979974380871,114.83918647845468,95.6575948485903,117.42378548895897,216.44100186683258,50.5213524590164,175.02849428868115,153.58500925354716,189.80998175182484,135.15065339842283,91.26410126582279
12,West Ham,138.32108226124197,14.0,151.3483343615052,127.64849624060149,104.7547608881298,176.57517552657973,211.12434268833087,126.79868852459015,115.99901614720238,164.78240506329112,121.84214702450406,123.81311412562665,144.20119433198377,187.0965023659306,97.08893897088153,83.42203539823008
13,Wolves,134.2388761575272,14.0,167.92358936484487,167.1426835443038,119.4650427602477,178.8637173686042,156.12962888665996,37.314870197300095,100.22867256637167,97.31305599369085,138.4182313180623,174.16241826033308,89.89828893442622,187.7329163108454,114.93211785297544,149.81903284671532
14,Watford,133.8418702608943,14.0,64.5898650051921,171.01343723313406,82.62036437246962,236.0437569401603,49.91551898734176,50.453609022556385,128.17413589364844,175.87541248363158,75.17150442477876,252.3947093630351,102.47017051153459,253.202897473997,141.0387756147541,90.82202632628639
15,Norwich,131.30340973264288,14.0,123.2527497389488,158.12688012295084,140.10792586750787,102.1024690865576,121.5601050175029,123.34640506329113,124.31207313476847,122.26187382651142,127.25381298035865,125.1330530973451,84.31117756315005,122.71889574336825,174.39323971915746,189.3670752955818
16,Southampton,129.93501606607882,14.0,112.75352129337537,152.95119387399927,46.93037397540984,64.93473451327432,90.12666058394159,140.63702749890876,134.20049352251695,146.51451127819547,214.78534177215187,155.7845347119645,150.61043173862308,136.04021140805742,178.38709396390786,94.43409479077712
17,Burnley,127.9024750507259,14.0,131.79230942546,73.96173501577287,144.55910104011886,78.66583456425404,218.1503578038248,183.1938321167883,144.75358094262296,86.8188675906812,129.24285425101215,79.92723972875946,138.97948973242063,138.9489611523352,153.6242464323007,88.016240913811
18,Bournemouth,122.9768748648033,14.0,161.65924812030073,94.32070711479703,107.31891675025075,160.90496499416568,141.91884463722397,78.07694331983804,95.90998955795335,156.6805163447251,48.44239875389407,146.23950307377046,175.69552919708025,121.16057522123891,98.15236508404598,135.19574593796156
19,Newcastle,113.36591746982035,14.0,78.68561946902653,90.31158065467412,111.10792405063289,94.27767459138185,164.69197293758182,119.736662553979,189.6732497082847,64.10313868613137,146.16368568009568,129.35320472930925,145.7313052050473,78.23338345864661,96.39042510121456,78.66301775147927
20,Crystal Palace,112.82859333948555,14.0,86.17756191289496,258.4055880522713,84.69542257865514,111.00428832116788,104.6596728158719,114.28513274336281,86.2865193164933,127.5652834008097,116.1600654735923,104.02270676691727,163.58727514007668,42.30630105017503,94.1371787296898,86.30731045081967
