,Team,Threat av adj,Matches,Threat GW14 adj,Threat GW13 adj,Threat GW12 adj,Threat GW11 adj,Threat GW10 adj,Threat GW9 adj,Threat GW8 adj,Threat GW7 adj,Threat GW6 adj,Threat GW5 adj,Threat GW4 adj,Threat GW3 adj,Threat GW2 adj,Threat GW1 adj
1,Man City,298.43214892983167,14.0,268.29729187562685,271.38322023442316,379.0349719975108,373.9853582554517,310.0673842524328,280.4671047690574,253.20995198603225,318.23498975409836,382.19917192429017,267.0133603238866,178.36597526924606,277.11417721518984,405.878947368421,212.79817979197622
2,Liverpool,225.46172882387617,14.0,226.57299561228555,176.08614344723995,241.40442477876104,248.05390740194628,296.8368421052631,164.99457409568257,379.3259124087591,179.70561299852287,181.91622455274518,256.98355065195585,208.47745516652432,304.5562826313957,136.37497403946,155.17530364372467
3,Chelsea,219.04076044060656,14.0,211.00241456166415,197.09601769911504,235.0840781073976,247.80993690851733,252.85631938514086,209.3042126379137,131.35503634475594,326.84359792580767,154.92302426882387,241.6044958533391,192.79675036927617,200.60951417004046,239.65164233576638,225.63360560093346
4,Everton,194.03128574160021,14.0,210.2465328467153,175.445951417004,285.2997923156801,102.1187969924812,137.87207818109292,269.3647845468053,149.64965841161398,359.05088495575217,280.8644017725258,182.70303797468353,242.6595373199476,93.37661456797403,113.42070189274448,114.36522718738263
5,Leicester,180.76323296029042,14.0,284.8017418032787,234.2861188671719,183.40682213713885,155.20995118287644,327.9692627206645,178.54752348420152,69.18892345986309,151.11925777331993,169.62105263157892,157.9435239206534,158.22607594936707,154.7134416543574,168.4961752004935,137.15539065910082
6,Arsenal,174.19622824574745,14.0,244.64574898785423,183.22772585669782,142.6147810218978,144.54068092536008,171.54784078107394,151.14313146233377,163.47113924050632,204.48045507584595,186.75322913594806,97.21774447949527,263.08571428571423,132.36141879278154,233.24705380017076,120.41053159478433
7,Man Utd,167.95061134753345,14.0,157.52848717192566,174.945199409158,299.8476665337056,109.27215189873417,198.5125506072874,90.24642190416924,97.78304914744231,136.29314305603896,113.13320950965824,133.79324817518247,230.91713395638627,209.66958317686814,116.05456132693145,283.31215299198016
8,Wolves,167.91421984970617,14.0,255.87223042836035,164.34531645569618,161.80527867885579,290.25391576749035,133.34052156469406,37.64953271028037,111.53495575221238,83.87413249211355,194.23935411190385,253.48982109808756,227.84139344262294,185.77198975234842,118.45764294049006,132.3229927007299
9,Southampton,166.54690140561812,14.0,179.18564668769716,224.63129133310125,76.77264344262295,80.97743362831858,99.97737226277371,183.57721518987339,159.5494756323257,151.4473684210526,230.78278481012654,180.89571639586407,177.6864644107351,167.76043079377737,267.7310516490354,150.68172502134928
10,Aston Villa,164.6958445779438,14.0,156.5333138856476,195.56609829488463,131.88018332605847,126.34499066583695,244.4601769911504,306.5966493817311,187.32874493927125,142.42519214346711,153.11945701357465,96.07343982169391,97.11967705595193,177.07238729508197,216.79594936708858,74.42556390977443
11,Bournemouth,162.44107118712444,14.0,192.12180451127819,118.16464426014838,159.2005015045135,265.1194865810968,157.26399842271292,102.05222672064777,72.3531500174034,188.5553491827637,75.29906542056074,209.26736680327866,144.08503649635034,264.3225663716814,109.77098201120612,216.5988183161004
12,Norwich,159.96269149922773,14.0,159.0086668987121,246.41542008196723,162.98268927444795,80.98779417630632,153.71289381563594,79.55012658227847,248.76670598643463,164.28655651520836,123.84799316823226,171.12212389380528,96.97132243684992,171.47840838988276,192.3336008024072,188.01337896701924
13,West Ham,159.2271739608744,14.0,155.07612584824182,116.83082706766915,89.7897950469684,206.0717151454363,176.13530280649923,141.1626024590164,120.718850920015,270.12075949367085,142.43121353558925,108.34538484222941,195.71659919028338,295.4656940063091,108.94786597526922,102.36769911504425
14,Crystal Palace,153.24110906063524,14.0,100.11046114432109,231.6324828873677,46.22461443553362,164.66861313868608,159.8499825965889,128.34159292035397,163.41463595839522,159.36923076923077,179.35704932343953,150.58195488721802,178.9124447065762,156.5333138856476,104.72909896602656,221.6500512295082
15,Brighton,152.84866788562363,14.0,160.93945239576848,151.4363138686131,114.22701283547256,188.72672064777325,116.39723360655738,169.64606310822765,209.4300751879699,137.1827267119062,167.2817452357071,186.80405636208366,169.5942477876106,150.59813084112147,149.94639673105496,67.67117507886434
16,Burnley,152.72081213451602,14.0,176.9938039804731,188.7167981072555,191.2489970282318,52.36454948301328,235.59642196175196,241.12189781021894,156.0218237704918,123.3141551164848,157.2722672064777,34.70905464698843,90.24642190416924,165.64151025752943,190.9786634180299,133.865005192108
17,Spurs,150.44920088715955,14.0,176.58379746835442,170.59769687964337,189.22644017725253,64.38995901639345,197.0380211574362,174.42007097791796,84.84435580374948,112.9485981308411,192.60346715328464,127.98013518588057,135.45182735816218,133.34052156469406,123.7579646017699,223.10595694485397
18,Watford,148.44881006383548,14.0,58.565939771547235,207.44538855678906,90.86842105263156,217.70302282541638,70.80835443037974,75.29097744360901,107.10930576070899,214.17341772151897,161.95486725663716,241.45760529063693,126.06740220661985,257.6923105497771,141.1626024590164,107.98372556840843
19,Sheffield Utd,141.18308178543631,14.0,129.77010039284153,225.63360560093346,111.63834586466164,207.44538855678906,144.55910104011886,87.49683257918551,99.12397476340693,224.11194772868694,35.909784836065576,179.04444444444442,95.4314620604565,166.13886861313867,193.33169357867064,76.92759493670884
20,Newcastle,113.44441921281283,14.0,61.1150442477876,97.65340607490414,240.39873417721515,151.742161961367,159.31126145787866,40.26014805675508,153.71289381563594,19.11332116788321,121.4816912644595,105.28749222153078,167.7482649842271,97.79172932330826,94.36336032388662,78.24235990254088
