id,Name,web_name,Team number,Team,Team games,Played
1,Shkodran Mustafi,Mustafi,1,Arsenal,28,8
2,Hector Bellerin,Bellerin,1,Arsenal,28,8
3,Sead Kolasinac,Kolasinac,1,Arsenal,28,17
4,Ainsley Maitland-Niles,Maitland-Niles,1,Arsenal,28,14
5,Sokratis Papastathopoulos,Sokratis,1,Arsenal,28,19
6,Nacho Monreal,Monreal,1,Arsenal,28,3
7,Laurent Koscielny,Koscielny,1,Arsenal,28,0
8,Konstantinos Mavropanos,Mavropanos,1,Arsenal,28,0
9,Carl Jenkinson,Jenkinson,1,Arsenal,28,0
10,Rob Holding,Holding,1,Arsenal,28,2
11,Pierre-Emerick Aubameyang,Aubameyang,1,Arsenal,28,26
12,Alexandre Lacazette,Lacazette,1,Arsenal,28,20
13,Edward Nketiah,Nketiah,1,Arsenal,28,5
14,Bernd Leno,Leno,1,Arsenal,28,28
15,Mesut Ozil,Ozil,1,Arsenal,28,18
16,Henrikh Mkhitaryan,Mkhitaryan,1,Arsenal,28,3
18,Granit Xhaka,Xhaka,1,Arsenal,28,22
19,Lucas Torreira,Torreira,1,Arsenal,28,24
20,Mohamed Elneny,Elneny,1,Arsenal,28,0
21,Matteo Guendouzi,Guendouzi,1,Arsenal,28,22
106,David Luiz Moreira Marinho,David Luiz,1,Arsenal,28,25
427,Emiliano Martinez,Martinez,1,Arsenal,28,0
467,Calum Chambers,Chambers,1,Arsenal,28,14
469,Daniel Ceballos Fernandez,Ceballos,1,Arsenal,28,14
486,Cedric Soares,Cedric,1,Arsenal,28,16
488,Nicolas Pepe,Pepe,1,Arsenal,28,24
489,Reiss Nelson,Nelson,1,Arsenal,28,11
490,Joseph Willock,Willock,1,Arsenal,28,19
504,Gabriel Teodoro Martinelli Silva,Martinelli,1,Arsenal,28,14
515,Kieran Tierney,Tierney,1,Arsenal,28,5
541,Bukayo Saka,Saka,1,Arsenal,28,18
576,Emile Smith Rowe,Smith Rowe,1,Arsenal,28,2
585,Tyreece John-Jules,John-Jules,1,Arsenal,28,0
617,Pablo Mari,Mari,1,Arsenal,28,1
22,Ahmed El Mohamady,El Mohamady,2,Aston Villa,28,12
23,James Chester,Chester,2,Aston Villa,28,0
24,Neil Taylor,Taylor,2,Aston Villa,28,10
25,Kortney Hause,Hause,2,Aston Villa,28,11
26,Jonathan Kodjia,Kodjia,2,Aston Villa,28,6
27,Ørjan Nyland,Nyland,2,Aston Villa,28,3
28,Conor Hourihane,Hourihane,2,Aston Villa,28,18
29,Jack Grealish,Grealish,2,Aston Villa,28,26
30,Anwar El Ghazi,El Ghazi,2,Aston Villa,28,25
31,John McGinn,McGinn,2,Aston Villa,28,18
32,Andre Green,Green,2,Aston Villa,28,0
33,Birkir Bjarnason,Bjarnason,2,Aston Villa,28,0
34,Keinan Davis,Davis,2,Aston Villa,28,8
35,Henri Lansbury,Lansbury,2,Aston Villa,28,9
36,Jose Ignacio Peleteiro Romallo,Jota,2,Aston Villa,28,8
94,Tom Heaton,Heaton,2,Aston Villa,28,20
120,Daniel Drinkwater,Drinkwater,2,Aston Villa,28,5
309,Matt Targett,Targett,2,Aston Villa,28,20
428,Wesley Moraes,Wesley,2,Aston Villa,28,21
429,Jed Steer,Steer,2,Aston Villa,28,1
445,Tyrone Mings,Mings,2,Aston Villa,28,23
452,Ezri Konsa Ngoyo,Konsa,2,Aston Villa,28,15
455,Bjorn Engels,Engels,2,Aston Villa,28,17
