,a,datetime,forecast,goals,h,id,isResult,xG
0,"{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}",2019-08-09 20:00:00,"{'w': '0.7377', 'd': '0.1732', 'l': '0.0891'}","{'h': '4', 'a': '1'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}",11643,True,"{'h': '2.23456', 'a': '0.842407'}"
1,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}",2019-08-10 12:30:00,"{'w': '0.0452', 'd': '0.1166', 'l': '0.8382'}","{'h': '0', 'a': '5'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}",11644,True,"{'h': '1.2003', 'a': '3.18377'}"
2,"{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}",2019-08-10 15:00:00,"{'w': '0.2083', 'd': '0.3923', 'l': '0.3994'}","{'h': '1', 'a': '1'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}",11645,True,"{'h': '1.34099', 'a': '1.59864'}"
3,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}",2019-08-10 15:00:00,"{'w': '0.266', 'd': '0.3442', 'l': '0.3898'}","{'h': '3', 'a': '0'}","{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}",11646,True,"{'h': '0.909241', 'a': '1.08752'}"
4,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}",2019-08-10 15:00:00,"{'w': '0.2427', 'd': '0.3231', 'l': '0.4342'}","{'h': '0', 'a': '0'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}",11647,True,"{'h': '0.87159', 'a': '1.2246'}"
5,"{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}",2019-08-10 15:00:00,"{'w': '0.2434', 'd': '0.362', 'l': '0.3946'}","{'h': '0', 'a': '3'}","{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}",11648,True,"{'h': '0.670022', 'a': '0.855516'}"
6,"{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}",2019-08-10 17:30:00,"{'w': '0.822', 'd': '0.1273', 'l': '0.0507'}","{'h': '3', 'a': '1'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}",11649,True,"{'h': '2.57262', 'a': '0.639599'}"
7,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}",2019-08-11 14:00:00,"{'w': '0.1052', 'd': '0.3057', 'l': '0.5891'}","{'h': '0', 'a': '1'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}",11650,True,"{'h': '0.380551', 'a': '1.13309'}"
8,"{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}",2019-08-11 14:00:00,"{'w': '0.2174', 'd': '0.3819', 'l': '0.4007'}","{'h': '0', 'a': '0'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}",11651,True,"{'h': '0.543759', 'a': '0.812949'}"
9,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}",2019-08-11 16:30:00,"{'w': '0.7148', 'd': '0.1782', 'l': '0.107'}","{'h': '4', 'a': '0'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}",11652,True,"{'h': '2.37442', 'a': '1.09534'}"
