,assists,goals,h_a,id,key_passes,own_goals,player,player_id,position,positionOrder,red_card,roster_in,roster_out,shots,team_id,time,xA,xG,xGBuildup,xGChain,yellow_card,team_h_name,team_a_name,team_name,opponent_team_name,team_h,team_a,fixture,round
0,0,0,a,341166,0,0,Tim Krul,982,GK,1,0,0,0,0,79,90,0,0,0.054997265338897705,0.054997265338897705,0,Liverpool,Norwich,14,10,10,14,1,1
1,0,0,a,341167,0,0,Max Aarons,7688,DR,2,0,0,0,0,79,90,0,0,0.4084494411945343,0.4084494411945343,0,Liverpool,Norwich,14,10,10,14,1,1
2,0,0,a,341168,0,0,Ben Godfrey,7689,DC,3,0,0,0,1,79,90,0,0.008998467586934566,0.054997265338897705,0.06399573385715485,0,Liverpool,Norwich,14,10,10,14,1,1
3,0,0,a,341169,0,1,Grant Hanley,7690,DC,3,0,0,0,0,79,90,0,0,0,0,0,Liverpool,Norwich,14,10,10,14,1,1
4,0,0,a,341170,2,0,Jamal Lewis,7691,DL,4,0,0,0,0,79,90,0.10757879167795181,0,0.16241103410720825,0.2609913647174835,0,Liverpool,Norwich,14,10,10,14,1,1
5,0,0,a,341171,0,0,Tom Trybull,7692,DMC,7,0,341178,0,1,79,73,0,0.021541999652981758,0.09957214444875717,0.09957214444875717,0,Liverpool,Norwich,14,10,10,14,1,1
6,0,0,a,341172,0,0,Kenny McLean,7693,DMC,7,0,0,0,0,79,90,0,0,0.3670538365840912,0.3670538365840912,0,Liverpool,Norwich,14,10,10,14,1,1
7,1,0,a,341173,3,0,Emiliano Buendia,2203,AMR,11,0,0,0,2,79,90,0.3885958194732666,0.07999949902296066,0.05384041741490364,0.46228986978530884,1,Liverpool,Norwich,14,10,10,14,1,1
8,0,0,a,341174,0,0,Marco Stiepermann,7694,AMC,12,0,341177,0,3,79,61,0,0.1699429154396057,0,0.1699429154396057,0,Liverpool,Norwich,14,10,10,14,1,1
9,0,0,a,341175,3,0,Todd Cantwell,7695,AML,13,0,0,0,0,79,90,0.14388541877269745,0,0.1534125655889511,0.24345757067203522,0,Liverpool,Norwich,14,10,10,14,1,1
10,0,1,a,341176,2,0,Teemu Pukki,7696,FW,15,0,341179,0,3,79,86,0.11494564265012741,0.4644773006439209,0,0.5794229507446289,0,Liverpool,Norwich,14,10,10,14,1,1
11,0,0,a,341177,0,0,Moritz Leitner,1217,Sub,17,0,0,341174,1,79,29,0,0.0486493855714798,0,0.0486493855714798,1,Liverpool,Norwich,14,10,10,14,1,1
12,0,0,a,341178,0,0,Onel Hernandez,7697,Sub,17,0,0,341171,1,79,17,0,0.049240197986364365,0.008998467586934566,0.058238666504621506,0,Liverpool,Norwich,14,10,10,14,1,1
13,0,0,a,341179,0,0,Josip Drmic,209,Sub,17,0,0,341176,0,79,4,0,0,0,0,0,Liverpool,Norwich,14,10,10,14,1,1
14,0,0,h,341152,0,0,Alisson,1257,GK,1,0,341164,0,0,87,38,0,0,0,0,0,Liverpool,Norwich,10,14,10,14,1,1
15,1,0,h,341153,3,0,Trent Alexander-Arnold,1791,DR,2,0,0,0,2,87,90,1.055701494216919,0.1754923015832901,0.1266910284757614,1.2044261693954468,0,Liverpool,Norwich,10,14,10,14,1,1
16,0,1,h,341154,0,0,Virgil van Dijk,833,DC,3,0,0,0,1,87,90,0,0.10531551390886307,0.1266910284757614,0.1266910284757614,0,Liverpool,Norwich,10,14,10,14,1,1
