,assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,yellow_cards,id,gameweek,fixture,team,teamAgainst,side
0,0,1,27,1,0.0,0,0,1.8,False,18.0,90,0,0,0,0,2,0.0,7,0,14,1,10,1,13,away
1,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,27,1,6,2,17,away
2,0,2,29,1,0.0,0,0,2.5,False,25.4,90,0,0,0,0,3,0.0,9,0,47,1,7,4,18,away
3,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,48,1,7,4,18,away
4,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,72,1,2,3,15,home
5,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,73,1,2,3,15,home
6,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,74,1,2,3,15,home
7,0,1,28,1,10.0,0,0,3.6,False,25.6,90,0,0,0,0,3,0.0,8,0,93,1,3,5,16,home
8,0,0,15,0,0.0,3,0,2.4,False,24.2,90,0,0,0,0,3,0.0,2,0,94,1,6,2,17,away
9,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,95,1,3,5,16,home
10,0,0,9,0,0.0,4,0,0.7,False,7.0,90,0,0,0,0,1,0.0,0,0,111,1,9,6,12,away
11,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,112,1,9,6,12,away
12,0,0,24,1,0.0,0,0,1.4,False,14.0,90,0,0,0,0,2,0.0,6,0,131,1,4,7,8,home
13,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,132,1,4,7,8,home
14,0,1,25,1,0.0,0,0,2.1,False,20.8,90,0,0,0,0,2,0.0,7,0,148,1,4,8,7,away
15,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,149,1,4,8,7,away
16,0,0,23,1,0.0,0,0,1.6,False,15.8,90,0,0,0,0,2,0.0,6,0,168,1,5,9,20,home
17,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,169,1,5,9,20,home
18,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,170,1,5,9,20,home
19,0,0,7,0,0.0,0,0,0.6,False,5.6,38,0,0,0,0,2,0.0,1,0,189,1,1,10,14,home
20,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,190,1,1,10,14,home
21,0,0,26,1,0.0,0,0,2.9,False,28.8,90,0,0,0,0,3,0.0,7,0,212,1,8,11,19,away
22,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,213,1,8,11,19,away
23,0,2,34,1,0.0,0,0,4.3,True,43.0,90,0,0,0,0,7,0.0,10,0,235,1,9,12,6,home
