,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,total_points,in_dreamteam,id,gameweek,fixture
0,90,0,0,1,0,0,0,0,0,0,0,0,21,5.2,0.0,0.0,0.5,6,False,14,18,"[{'fixture': 174, 'stats': [{'identifier': 'minutes', 'points': 2, 'value': 90}, {'identifier': 'clean_sheets', 'points': 4, 'value': 1}]}]"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,27,18,"[{'fixture': 171, 'stats': [{'identifier': 'minutes', 'points': 0, 'value': 0}]}]"
2,90,0,0,0,1,0,0,0,0,0,1,0,14,14.2,0.0,0.0,1.4,2,False,47,18,"[{'fixture': 173, 'stats': [{'identifier': 'minutes', 'points': 2, 'value': 90}]}]"
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,48,18,"[{'fixture': 173, 'stats': [{'identifier': 'minutes', 'points': 0, 'value': 0}]}]"
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,72,18,"[{'fixture': 172, 'stats': [{'identifier': 'minutes', 'points': 0, 'value': 0}]}]"
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,73,18,"[{'fixture': 172, 'stats': [{'identifier': 'minutes', 'points': 0, 'value': 0}]}]"
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,74,18,"[{'fixture': 172, 'stats': [{'identifier': 'minutes', 'points': 0, 'value': 0}]}]"
7,90,0,0,1,0,0,0,0,0,0,0,1,22,2.4,0.0,0.0,0.2,7,False,93,18,"[{'fixture': 172, 'stats': [{'identifier': 'minutes', 'points': 2, 'value': 90}, {'identifier': 'clean_sheets', 'points': 4, 'value': 1}, {'identifier': 'bonus', 'points': 1, 'value': 1}]}]"
8,90,0,0,0,3,0,0,0,0,0,5,0,20,30.0,0.0,0.0,3.0,2,False,94,18,"[{'fixture': 171, 'stats': [{'identifier': 'minutes', 'points': 2, 'value': 90}, {'identifier': 'goals_conceded', 'points': -1, 'value': 3}, {'identifier': 'saves', 'points': 1, 'value': 5}]}]"
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,95,18,"[{'fixture': 172, 'stats': [{'identifier': 'minutes', 'points': 0, 'value': 0}]}]"
