,Name,Team,Team games,Played,Creativity per fixture,Creativity per game,Creativity GW29,Creativity GW28,Creativity GW27,Creativity GW26,Creativity GW25,Creativity GW24*,Creativity GW24,Creativity GW23,Creativity GW22,Creativity GW21,Creativity GW20,Creativity GW19,Creativity GW18,Creativity GW17,Creativity GW16,Creativity GW15,Creativity GW14,Creativity GW13,Creativity GW12,Creativity GW11,Creativity GW10,Creativity GW9,Creativity GW8,Creativity GW7,Creativity GW6,Creativity GW5,Creativity GW4,Creativity GW3,Creativity GW2,Creativity GW1,Creativity GW29 6 - average,Creativity GW28 6 - average,Creativity GW27 6 - average,Creativity GW26 6 - average,Creativity GW25 6 - average,Creativity GW24* 6 - average,Creativity GW24 6 - average,Creativity GW23 6 - average,Creativity GW22 6 - average,Creativity GW21 6 - average,Creativity GW20 6 - average,Creativity GW19 6 - average,Creativity GW18 6 - average,Creativity GW17 6 - average,Creativity GW16 6 - average,Creativity GW15 6 - average,Creativity GW14 6 - average,Creativity GW13 6 - average,Creativity GW12 6 - average,Creativity GW11 6 - average,Creativity GW10 6 - average,Creativity GW9 6 - average,Creativity GW8 6 - average,Creativity GW7 6 - average,Creativity GW6 6 - average
1,Kevin De Bruyne,Man City,28,26,52.06785714285714,56.073076923076925,0.0,,35.6,87.1,46.4,,55.6,104.8,40.7,27.3,17.8,13.8,86.6,32.0,80.3,46.9,91.1,38.1,52.1,61.9,91.1,34.8,0.0,33.6,109.4,36.8,26.7,42.3,127.7,37.4,54.916666666666664,61.699999999999996,61.699999999999996,60.31666666666666,48.76666666666667,43.33333333333334,43.33333333333334,48.5,36.36666666666667,42.96666666666667,46.23333333333333,58.44999999999999,62.5,56.75,61.73333333333333,63.533333333333324,61.51666666666666,46.333333333333336,45.583333333333336,55.13333333333333,50.949999999999996,40.21666666666667,41.46666666666667,62.75,63.383333333333326
2,James Maddison,Leicester,29,28,40.40689655172414,41.85,58.5,53.1,19.8,39.1,65.8,,50.2,62.2,24.5,46.3,24.8,1.7,12.1,86.0,76.7,50.5,24.5,51.0,48.3,110.8,20.4,32.6,14.3,0.0,30.9,9.3,19.7,37.0,52.5,49.2,47.75,48.36666666666667,43.6,48.01666666666667,45.63333333333333,34.949999999999996,34.949999999999996,28.599999999999998,32.56666666666666,41.26666666666666,41.96666666666667,41.916666666666664,50.13333333333333,56.166666666666664,60.300000000000004,50.916666666666664,47.93333333333334,46.23333333333334,37.733333333333334,34.833333333333336,17.916666666666664,17.8,18.533333333333335,24.900000000000002,33.1
3,Trent Alexander-Arnold,Liverpool,29,29,40.320689655172416,40.320689655172416,34.5,7.9,84.0,32.3,2.1,42.1,29.7,34.9,15.2,36.3,37.1,55.3,,18.8,28.9,12.0,30.5,61.9,30.3,53.4,100.3,33.2,69.1,7.7,29.8,102.6,33.3,80.3,29.5,36.3,33.81666666666666,33.016666666666666,37.516666666666666,26.049999999999997,26.71666666666667,32.55,34.75,32.93333333333334,31.933333333333334,31.400000000000002,30.433333333333334,34.56666666666667,30.400000000000002,30.400000000000002,36.16666666666667,48.06666666666667,51.599999999999994,58.033333333333324,48.99999999999999,48.916666666666664,57.11666666666667,45.949999999999996,53.800000000000004,47.199999999999996,51.96666666666667
4,Emiliano Buendia,Norwich,29,28,36.17241379310343,37.4642857142857,32.8,23.4,12.8,13.8,6.2,,0.0,52.3,29.7,62.2,31.4,72.3,114.1,61.8,72.3,1.8,38.8,0.1,5.6,44.8,25.6,56.8,38.8,45.8,15.3,40.1,5.3,41.8,62.8,40.5,14.833333333333334,18.083333333333332,19.133333333333333,27.366666666666664,30.3,41.31666666666666,41.31666666666666,60.333333333333336,61.91666666666668,69.01666666666667,58.949999999999996,60.18333333333334,48.150000000000006,30.066666666666663,27.23333333333333,19.45,28.616666666666664,28.616666666666664,36.23333333333334,37.85,37.06666666666667,33.68333333333333,31.183333333333337,35.18333333333333,34.300000000000004
5,Joao Filipe Iria Santos Moutinho,Wolves,29,29,33.87241379310344,33.87241379310344,6.3,65.4,19.8,42.8,57.7,,17.3,17.8,26.4,36.6,20.9,76.2,30.0,68.8,22.8,54.6,48.4,43.8,30.3,56.1,31.4,4.6,16.0,7.3,17.3,58.0,0.9,36.2,38.8,29.8,34.88333333333333,36.800000000000004,30.3,33.1,29.45,32.53333333333333,32.53333333333333,34.650000000000006,43.150000000000006,42.550000000000004,45.550000000000004,50.13333333333333,44.73333333333333,44.78333333333333,42.66666666666668,44.1,35.766666666666666,30.366666666666664,24.283333333333335,22.116666666666664,22.433333333333334,17.35,22.616666666666664,26.416666666666668,30.166666666666668
6,Jack Grealish,Aston Villa,28,26,32.478571428571435,34.97692307692308,1.4,,15.8,72.0,63.8,,51.3,18.5,15.8,34.9,35.8,33.8,85.3,12.9,35.6,17.5,14.9,75.4,0.0,0.0,2.5,69.2,27.5,36.1,46.3,33.7,3.8,13.5,70.0,22.1,37.13333333333333,39.53333333333333,39.53333333333333,42.71666666666667,36.68333333333334,31.683333333333337,31.683333333333337,37.349999999999994,36.416666666666664,39.71666666666666,36.81666666666666,33.333333333333336,40.26666666666667,26.05,23.900000000000002,18.383333333333336,27.0,29.100000000000005,22.55,30.26666666666667,35.88333333333333,36.1,26.816666666666674,33.9,31.566666666666666
7,Lucas Digne,Everton,29,26,30.613793103448266,34.14615384615384,6.3,0.0,0.0,48.6,1.8,,39.5,66.3,41.9,14.8,0.0,27.5,16.3,18.6,19.9,19.4,53.5,55.8,58.8,57.3,42.5,49.6,26.8,26.4,19.3,40.8,36.5,53.4,29.8,16.4,16.03333333333333,26.03333333333333,33.016666666666666,35.483333333333334,27.383333333333336,31.666666666666668,31.666666666666668,27.8,19.849999999999998,16.183333333333334,16.95,25.866666666666664,30.583333333333332,37.666666666666664,44.11666666666667,47.88333333333333,52.916666666666664,48.46666666666667,43.56666666666666,36.98333333333334,34.23333333333333,33.233333333333334,33.86666666666667,34.36666666666667,32.7
8,Pascal Groß,Brighton,29,23,27.724137931034484,34.95652173913044,0.0,0.0,0.0,8.3,57.9,,21.8,18.5,16.8,0.0,0.0,46.3,5.1,59.3,29.8,79.4,28.8,0.0,16.8,41.8,2.5,69.7,58.0,33.5,41.3,69.1,0.8,14.9,72.7,10.9,14.666666666666666,17.75,20.55,20.55,19.166666666666668,17.23333333333333,17.23333333333333,14.449999999999998,21.249999999999996,23.416666666666668,36.65,41.45,33.733333333333334,35.68333333333334,32.76666666666667,28.21666666666667,26.600000000000005,31.46666666666667,37.050000000000004,41.13333333333333,45.68333333333334,45.400000000000006,36.26666666666667,38.71666666666667,34.95
9,Willian Borges Da Silva,Chelsea,29,28,27.334482758620684,28.31071428571428,45.8,8.8,1.6,19.9,1.7,,10.9,58.7,33.1,17.4,91.8,32.9,70.3,47.7,21.6,42.2,7.5,14.2,56.3,54.1,35.3,44.8,41.8,14.2,9.6,6.4,2.8,0.3,1.0,0.0,14.783333333333333,16.933333333333334,20.983333333333334,23.61666666666667,35.6,40.800000000000004,40.800000000000004,50.699999999999996,48.86666666666667,46.949999999999996,51.083333333333336,37.03333333333333,33.916666666666664,31.583333333333332,32.65,34.93333333333334,35.36666666666667,41.083333333333336,41.083333333333336,33.3,25.349999999999998,19.933333333333334,12.516666666666666,5.716666666666665,3.35
10,James Ward-Prowse,Southampton,29,29,24.937931034482755,24.937931034482755,3.6,34.1,15.9,14.5,53.2,,24.1,26.5,5.7,32.6,55.8,15.4,15.8,8.4,45.8,35.8,4.6,41.3,27.8,1.3,6.1,45.3,25.9,19.8,38.3,30.5,18.6,31.9,29.5,15.1,24.233333333333334,28.05,23.316666666666663,26.100000000000005,32.98333333333334,26.683333333333334,26.683333333333334,25.3,22.28333333333333,28.96666666666667,29.5,20.966666666666665,25.28333333333333,27.28333333333333,26.099999999999998,19.48333333333333,21.066666666666666,24.616666666666664,21.033333333333335,22.78333333333333,27.649999999999995,29.73333333333333,27.5,28.099999999999998,27.316666666666666
