,Name,Team,Team games,Played,Creativity per fixture adj,Creativity per game adj,Creativity GW29adj,Creativity GW28adj,Creativity GW27adj,Creativity GW26adj,Creativity GW25adj,Creativity GW24adj*,Creativity GW24adj,Creativity GW23adj,Creativity GW22adj,Creativity GW21adj,Creativity GW20adj,Creativity GW19adj,Creativity GW18adj,Creativity GW17adj,Creativity GW16adj,Creativity GW15adj,Creativity GW14adj,Creativity GW13adj,Creativity GW12adj,Creativity GW11adj,Creativity GW10adj,Creativity GW9adj,Creativity GW8adj,Creativity GW7adj,Creativity GW6adj,Creativity GW5adj,Creativity GW4adj,Creativity GW3adj,Creativity GW2adj,Creativity GW1adj,Creativity GW29adj 6 - average,Creativity GW28adj 6 - average,Creativity GW27adj 6 - average,Creativity GW26adj 6 - average,Creativity GW25adj 6 - average,Creativity GW24adj* 6 - average,Creativity GW24adj 6 - average,Creativity GW23adj 6 - average,Creativity GW22adj 6 - average,Creativity GW21adj 6 - average,Creativity GW20adj 6 - average,Creativity GW19adj 6 - average,Creativity GW18adj 6 - average,Creativity GW17adj 6 - average,Creativity GW16adj 6 - average,Creativity GW15adj 6 - average,Creativity GW14adj 6 - average,Creativity GW13adj 6 - average,Creativity GW12adj 6 - average,Creativity GW11adj 6 - average,Creativity GW10adj 6 - average,Creativity GW9adj 6 - average,Creativity GW8adj 6 - average,Creativity GW7adj 6 - average,Creativity GW6adj 6 - average
1,Kevin De Bruyne,Man City,28,26,51.321305505157696,55.26909823632367,0.0,,43.144075578532735,76.49862466547724,40.796095731380596,,65.64053976737412,95.92936593529191,27.846347145629714,31.414702840112195,21.014417407540638,16.159483230256896,104.95159958148693,28.557483781578973,96.76862576499386,45.8912211786921,74.99430455685616,53.74160565902578,81.24080733291098,59.28415296692606,62.32929299672891,31.85440777240609,0.0,38.664249649368855,105.61932780937438,28.484053459119487,26.76953691446028,34.277187037037024,112.27718588140738,32.84785950044602,53.668116946342764,58.30917480394771,58.30917480394771,56.35427934754429,47.10691147122153,43.00080938770091,43.00080938770091,49.55265269005306,38.324005664434225,49.811052100994914,52.22380515742489,61.22045301564415,67.48414008710563,63.532341379009644,68.65345290990082,62.91356411518999,60.574095214142325,48.075044454666305,45.56215178639015,49.625238532467385,44.49188861449962,38.56526260078818,38.96905914489334,57.681923458461235,56.71252510030743
2,James Maddison,Leicester,29,28,39.86426467000582,41.28798840822031,40.024847862883,41.10063148584904,31.22432544676566,45.78520248572787,92.81358667621775,,44.08990767172167,60.86213128602662,23.46464858949416,38.11455873745818,21.78146833184656,2.650851678808995,19.081532217467906,66.56599449685532,52.47702275355771,48.754808540890366,28.192682035998125,51.13282331975559,43.10395208282076,101.4215052063964,19.537911478599217,31.898801928046108,22.29834059233449,0.0,27.168089614216818,11.207325275397794,15.963607201646086,43.68165416174177,74.05339362464183,57.612070647002845,49.173083604860835,52.64596417538477,49.70663369265896,50.85500590777438,46.854383548794154,31.827261049226028,31.827261049226028,27.65919847351707,28.60984234198852,33.44523803599912,35.21861300323781,36.287148620596405,44.367477227420835,48.37121387164631,54.18046565656983,48.69061377741008,45.88127934193603,44.89888910132543,36.37675188136617,33.720774803265506,18.685078148099073,18.089360768606884,20.053169474222827,28.67901164627405,38.281023420774524
3,Trent Alexander-Arnold,Liverpool,29,29,39.721390164161555,39.721390164161555,27.956570987654313,7.6269898509511656,73.7759411239964,25.00094909591194,2.0112555933852136,36.9757990633363,34.77801825642244,42.057597001223975,13.364238256831575,42.855244488411515,43.443248394386295,67.01874661496798,,18.150304961757204,23.418692798353906,13.808660589060304,30.579433553971477,56.66057014689474,47.78267985035352,36.53550215175987,88.18638797106624,40.00894614443084,83.74313546282617,9.090506406632747,42.034116762177646,84.46120359531771,32.58374552772808,71.66143586439973,28.253352383268478,28.097041863207533,28.891250952539224,30.02815883066724,35.766593355712715,25.69797621118524,28.67369210993517,35.57902424343535,40.586182168707296,37.81489661959642,34.70841258578475,34.78248297448953,32.736514485416194,34.9394014441676,31.733390316731857,31.733390316731857,34.79758984839898,45.59220571051768,49.95891996974613,58.819536954555225,50.891192997844904,49.93309914981558,57.920716057075225,48.653608983185535,53.92902393651368,44.6807267565874,47.84848266601653
4,Emiliano Buendia,Norwich,29,28,38.05324207773984,39.41228643765912,38.723196121760274,28.35874630723781,14.988506184586106,21.518678333861256,5.1038933946488285,,0.0,42.380540946502045,35.791135556915535,56.93517711044997,27.60770271477049,49.466606845922065,133.60848091103708,74.89617614475625,85.35631340253866,1.7239333657587546,34.62594908516451,0.11507217157550254,5.406473818395763,44.91667617107941,30.850271725826186,46.027050205761306,26.546394821877954,41.92332976943101,14.970910107334523,63.23714396036885,4.654910570918822,58.96060673352434,51.69750083612039,63.15264293633195,18.115503390349044,18.72506086113934,19.963792402752293,26.954904223729603,27.969741620547808,35.363527195760014,35.363527195760014,57.63160734759953,63.0508798806419,71.31174285491242,62.10986889746388,63.27957662586288,55.05432084680512,33.687319664698244,28.690736335752103,19.60639605630002,26.99024886296711,25.643656485752686,32.611699418728605,34.20577213355173,37.25918343176664,32.89328990594874,35.04888266057591,39.24073366294965,42.778952524099815
5,Joao Filipe Iria Santos Moutinho,Wolves,29,29,36.27101180066316,36.27101180066316,6.316407586558043,57.50139355242007,15.325659198113204,51.86984367306744,69.53362025703794,,26.976314143173894,17.047785505836572,21.73270735785953,35.33516817022945,32.589882404181175,120.16634338603755,23.220695754716974,60.490762636185025,22.859379837067202,47.95436173059767,57.1403259845487,35.49269012345678,20.730818636672737,50.06483875458064,25.848750418060195,4.405607490272372,25.231778138800536,7.047724798980191,15.83566823168464,81.81136819484239,1.035649544179523,35.42136901212482,46.75744308445531,36.11498461349089,37.920539735061766,39.70910272160818,33.74765502251477,37.08257318453414,33.86924630638642,42.30803349455303,42.30803349455303,41.68209709647687,48.92259328486829,49.110372031402896,51.21357095813094,55.305311554858854,41.193036011095394,40.77805649142135,39.04040251115396,39.53863094131946,32.28050523459857,26.962413926973877,22.221586372894446,21.4057279720631,26.69681621210672,22.561299399793274,27.730592986768684,31.31820381104448,36.16274711346293
6,Jack Grealish,Aston Villa,28,26,30.731938637331325,33.09593391712604,1.6966771294928602,,15.132303988326845,63.30428647972851,51.69939794238682,,49.52716194351833,18.54818100814663,24.91638091206553,34.149330898429724,34.56281476760148,26.161983883647785,81.69528672178986,15.22954969422889,43.144075578532735,24.684464541547275,17.955822215422273,62.069929347826076,0.0,0.0,3.9424653341875837,69.3802230142566,21.285637775157223,35.323519926455965,41.319109346472075,29.59820495093666,3.478354871699516,15.534743162692843,56.72347736625513,19.430899044472223,33.318001415266664,37.18795204569545,37.18795204569545,40.35745653071259,35.56721124535809,31.310975568901583,31.310975568901583,36.6723296986135,36.11922447962721,39.15717359070508,37.579695864558,34.811863772528135,40.79652134989119,27.18064022959287,24.642381947221395,18.108780239830534,25.558073318615424,26.11304257857125,21.655307675009563,28.54182589942157,33.474860057911016,33.39750831416301,24.423261672235714,30.329568270752034,27.680798123754744
7,Lucas Digne,Everton,29,26,30.381163596494602,33.88668247301321,8.88640723495702,0.0,0.0,44.48632809594644,1.7377951559129239,,32.51674017558528,58.23029638715431,42.009123472505074,23.339394778390492,0.0,26.908498558934596,14.54646830124179,22.41465055079559,28.06976253581661,30.250895628761477,64.8373045913343,43.19049410377357,56.31515661478597,50.3796613234506,42.61068609979632,43.56293666369312,26.223554959252628,41.632433929020884,22.785295278962604,33.06168395061727,42.74066216698382,36.53550215175987,28.77016424789174,15.011847341018962,14.604545110400275,22.828526635766494,29.83004721451734,33.71994634424909,26.305558328258016,30.500675562094965,30.500675562094965,27.505630249704378,21.53635594364459,19.21312912086318,20.365045929258343,31.171263361147396,33.88492928528723,40.84637733754459,45.507212466320425,47.930699726983704,50.14937323280564,43.71374829412537,43.45407159833325,37.865761375696025,34.979431813557134,35.00109449142172,33.82985540609951,34.25429028753936,29.81752585620571
8,James Ward-Prowse,Southampton,29,29,26.135582531019253,26.135582531019253,2.9635510033444814,29.94951895628902,10.878548393501532,14.188117421983698,82.9560643015521,,22.060092738936405,31.03089171027592,6.907899741506646,28.6627741560993,51.07689522127183,21.7223287965616,10.810129850146179,7.377594112399641,37.702954431438116,27.710030267295586,4.441032065110805,36.85700250560036,31.990063697989704,2.0500819737775435,7.392664635647463,53.04526016888676,36.533007521489964,17.408678781925342,31.03584547325102,36.007850052246596,22.41465055079559,31.983079684317705,46.0000732499208,14.775211935996817,27.16598213593454,31.843872253756444,28.00360238462605,30.967640011725678,37.115769644940364,26.910147060775287,26.910147060775287,25.035153245976915,21.0929369796642,26.225446094652778,26.066655446518826,18.294011587158657,20.816457205331783,24.34644617997237,23.45852749020202,18.406812524236912,22.629350841168772,27.978013417231963,24.736626129952796,24.57758975916302,30.23721777224119,32.740882091432546,29.230518677337702,30.80836296540951,30.369451824421418
9,Pascal Groß,Brighton,29,23,25.969781993048123,32.74450773036502,0.0,0.0,0.0,8.01316655226515,50.85270227475466,,17.66531152263374,12.657430520740778,19.332124824684428,0.0,0.0,40.70817311126986,6.020984762834677,54.280643129416134,34.89511596098953,70.85825663304284,44.90854608805828,0.0,20.245490820073435,32.35416941823898,2.8768042893875636,47.68772471868282,50.99511966422574,47.25311783667621,33.998515677257515,67.61371819717748,1.2615889069400268,14.270337305447468,63.85132047279213,10.523315110806038,12.755196724942259,14.864768478399055,18.086789282513127,18.086789282513127,16.751261523802267,15.060506663221467,15.060506663221467,13.119785536588289,20.056987638034183,22.65081949408503,34.460528932925506,41.94528661426855,35.160591095723575,37.53134210526337,33.876929820067176,28.540544541466847,24.67878922240685,25.693218151768093,33.568737791214126,35.86090860074481,41.73750006390122,41.46829750015997,35.898732931287405,38.04143306604848,31.919799278403445
10,Gylfi Sigurdsson,Everton,29,26,25.93229885523066,28.92448718468035,1.2694867478510028,22.41465055079559,29.449905149753313,12.174242050948306,29.44597347519121,,0.0,0.0,16.743493126272906,64.02563702720636,27.90677194816053,67.80941636851519,1.517116325896383,0.0,22.286545128939824,25.261057174532777,20.117743106843918,16.873705581761,40.99130447470816,1.0550714413288085,1.4036461303462315,0.7026280107047277,27.593442158616572,106.13116679632975,68.47394436164926,11.911930246913576,83.84195647002852,15.736264971731778,24.90839723475191,11.991170741911489,15.792376329089903,15.580795204448071,14.635602300360958,20.398224279936464,23.0203125961385,29.414219745025832,29.414219745025832,29.667072466008563,29.667072466008563,30.590914466453043,24.130151157674117,22.831979684121347,14.34269455299565,20.921725911130945,21.097571151352415,17.61708798492015,13.524016457615474,14.769966299577582,29.64620983533904,34.22664981649589,36.03612628409335,49.7758446740404,52.28145083421157,51.8339433469008,36.14394400449775
