,Name,Team,Team games,Played,Threat per fixture,Threat per game,Threat GW29,Threat GW28,Threat GW27,Threat GW26,Threat GW25,Threat GW24*,Threat GW24,Threat GW23,Threat GW22,Threat GW21,Threat GW20,Threat GW19,Threat GW18,Threat GW17,Threat GW16,Threat GW15,Threat GW14,Threat GW13,Threat GW12,Threat GW11,Threat GW10,Threat GW9,Threat GW8,Threat GW7,Threat GW6,Threat GW5,Threat GW4,Threat GW3,Threat GW2,Threat GW1,Threat GW29 6 - average,Threat GW28 6 - average,Threat GW27 6 - average,Threat GW26 6 - average,Threat GW25 6 - average,Threat GW24* 6 - average,Threat GW24 6 - average,Threat GW23 6 - average,Threat GW22 6 - average,Threat GW21 6 - average,Threat GW20 6 - average,Threat GW19 6 - average,Threat GW18 6 - average,Threat GW17 6 - average,Threat GW16 6 - average,Threat GW15 6 - average,Threat GW14 6 - average,Threat GW13 6 - average,Threat GW12 6 - average,Threat GW11 6 - average,Threat GW10 6 - average,Threat GW9 6 - average,Threat GW8 6 - average,Threat GW7 6 - average,Threat GW6 6 - average
1,Mohamed Salah,Liverpool,29,26,55.793103448275865,62.23076923076923,44.0,30.0,112.0,81.0,100.0,48.0,86.0,55.0,30.0,90.0,31.0,25.0,,125.0,91.0,0.0,30.0,0.0,48.0,35.0,93.0,0.0,94.0,68.0,36.0,73.0,58.0,67.0,29.0,39.0,69.16666666666667,76.16666666666667,80.33333333333333,66.66666666666667,68.16666666666667,56.666666666666664,52.833333333333336,59.333333333333336,65.33333333333333,60.333333333333336,50.333333333333336,45.166666666666664,49.0,49.0,34.0,34.333333333333336,34.333333333333336,45.0,56.333333333333336,54.333333333333336,60.666666666666664,54.833333333333336,66.0,55.166666666666664,50.333333333333336
2,Roberto Firmino,Liverpool,29,29,48.0,48.0,31.0,12.0,38.0,35.0,66.0,31.0,73.0,46.0,82.0,58.0,24.0,63.0,,38.0,57.0,2.0,36.0,61.0,29.0,46.0,113.0,44.0,41.0,10.0,58.0,29.0,72.0,99.0,32.0,66.0,35.5,42.5,48.166666666666664,55.5,59.333333333333336,52.333333333333336,57.666666666666664,51.833333333333336,53.666666666666664,40.333333333333336,36.666666666666664,42.833333333333336,37.166666666666664,37.166666666666664,38.5,47.833333333333336,54.833333333333336,55.666666666666664,47.166666666666664,52.0,49.166666666666664,42.333333333333336,51.5,50.0,59.333333333333336
3,Raheem Sterling,Man City,28,24,47.642857142857146,55.583333333333336,34.0,,0.0,0.0,28.0,,54.0,52.0,0.0,0.0,18.0,60.0,69.0,51.0,70.0,81.0,93.0,6.0,62.0,46.0,83.0,36.0,49.0,76.0,0.0,95.0,10.0,65.0,122.0,74.0,28.0,22.333333333333332,22.333333333333332,22.333333333333332,25.333333333333332,30.666666666666668,30.666666666666668,33.166666666666664,33.0,44.666666666666664,58.166666666666664,70.66666666666667,61.666666666666664,60.5,59.666666666666664,61.833333333333336,54.333333333333336,47.0,58.666666666666664,48.333333333333336,56.5,44.333333333333336,49.166666666666664,61.333333333333336,61.0
4,Raul Jimenez,Wolves,29,29,47.03448275862069,47.03448275862069,31.0,55.0,45.0,42.0,38.0,,54.0,80.0,67.0,26.0,20.0,109.0,66.0,35.0,12.0,69.0,103.0,87.0,41.0,116.0,13.0,23.0,30.0,13.0,27.0,13.0,54.0,43.0,22.0,30.0,44.166666666666664,52.333333333333336,54.333333333333336,51.166666666666664,47.5,59.333333333333336,59.333333333333336,61.333333333333336,53.833333333333336,44.666666666666664,51.833333333333336,65.66666666666667,62.0,57.833333333333336,71.33333333333333,71.5,63.833333333333336,51.666666666666664,39.333333333333336,37.0,19.833333333333332,26.666666666666668,30.0,28.666666666666668,31.5
5,Neal Maupay,Brighton,29,28,43.10344827586207,44.642857142857146,10.0,72.0,47.0,6.0,0.0,,176.0,65.0,22.0,33.0,25.0,0.0,14.0,60.0,77.0,83.0,0.0,26.0,8.0,93.0,29.0,59.0,74.0,2.0,95.0,38.0,10.0,93.0,14.0,19.0,51.833333333333336,61.0,52.666666666666664,50.333333333333336,53.5,53.5,53.5,26.5,25.666666666666668,34.833333333333336,43.166666666666664,39.0,43.333333333333336,42.333333333333336,47.833333333333336,39.833333333333336,35.833333333333336,48.166666666666664,44.166666666666664,58.666666666666664,49.5,46.333333333333336,52.0,42.0,44.833333333333336
6,Sergio Aguero,Man City,28,22,40.464285714285715,51.5,2.0,,36.0,97.0,96.0,,35.0,151.0,109.0,0.0,23.0,0.0,2.0,0.0,0.0,0.0,0.0,35.0,44.0,111.0,0.0,0.0,46.0,7.0,56.0,89.0,58.0,68.0,51.0,17.0,69.5,87.33333333333333,87.33333333333333,81.33333333333333,69.0,53.0,53.0,47.5,22.333333333333332,4.166666666666667,4.166666666666667,0.3333333333333333,6.166666666666667,13.166666666666666,31.666666666666668,31.666666666666668,31.666666666666668,39.333333333333336,34.666666666666664,36.666666666666664,33.0,42.666666666666664,54.0,54.833333333333336,56.5
7,Gabriel Fernando de Jesus,Man City,28,24,39.964285714285715,46.625,19.0,,36.0,68.0,17.0,,38.0,14.0,76.0,93.0,0.0,0.0,102.0,25.0,54.0,64.0,100.0,0.0,2.0,27.0,48.0,128.0,10.0,59.0,0.0,49.0,0.0,0.0,48.0,42.0,32.0,41.5,41.5,51.0,39.666666666666664,36.833333333333336,36.833333333333336,47.5,49.333333333333336,45.666666666666664,40.833333333333336,57.5,57.5,40.833333333333336,41.166666666666664,40.166666666666664,50.833333333333336,35.833333333333336,45.666666666666664,45.333333333333336,49.0,41.0,19.666666666666668,26.0,23.166666666666668
8,Danny Ings,Southampton,29,29,39.13793103448276,39.13793103448276,34.0,24.0,45.0,21.0,101.0,,0.0,22.0,103.0,41.0,110.0,0.0,67.0,10.0,31.0,71.0,56.0,26.0,35.0,7.0,1.0,82.0,61.0,45.0,44.0,2.0,24.0,13.0,59.0,0.0,37.5,35.5,48.666666666666664,48.0,62.833333333333336,46.0,46.0,57.166666666666664,55.166666666666664,43.166666666666664,48.166666666666664,39.166666666666664,43.5,38.166666666666664,37.666666666666664,32.666666666666664,34.5,35.333333333333336,38.5,40.0,39.166666666666664,43.0,31.5,31.166666666666668,23.666666666666668
9,Teemu Pukki,Norwich,29,28,38.93103448275862,40.32142857142857,35.0,19.0,44.0,11.0,74.0,,29.0,54.0,0.0,24.0,4.0,44.0,66.0,48.0,60.0,36.0,28.0,24.0,50.0,40.0,16.0,26.0,70.0,33.0,44.0,33.0,24.0,38.0,114.0,41.0,35.333333333333336,38.5,35.333333333333336,32.0,30.833333333333332,25.833333333333332,25.833333333333332,32.0,31.0,41.0,43.0,47.0,43.666666666666664,41.0,39.666666666666664,32.333333333333336,30.666666666666668,37.666666666666664,39.166666666666664,38.166666666666664,37.0,38.333333333333336,40.333333333333336,47.666666666666664,49.0
10,Tammy Abraham,Chelsea,29,25,37.13793103448276,43.08,0.0,0.0,35.0,0.0,4.0,,40.0,52.0,82.0,38.0,86.0,14.0,34.0,68.0,34.0,68.0,0.0,21.0,25.0,76.0,5.0,63.0,35.0,77.0,25.0,57.0,61.0,48.0,5.0,24.0,13.166666666666666,21.833333333333332,35.5,36.0,50.333333333333336,52.0,52.0,51.0,53.666666666666664,45.666666666666664,50.666666666666664,36.333333333333336,37.5,36.0,37.333333333333336,32.5,31.666666666666668,37.5,46.833333333333336,46.833333333333336,43.666666666666664,53.0,50.5,45.5,36.666666666666664
