,Name,Team,Team games,Played,Threat per fixture adj,Threat per game adj,Threat GW29adj,Threat GW28adj,Threat GW27adj,Threat GW26adj,Threat GW25adj,Threat GW24adj*,Threat GW24adj,Threat GW23adj,Threat GW22adj,Threat GW21adj,Threat GW20adj,Threat GW19adj,Threat GW18adj,Threat GW17adj,Threat GW16adj,Threat GW15adj,Threat GW14adj,Threat GW13adj,Threat GW12adj,Threat GW11adj,Threat GW10adj,Threat GW9adj,Threat GW8adj,Threat GW7adj,Threat GW6adj,Threat GW5adj,Threat GW4adj,Threat GW3adj,Threat GW2adj,Threat GW1adj,Threat GW29adj 6 - average,Threat GW28adj 6 - average,Threat GW27adj 6 - average,Threat GW26adj 6 - average,Threat GW25adj 6 - average,Threat GW24adj* 6 - average,Threat GW24adj 6 - average,Threat GW23adj 6 - average,Threat GW22adj 6 - average,Threat GW21adj 6 - average,Threat GW20adj 6 - average,Threat GW19adj 6 - average,Threat GW18adj 6 - average,Threat GW17adj 6 - average,Threat GW16adj 6 - average,Threat GW15adj 6 - average,Threat GW14adj 6 - average,Threat GW13adj 6 - average,Threat GW12adj 6 - average,Threat GW11adj 6 - average,Threat GW10adj 6 - average,Threat GW9adj 6 - average,Threat GW8adj 6 - average,Threat GW7adj 6 - average,Threat GW6adj 6 - average
1,Mohamed Salah,Liverpool,29,26,55.70045142588647,62.12742659041184,35.654757201646085,28.96325259854873,98.36792149866189,62.69587853773583,95.77407587548635,42.157680642283665,100.7040259276879,66.27988066095469,26.376786033220217,106.25267228531783,36.300288415794476,30.297805883801075,,120.6802191606197,73.74052057613167,0.0,30.07813136456211,0.0,75.69533441640161,23.946490174374446,81.76803670298266,0.0,113.91975012309206,80.27979683779569,50.77946991404011,60.09422867892976,56.75246968793479,59.79223166768097,27.77448200389104,30.186904481132068,60.602261059060424,71.44380584673407,77.66324385713504,65.66472127956145,72.92418690415845,63.011888994209784,61.03524320112936,64.36460873995132,65.60804872581416,61.21191772027746,48.516160900151505,42.46611283085243,50.03236758628585,50.03236758628585,33.91007942191164,35.2479987763868,35.2479987763868,49.22160190280846,62.60156804244107,58.44892395871417,64.47354704280671,60.30428587363207,70.26965781824556,55.91211313171206,47.563297738934786
2,Raul Jimenez,Wolves,29,29,49.51753697401764,49.51753697401764,31.080735743380846,48.35744106090372,34.83104363207546,50.90031388478581,45.79337209302325,,84.20352391510927,76.61926070038909,55.15497700668895,25.101485585408895,31.186490338929357,171.89148857057864,51.08553066037734,30.772917038756916,12.031252545824843,60.601665923282766,121.60028050430817,70.49917901234566,28.051602775695777,103.52087870822378,10.701711956521736,22.028037451361865,47.30958401025101,12.550742792704447,24.714626719970244,18.337030802292258,62.13897265077137,42.07510683760683,26.51195226438188,36.357367060561295,49.194405054879724,56.7841592143811,57.91708187201197,56.295488864234215,53.00985160659147,74.0262043528507,74.0262043528507,68.50653881039538,60.86548153345669,53.678194123312664,59.59489084629164,74.66385587385479,57.76513761414929,53.92614963336902,66.0508099116135,65.82921981339632,59.40028173474283,47.01849898573331,37.36042628245976,36.804263606505515,22.606955622183595,31.17983240455853,34.52101063559936,31.054738677954504,35.02250938926398
3,Roberto Firmino,Liverpool,29,29,47.8603895324007,47.8603895324007,25.120397119341558,11.585301039419491,33.37483050847457,27.09081171383647,63.21089007782099,27.2268354148082,85.48132433396763,55.43408200734393,72.09654849080191,68.47394436164926,28.10344909609895,76.35047082717871,,36.68678662482839,46.18911728395061,2.3014434315100507,36.09375763747453,55.83674925622907,45.732597876575966,31.472529943463556,99.35256072512946,53.02390452876376,49.688401649433764,11.805852476146425,81.81136819484239,23.873049749163872,70.45134168157422,88.34971544925995,30.647704280155633,51.08553066037734,31.268177645616884,41.328332181387886,48.63646234270863,55.09008200642986,61.98727078106533,56.13603061744498,64.32330318617339,56.190880234650194,54.65005278075131,43.017535270869324,37.620837483506875,42.2430541768619,37.14007535176144,37.14007535176144,36.271032571533965,45.13160647839711,53.585349994606055,55.85112399659926,48.51264119991882,54.525769586296555,53.25918955391328,48.442319713320735,54.32995486673676,51.1565053051904,57.70311833589557
4,Raheem Sterling,Man City,28,24,47.50062803203922,55.41739937071242,40.973017135862904,,0.0,0.0,24.618333631005534,,63.7516033711907,47.59854034957232,0.0,0.0,21.250534457063566,70.25862274024738,83.62194423929097,45.51348977689149,84.35621175030599,79.257759391771,76.55840091973242,8.46324498567335,96.678120050681,44.05607490272373,56.78739098494511,32.95283562662699,57.37787523786869,87.45485039738193,0.0,73.53220322327041,10.02604378818737,52.671800411522625,107.26559653509553,64.99309099018731,29.49024908127191,22.661412891961422,22.661412891961422,22.661412891961422,26.20316863480535,33.80988348634566,33.80988348634566,37.12160696436237,36.77409853558223,50.833467160633234,64.0430937259284,73.26107146970655,62.9618418439442,65.13787114584254,64.89496866681458,60.3001652059211,52.582677911730435,49.385923631419814,62.55119120003792,46.438171191591074,51.35085924501552,43.557301378889235,46.84379550970517,55.15841572590964,51.41478915804388
5,Danny Ings,Southampton,29,29,41.507407462227775,41.507407462227775,27.98909280936454,21.078840321141833,30.78834450991,20.548307990459147,157.49177621159328,,0.0,25.761495004757368,124.82696024126044,36.048274245400954,100.68921997024914,0.0,45.840424048088224,8.782850133809097,25.519466973244143,54.95564661949683,54.06473818395763,23.202955572532915,40.27526005142589,11.038902935725234,1.211912235352043,96.02011774500474,86.04299068767907,39.56517904983032,35.654757201646085,2.361170495229285,28.92212974296205,13.03385692464358,92.0001464998416,0.0,42.9827269737448,42.61146067297694,59.902813992996705,60.77946894891186,74.1362876122102,47.88765824361132,47.88765824361132,55.52772891829269,52.69795477313465,36.14670589513192,39.297934624147906,31.527187659765985,35.394346921854805,34.46681958907775,34.842828389397106,30.791569266415095,37.63564778733308,42.96535653795331,45.69239378416955,44.92230997587291,43.47602123579025,48.094390820391915,34.263347350331735,35.25620665235882,28.662010144053767
6,Neal Maupay,Brighton,29,28,39.97991258281158,41.40776660362628,11.709770456707895,65.90567125325398,55.4875066378882,5.7926505197097455,0.0,,142.61902880658434,44.47205318098111,25.31587774661056,46.54784742120343,20.258384773662545,0.0,16.528193466604996,54.921392711044994,90.16523251665079,74.07097355847046,0.0,31.509718119153117,9.640709914320682,71.98415683962261,33.370929756895734,40.366940579659776,65.06273888194319,2.821081661891117,78.20481814381269,37.18265255416418,15.769861336750335,89.06989056420231,12.295990187332736,18.343393312414197,46.919104612357366,52.3794850664029,45.614519481962326,44.12457627918153,46.535531988173666,46.535531988173666,46.535531988173666,25.520392764843773,27.261949353187756,38.07017514819446,42.657362837738965,39.28096537546187,44.53258506198739,43.38467113660667,46.22846515803627,36.76274803141044,31.145409201608654,41.989199015265854,37.20775960572218,48.63511097730419,42.834860263061124,39.901348859703546,48.01850719046064,39.224049074692225,41.81110101644608
7,Teemu Pukki,Norwich,29,28,39.535794728408526,40.94778739728026,41.32048366651249,23.02633247168882,51.522990009514736,17.152569686411145,60.917437290969886,,25.49755983211287,43.758111111111106,0.0,21.968557084417995,3.5169048044293616,30.104159076356446,77.28448501427211,58.17178729689807,70.83511485687856,34.47866731517509,24.9877983088816,27.61732117812061,48.27208766424788,40.10417515274948,19.281419828641365,21.068720164609047,47.89298034874889,30.206765991074743,43.05359769429536,52.0405424112761,21.078840321141833,53.60055157593123,93.84578177257524,63.93230519480518,36.57289549286833,36.97916673363476,33.14144465501996,28.215705834170503,25.943095020506874,20.80754865140463,20.80754865140463,29.438702848431166,31.840982212729,43.64683468887542,45.73185306066827,49.31033531141031,48.89586232837101,44.06046277003364,41.04919407934221,32.456911574636,30.221920382875,34.03945072285288,34.47102485834523,33.60127653001982,35.590671073107586,35.890241155191,41.312213057078026,48.97101329438241,54.591936495004155
8,Gabriel Fernando de Jesus,Man City,28,24,38.908476820868835,45.39322295768031,22.896686046511626,,43.62884047267355,59.72338090990185,14.946845418824786,,44.86223940935642,12.814991632577163,51.99809295007022,107.01711956521736,0.0,0.0,123.6150480059084,22.31053420435857,65.07479192166461,62.623414828065975,82.32086120401335,0.0,3.1186490338929356,25.85900048638132,32.840900810570666,117.16563778356264,11.709770456707895,67.8925812295465,0.0,37.92713639937106,0.0,0.0,42.20285765315234,36.8879705619982,33.145497314974236,37.99573179890067,37.99573179890067,48.5604449809913,38.60654816267433,36.11540725953686,36.11540725953686,49.24087535896219,50.823465787592426,53.002915616191494,45.603964826666264,59.32410836066848,59.32410836066848,39.2413751986659,39.8327862456697,34.46047106048737,43.55084155307015,31.782326428519244,43.09775663344366,42.5779817944615,44.5893377799598,39.11585431153134,19.588248014270906,24.670429213678315,19.502994102420267
9,Sergio Aguero,Man City,28,22,38.62563112234813,49.159894155715804,2.4101774785801706,,43.62884047267355,85.19364629794823,84.40571530630469,,41.32048366651249,138.21883832279656,74.57621225733756,0.0,27.15346069513678,0.0,2.423824470704086,0.0,0.0,0.0,0.0,49.36892908309455,68.61027874564458,106.30922422178986,0.0,0.0,53.86494410085632,8.055052010285177,54.06473818395763,68.88806407232703,58.15105397148674,55.10280658436212,44.840536256474365,14.930845227475462,65.86295025746928,77.89062272059552,77.89062272059552,70.61914930848324,60.94578504134801,46.87816582363056,46.87816582363056,40.39538929099583,17.358916237196407,4.929547527640144,4.929547527640144,0.4039707451173477,8.632125592299772,19.663201304789855,37.381405341754835,37.381405341754835,37.381405341754835,46.358896025230884,39.47324984642932,37.048993086148165,30.81213306123769,40.50397538981881,49.687776487212496,48.183708513148844,49.329674049347226
10,Richarlison de Andrade,Everton,29,27,37.86235097053712,40.66696956094728,40.905684097421194,38.56283965728273,82.10276587203956,52.17532307549274,5.7926505197097455,,0.0,0.0,77.20053716904275,58.348486945976234,36.22117892976588,34.24717998409858,28.557483781578973,16.871242350061195,73.34812320916903,74.84757681343045,35.14545482520925,10.836324685534588,51.71800097276264,52.753572066440434,32.08334012219958,17.565700267618194,42.07510683760683,42.5786256092259,46.04282465697106,15.396372427983536,62.06178342055184,12.315337803964,28.96325259854873,29.29140944589066,36.58987720365766,29.772263187420794,36.2118794393808,32.252832951703574,29.59380892741577,34.336230504813905,34.336230504813905,39.09581113507707,41.90768486008727,41.265615866774986,44.015464178017346,43.83617682725791,39.93436761083058,43.79445380936119,49.7748420954244,42.89737824759615,33.350398823294114,34.50534082536038,39.79572431264226,38.84986159334367,32.62366165360084,37.62006886999289,36.74500845938386,34.55969941954085,32.345163392318305
