,Teams,Threat allowed av,Matches,Threat allowed GW29,Threat allowed GW28,Threat allowed GW27,Threat allowed GW26,Threat allowed GW25,Threat allowed GW24*,Threat allowed GW24,Threat allowed GW23,Threat allowed GW22,Threat allowed GW21,Threat allowed GW20,Threat allowed GW19,Threat allowed GW18,Threat allowed GW17,Threat allowed GW16,Threat allowed GW15,Threat allowed GW14,Threat allowed GW13,Threat allowed GW12,Threat allowed GW11,Threat allowed GW10,Threat allowed GW9,Threat allowed GW8,Threat allowed GW7,Threat allowed GW6,Threat allowed GW5,Threat allowed GW4,Threat allowed GW3,Threat allowed GW2,Threat allowed GW1,Threat allowed GW29 6 - average,Threat allowed GW28 6 - average,Threat allowed GW27 6 - average,Threat allowed GW26 6 - average,Threat allowed GW25 6 - average,Threat allowed GW24* 6 - average,Threat allowed GW24 6 - average,Threat allowed GW23 6 - average,Threat allowed GW22 6 - average,Threat allowed GW21 6 - average,Threat allowed GW20 6 - average,Threat allowed GW19 6 - average,Threat allowed GW18 6 - average,Threat allowed GW17 6 - average,Threat allowed GW16 6 - average,Threat allowed GW15 6 - average,Threat allowed GW14 6 - average,Threat allowed GW13 6 - average,Threat allowed GW12 6 - average,Threat allowed GW11 6 - average,Threat allowed GW10 6 - average,Threat allowed GW9 6 - average,Threat allowed GW8 6 - average,Threat allowed GW7 6 - average,Threat allowed GW6 6 - average
1,Aston Villa,248.10714285714286,28,206.0,,255.0,360.0,180.0,,144.0,180.0,312.0,205.0,299.0,205.0,236.0,170.0,448.0,356.0,221.0,137.0,227.0,348.0,435.0,238.0,349.0,173.0,262.0,152.0,251.0,131.0,154.0,313.0,220.83333333333334,238.5,238.5,230.16666666666666,220.0,224.16666666666666,224.16666666666666,239.5,237.83333333333334,260.5,285.6666666666667,272.6666666666667,261.3333333333333,259.8333333333333,289.5,287.3333333333333,267.6666666666667,289.0,295.0,300.8333333333333,268.1666666666667,237.5,219.66666666666666,187.16666666666666,210.5
2,Norwich,219.31034482758622,29,168.0,199.0,231.0,253.0,162.0,,217.0,128.0,231.0,199.0,191.0,137.0,247.0,200.0,114.0,225.0,350.0,251.0,130.0,270.0,284.0,146.0,268.0,228.0,225.0,382.0,280.0,287.0,135.0,222.0,205.0,198.33333333333334,203.66666666666666,198.33333333333334,188.0,183.83333333333334,183.83333333333334,188.83333333333334,200.83333333333334,181.33333333333334,185.66666666666666,212.16666666666666,231.16666666666666,211.66666666666666,223.33333333333334,251.66666666666666,238.5,224.83333333333334,221.0,236.83333333333334,255.5,254.83333333333334,278.3333333333333,256.1666666666667,255.16666666666666
3,Bournemouth,209.48275862068965,29,190.0,264.0,202.0,294.0,243.0,,301.0,182.0,220.0,194.0,179.0,244.0,37.0,354.0,294.0,112.0,202.0,188.0,275.0,125.0,81.0,91.0,187.0,309.0,264.0,209.0,181.0,317.0,248.0,88.0,249.0,247.66666666666666,240.33333333333334,239.0,219.83333333333334,220.0,220.0,176.0,204.66666666666666,217.0,203.33333333333334,207.16666666666666,197.83333333333334,237.5,199.33333333333334,163.83333333333334,160.33333333333334,157.83333333333334,178.0,176.16666666666666,190.16666666666666,206.83333333333334,244.5,254.66666666666666,217.83333333333334
4,Newcastle,206.20689655172413,29,126.0,97.0,231.0,202.0,258.0,,160.0,240.0,158.0,234.0,320.0,224.0,206.0,126.0,207.0,200.0,332.0,242.0,197.0,255.0,165.0,259.0,121.0,187.0,207.0,318.0,156.0,165.0,238.0,149.0,179.0,198.0,208.16666666666666,208.66666666666666,228.33333333333334,222.66666666666666,222.66666666666666,230.33333333333334,211.33333333333334,219.5,213.83333333333334,215.83333333333334,218.83333333333334,217.33333333333334,238.83333333333334,231.83333333333334,241.66666666666666,206.5,197.33333333333334,199.0,209.5,208.0,192.33333333333334,211.83333333333334,205.5
5,West Ham,193.27586206896552,29,142.0,157.0,371.0,311.0,209.0,159.0,299.0,177.0,138.0,63.0,219.0,205.0,,86.0,168.0,209.0,235.0,190.0,213.0,169.0,161.0,300.0,182.0,210.0,126.0,107.0,108.0,287.0,167.0,237.0,224.83333333333334,251.0,254.33333333333334,215.5,174.16666666666666,175.83333333333334,183.5,148.0,146.5,158.33333333333334,187.0,182.16666666666666,183.5,183.5,197.33333333333334,196.16666666666666,211.33333333333334,202.5,205.83333333333334,191.33333333333334,181.0,172.16666666666666,170.0,167.5,172.0
6,Spurs,193.06896551724137,29,334.0,178.0,195.0,255.0,294.0,,138.0,200.0,255.0,163.0,58.0,89.0,146.0,250.0,84.0,167.0,222.0,135.0,129.0,118.0,343.0,87.0,242.0,175.0,196.0,174.0,304.0,113.0,469.0,86.0,232.33333333333334,210.0,222.83333333333334,217.5,184.66666666666666,150.5,150.5,151.83333333333334,160.16666666666666,131.66666666666666,132.33333333333334,159.66666666666666,167.33333333333334,164.5,142.5,185.66666666666666,172.33333333333334,175.66666666666666,182.33333333333334,193.5,202.83333333333334,196.33333333333334,200.66666666666666,238.5,223.66666666666666
7,Arsenal,190.21428571428572,28,177.0,,240.0,107.0,139.0,,320.0,165.0,111.0,145.0,176.0,184.0,111.0,166.0,133.0,279.0,189.0,267.0,218.0,345.0,190.0,104.0,86.0,162.0,182.0,287.0,161.0,362.0,227.0,93.0,191.33333333333334,180.33333333333334,180.33333333333334,164.5,176.0,183.5,183.5,148.66666666666666,148.83333333333334,152.5,174.83333333333334,177.0,190.83333333333334,208.66666666666666,238.5,248.0,218.83333333333334,201.66666666666666,184.16666666666666,178.16666666666666,168.5,163.66666666666666,206.66666666666666,230.16666666666666,218.66666666666666
8,Crystal Palace,185.44827586206895,29,177.0,303.0,80.0,204.0,124.0,,149.0,407.0,151.0,150.0,211.0,126.0,109.0,228.0,178.0,118.0,195.0,194.0,259.0,171.0,189.0,309.0,133.0,181.0,214.0,141.0,107.0,231.0,213.0,126.0,172.83333333333334,211.16666666666666,185.83333333333334,197.5,198.66666666666666,199.0,199.0,192.33333333333334,162.5,167.0,161.66666666666666,159.0,170.33333333333334,195.33333333333334,185.83333333333334,187.66666666666666,219.5,209.16666666666666,207.0,199.5,194.5,180.83333333333334,167.83333333333334,181.16666666666666,172.0
9,Southampton,177.24137931034483,29,246.0,215.0,83.0,107.0,262.0,,68.0,126.0,123.0,155.0,55.0,128.0,215.0,165.0,202.0,101.0,70.0,219.0,341.0,447.0,392.0,45.0,157.0,135.0,90.0,214.0,276.0,180.0,163.0,160.0,163.5,143.5,128.16666666666666,140.16666666666666,131.5,109.16666666666667,109.16666666666667,133.66666666666666,140.16666666666666,153.33333333333334,144.33333333333334,146.83333333333334,162.0,183.0,230.0,261.6666666666667,252.33333333333334,266.8333333333333,252.83333333333334,211.0,172.16666666666666,152.83333333333334,175.33333333333334,176.33333333333334,180.5
10,Watford,175.82758620689654,29,125.0,98.0,237.0,139.0,193.0,,216.0,235.0,68.0,159.0,138.0,312.0,191.0,214.0,38.0,200.0,188.0,198.0,171.0,260.0,165.0,183.0,104.0,88.0,401.0,102.0,176.0,310.0,119.0,71.0,168.0,186.33333333333334,181.33333333333334,168.33333333333334,168.16666666666666,188.0,188.0,183.83333333333334,180.33333333333334,175.33333333333334,182.16666666666666,190.5,171.5,168.16666666666666,175.83333333333334,197.0,194.16666666666666,180.16666666666666,161.83333333333334,200.16666666666666,173.83333333333334,175.66666666666666,196.83333333333334,199.33333333333334,196.5
