,Team,Threat adjusted,Threat,Creativity adjusted,Creativity,Threat allowed adjusted,Threat allowed
1,Man City,284.15388606517996,286.5357142857143,240.5895725697891,241.625,110.57342479848964,107.64285714285714
2,Chelsea,220.94100984620792,225.89655172413794,191.2012624074568,193.00689655172414,125.15121946266643,120.34482758620689
3,Liverpool,219.66960783512206,223.86206896551724,186.72549834852816,190.05172413793105,113.2257449586167,108.86206896551724
4,Everton,186.24972402330678,180.17241379310346,149.7848014484519,146.54482758620688,148.8520526126119,147.51724137931035
5,Man Utd,183.09782533211367,177.86206896551724,169.03107223085127,164.7034482758621,137.0585227583389,140.86206896551724
6,Wolves,179.07239306752223,173.6206896551724,149.08224098579657,142.4241379310345,145.57615578519741,144.9655172413793
7,Leicester,176.9811127106766,184.68965517241378,160.82254413523953,164.5655172413793,134.44134170853135,140.06896551724137
8,Brighton,164.06777072146144,167.3448275862069,149.89003908598045,150.88965517241377,170.4231054349447,169.31034482758622
9,Southampton,161.50213641533057,159.89655172413794,126.50492240464675,126.8103448275862,177.66382308096084,177.24137931034483
10,Arsenal,157.09236828915496,164.25,142.73588798744663,149.6214285714286,194.8130304739525,190.21428571428572
11,Spurs,156.22391249520652,156.68965517241378,138.10284987136794,136.90689655172415,186.3864223375814,193.06896551724137
12,Aston Villa,155.32270684993108,154.07142857142858,143.81790605688784,143.9,247.3185580285996,248.10714285714286
13,Norwich,151.61850999348562,150.10344827586206,132.94931277064921,130.79310344827587,221.78561042623213,219.31034482758622
14,Watford,150.15520168962024,147.93103448275863,126.45835739048319,124.07241379310344,177.46048239122453,175.82758620689654
15,West Ham,149.91357381841863,148.72413793103448,135.12813891274817,131.9896551724138,189.84875049193562,193.27586206896552
16,Bournemouth,148.28701541877345,141.48275862068965,114.49073839935537,111.2103448275862,211.58566743596842,209.48275862068965
17,Sheffield Utd,142.51477918967456,144.39285714285714,130.20711989087678,128.39285714285714,141.04944731888426,143.78571428571428
18,Crystal Palace,141.68890872612033,147.75862068965517,109.45476477416639,110.9448275862069,183.4828425996897,185.44827586206895
19,Burnley,137.3439827616109,138.93103448275863,112.68516634607819,114.33103448275861,172.4326028694967,173.48275862068965
20,Newcastle,121.23786107205069,122.86206896551724,113.96069870064765,115.91034482758621,205.0233172775502,206.20689655172413
