,Teams,Threat av,Matches,Threat GW29,Threat GW28,Threat GW27,Threat GW26,Threat GW25,Threat GW24*,Threat GW24,Threat GW23,Threat GW22,Threat GW21,Threat GW20,Threat GW19,Threat GW18,Threat GW17,Threat GW16,Threat GW15,Threat GW14,Threat GW13,Threat GW12,Threat GW11,Threat GW10,Threat GW9,Threat GW8,Threat GW7,Threat GW6,Threat GW5,Threat GW4,Threat GW3,Threat GW2,Threat GW1,Threat GW29 6 - average,Threat GW28 6 - average,Threat GW27 6 - average,Threat GW26 6 - average,Threat GW25 6 - average,Threat GW24* 6 - average,Threat GW24 6 - average,Threat GW23 6 - average,Threat GW22 6 - average,Threat GW21 6 - average,Threat GW20 6 - average,Threat GW19 6 - average,Threat GW18 6 - average,Threat GW17 6 - average,Threat GW16 6 - average,Threat GW15 6 - average,Threat GW14 6 - average,Threat GW13 6 - average,Threat GW12 6 - average,Threat GW11 6 - average,Threat GW10 6 - average,Threat GW9 6 - average,Threat GW8 6 - average,Threat GW7 6 - average,Threat GW6 6 - average
1,Man City,286.5357142857143,28,77.0,,240.0,311.0,294.0,,238.0,407.0,312.0,184.0,184.0,84.0,378.0,166.0,435.0,268.0,332.0,182.0,252.0,447.0,435.0,309.0,240.0,257.0,401.0,382.0,185.0,317.0,469.0,237.0,261.1666666666667,300.3333333333333,300.3333333333333,291.0,269.8333333333333,234.83333333333334,234.83333333333334,258.1666666666667,218.0,238.5,252.5,277.1666666666667,293.5,272.5,319.3333333333333,319.3333333333333,326.1666666666667,310.8333333333333,323.3333333333333,348.1666666666667,337.3333333333333,295.6666666666667,297.0,335.1666666666667,331.8333333333333
2,Chelsea,225.89655172413794,29,240.0,264.0,195.0,237.0,145.0,,320.0,240.0,299.0,252.0,176.0,128.0,146.0,354.0,212.0,356.0,235.0,129.0,259.0,260.0,245.0,259.0,157.0,339.0,103.0,229.0,162.0,287.0,163.0,160.0,233.5,233.5,239.33333333333334,248.83333333333334,238.66666666666666,235.83333333333334,235.83333333333334,206.83333333333334,225.83333333333334,211.33333333333334,228.66666666666666,238.5,238.66666666666666,257.5,241.83333333333334,247.33333333333334,231.16666666666666,218.16666666666666,253.16666666666666,227.16666666666666,222.0,208.16666666666666,212.83333333333334,213.83333333333334,184.0
3,Liverpool,223.86206896551724,29,190.0,98.0,371.0,253.0,262.0,159.0,202.0,205.0,255.0,292.0,142.0,211.0,,214.0,294.0,151.0,235.0,194.0,158.0,348.0,343.0,117.0,258.0,151.0,122.0,318.0,202.0,362.0,163.0,222.0,222.16666666666666,224.16666666666666,242.0,222.66666666666666,229.16666666666666,209.16666666666666,217.83333333333334,219.83333333333334,234.66666666666666,217.33333333333334,207.83333333333334,216.5,207.66666666666666,207.66666666666666,230.0,238.16666666666666,232.5,236.33333333333334,229.16666666666666,223.16666666666666,218.16666666666666,194.66666666666666,235.5,219.66666666666666,231.5
4,Leicester,184.68965517241378,29,206.0,199.0,81.0,145.0,143.0,,299.0,243.0,123.0,234.0,219.0,29.0,49.0,200.0,448.0,200.0,230.0,243.0,218.0,171.0,392.0,173.0,46.0,187.0,196.0,112.0,181.0,130.0,113.0,138.0,178.83333333333334,185.0,172.33333333333334,197.83333333333334,210.16666666666666,191.16666666666666,191.16666666666666,149.5,142.33333333333334,196.5,190.83333333333334,192.66666666666666,228.33333333333334,256.5,251.66666666666666,242.33333333333334,237.83333333333334,207.16666666666666,197.83333333333334,194.16666666666666,184.33333333333334,149.16666666666666,142.0,153.16666666666666,145.0
5,Everton,180.17241379310346,29,39.0,203.0,240.0,204.0,193.0,,160.0,177.0,239.0,112.0,320.0,236.0,100.0,71.0,219.0,137.0,143.0,179.0,302.0,97.0,143.0,300.0,145.0,235.0,216.0,209.0,230.0,131.0,119.0,126.0,173.16666666666666,196.16666666666666,202.16666666666666,180.83333333333334,200.16666666666666,207.33333333333334,207.33333333333334,197.33333333333334,179.66666666666666,176.33333333333334,180.5,151.0,141.5,175.16666666666666,179.5,166.83333333333334,194.0,194.33333333333334,203.66666666666666,189.33333333333334,208.0,222.5,194.33333333333334,190.0,171.83333333333334
6,Man Utd,177.86206896551724,29,172.0,150.0,237.0,109.0,148.0,,254.0,90.0,231.0,145.0,201.0,224.0,191.0,220.0,164.0,167.0,221.0,147.0,311.0,125.0,284.0,60.0,121.0,162.0,126.0,91.0,276.0,231.0,110.0,190.0,178.33333333333334,164.66666666666666,178.16666666666666,162.83333333333334,178.16666666666666,190.83333333333334,190.83333333333334,180.33333333333334,202.0,190.83333333333334,194.5,197.83333333333334,185.0,205.0,189.16666666666666,209.16666666666666,191.33333333333334,174.66666666666666,177.16666666666666,146.33333333333334,140.66666666666666,139.33333333333334,167.83333333333334,166.0,170.66666666666666
7,Wolves,173.6206896551724,29,102.0,178.0,231.0,156.0,238.0,,131.0,126.0,158.0,159.0,79.0,294.0,247.0,250.0,223.0,209.0,215.0,188.0,227.0,345.0,165.0,45.0,73.0,88.0,214.0,170.0,184.0,176.0,82.0,82.0,172.66666666666666,176.66666666666666,173.33333333333334,161.33333333333334,148.5,157.83333333333334,157.83333333333334,177.16666666666666,197.83333333333334,208.66666666666666,217.0,239.66666666666666,222.0,218.66666666666666,234.5,224.83333333333334,197.5,173.83333333333334,157.16666666666666,155.0,125.83333333333333,129.0,150.83333333333334,152.33333333333334,151.33333333333334
8,Brighton,167.3448275862069,29,66.0,303.0,126.0,139.0,209.0,,301.0,180.0,113.0,224.0,179.0,89.0,115.0,228.0,158.0,279.0,107.0,103.0,81.0,270.0,94.0,238.0,242.0,92.0,207.0,181.0,111.0,180.0,167.0,71.0,190.66666666666666,209.66666666666666,178.0,194.33333333333334,201.0,181.0,181.0,150.0,158.0,165.5,174.66666666666666,162.66666666666666,165.0,159.33333333333334,166.33333333333334,155.66666666666666,148.83333333333334,171.33333333333334,169.5,190.5,175.66666666666666,178.5,168.83333333333334,156.33333333333334,152.83333333333334
9,Arsenal,164.25,28,142.0,,125.0,202.0,135.0,,54.0,142.0,151.0,174.0,80.0,244.0,71.0,56.0,168.0,166.0,350.0,231.0,97.0,137.0,189.0,127.0,187.0,145.0,262.0,102.0,304.0,88.0,226.0,149.0,133.33333333333334,134.83333333333334,134.83333333333334,143.0,122.66666666666667,140.83333333333334,140.83333333333334,143.66666666666666,129.33333333333334,132.16666666666666,130.83333333333334,175.83333333333334,173.66666666666666,178.0,191.5,195.0,188.5,161.33333333333334,147.0,174.5,168.66666666666666,187.83333333333334,181.33333333333334,187.83333333333334,188.5
10,Southampton,159.89655172413794,29,126.0,157.0,255.0,128.0,238.0,,149.0,107.0,194.0,161.0,190.0,89.0,228.0,83.0,192.0,216.0,188.0,255.0,60.0,53.0,68.0,174.0,107.0,175.0,256.0,146.0,126.0,174.0,178.0,146.0,175.5,172.33333333333334,178.5,162.83333333333334,173.16666666666666,148.33333333333334,148.33333333333334,161.5,157.5,157.16666666666666,166.33333333333334,166.0,193.66666666666666,165.66666666666666,160.66666666666666,140.0,133.0,119.5,106.16666666666667,138.83333333333334,154.33333333333334,164.0,164.0,175.83333333333334,171.0
