,Name,Team number,Team,Team games,Played,Creativity per fixture,Creativity per game,Creativity GW29,Creativity GW28,Creativity GW27,Creativity GW26,Creativity GW25,Creativity GW24*,Creativity GW24,Creativity GW23,Creativity GW22,Creativity GW21,Creativity GW20,Creativity GW19,Creativity GW18,Creativity GW17,Creativity GW16,Creativity GW15,Creativity GW14,Creativity GW13,Creativity GW12,Creativity GW11,Creativity GW10,Creativity GW9,Creativity GW8,Creativity GW7,Creativity GW6,Creativity GW5,Creativity GW4,Creativity GW3,Creativity GW2,Creativity GW1
1,Kevin De Bruyne,11,Man City,28,26,52.06785714285714,56.073076923076925,0.0,,35.6,87.1,46.4,,55.6,104.8,40.7,27.3,17.8,13.8,86.6,32.0,80.3,46.9,91.1,38.1,52.1,61.9,91.1,34.8,0.0,33.6,109.4,36.8,26.7,42.3,127.7,37.4
2,James Maddison,9,Leicester,29,28,40.40689655172414,41.85,58.5,53.1,19.8,39.1,65.8,,50.2,62.2,24.5,46.3,24.8,1.7,12.1,86.0,76.7,50.5,24.5,51.0,48.3,110.8,20.4,32.6,14.3,0.0,30.9,9.3,19.7,37.0,52.5,49.2
3,Trent Alexander-Arnold,10,Liverpool,29,29,40.320689655172416,40.320689655172416,34.5,7.9,84.0,32.3,2.1,42.1,29.7,34.9,15.2,36.3,37.1,55.3,,18.8,28.9,12.0,30.5,61.9,30.3,53.4,100.3,33.2,69.1,7.7,29.8,102.6,33.3,80.3,29.5,36.3
4,Emiliano Buendía,14,Norwich,29,28,36.17241379310343,37.4642857142857,32.8,23.4,12.8,13.8,6.2,,0.0,52.3,29.7,62.2,31.4,72.3,114.1,61.8,72.3,1.8,38.8,0.1,5.6,44.8,25.6,56.8,38.8,45.8,15.3,40.1,5.3,41.8,62.8,40.5
5,João Filipe Iria Santos Moutinho,20,Wolves,29,29,33.87241379310344,33.87241379310344,6.3,65.4,19.8,42.8,57.7,,17.3,17.8,26.4,36.6,20.9,76.2,30.0,68.8,22.8,54.6,48.4,43.8,30.3,56.1,31.4,4.6,16.0,7.3,17.3,58.0,0.9,36.2,38.8,29.8
6,Jack Grealish,2,Aston Villa,28,26,32.478571428571435,34.97692307692308,1.4,,15.8,72.0,63.8,,51.3,18.5,15.8,34.9,35.8,33.8,85.3,12.9,35.6,17.5,14.9,75.4,0.0,0.0,2.5,69.2,27.5,36.1,46.3,33.7,3.8,13.5,70.0,22.1
7,Lucas Digne,8,Everton,29,26,30.613793103448266,34.14615384615384,6.3,0.0,0.0,48.6,1.8,,39.5,66.3,41.9,14.8,0.0,27.5,16.3,18.6,19.9,19.4,53.5,55.8,58.8,57.3,42.5,49.6,26.8,26.4,19.3,40.8,36.5,53.4,29.8,16.4
8,Pascal Groß,4,Brighton,29,23,27.724137931034484,34.95652173913044,0.0,0.0,0.0,8.3,57.9,,21.8,18.5,16.8,0.0,0.0,46.3,5.1,59.3,29.8,79.4,28.8,0.0,16.8,41.8,2.5,69.7,58.0,33.5,41.3,69.1,0.8,14.9,72.7,10.9
9,Willian Borges Da Silva,6,Chelsea,29,28,27.334482758620684,28.31071428571428,45.8,8.8,1.6,19.9,1.7,,10.9,58.7,33.1,17.4,91.8,32.9,70.3,47.7,21.6,42.2,7.5,14.2,56.3,54.1,35.3,44.8,41.8,14.2,9.6,6.4,2.8,0.3,1.0,0.0
10,James Ward-Prowse,16,Southampton,29,29,24.937931034482755,24.937931034482755,3.6,34.1,15.9,14.5,53.2,,24.1,26.5,5.7,32.6,55.8,15.4,15.8,8.4,45.8,35.8,4.6,41.3,27.8,1.3,6.1,45.3,25.9,19.8,38.3,30.5,18.6,31.9,29.5,15.1
