,Team,Threat adjusted,Threat,Creativity adjusted,Creativity,Threat allowed adjusted,Threat allowed
1,Man City,295.4508827515815,292.57142857142856,244.0259497305299,241.34761904761902,115.19065268812457,113.80952380952381
2,Liverpool,218.50216532639976,221.31578947368422,185.0796642567591,186.72105263157894,105.37437725506884,104.05263157894737
3,Chelsea,214.64909085196186,219.57142857142858,190.75878557426893,189.6190476190476,131.44422021920067,129.0
4,Everton,195.6621618694877,187.28571428571428,155.2392432410849,149.15714285714287,145.60041902832552,146.14285714285714
5,Wolves,182.51404352265823,177.66666666666666,151.8937834392921,146.6047619047619,152.38982286983136,150.33333333333334
6,Man Utd,176.43713115804076,179.38095238095238,162.77877120425782,165.5095238095238,137.5715372553591,137.0952380952381
7,Leicester,175.16523000300657,184.95238095238096,159.0648981077756,163.63333333333335,131.62116569503522,137.14285714285714
8,Arsenal,165.31968747913575,168.61904761904762,149.43658159075036,147.78095238095236,197.8454122930482,193.66666666666666
9,Brighton,163.5120082465504,162.76190476190476,155.18171149329214,152.7904761904762,168.38458473634077,173.42857142857142
10,Aston Villa,160.24521660317356,158.52380952380952,149.0779985521605,148.55238095238096,254.7199387027406,252.76190476190476
11,Southampton,160.2331064425767,159.57142857142858,123.7111281166264,122.74285714285716,182.6957878891082,186.38095238095238
12,West Ham,154.524338524093,160.65,138.39181273730807,142.25500000000002,190.88243756064122,182.1
13,Norwich,151.32369452374218,151.14285714285714,134.3029630815906,132.82857142857142,228.10350820825005,227.1904761904762
14,Spurs,150.42955261551273,151.76190476190476,143.17892914698606,145.2,173.03316514996163,178.57142857142858
15,Watford,149.0347850600311,146.47619047619048,128.98687732028824,125.94285714285715,181.106084925233,180.38095238095238
16,Bournemouth,149.02233143686595,143.1904761904762,111.21038131453638,109.66190476190475,196.9320418323548,199.0
17,Crystal Palace,139.97888320995278,142.28571428571428,106.83253598433203,107.98571428571428,180.81032221098113,180.14285714285714
18,Sheffield Utd,139.48364279001203,139.2,133.80685639525998,130.565,134.89793496190777,135.45
19,Burnley,129.17919149554322,132.33333333333334,114.77063538746837,115.41904761904763,160.08327721531003,164.42857142857142
20,Newcastle,116.84144571549942,116.0,112.0211077275611,107.12857142857142,209.5607948845159,213.85714285714286
