,Teams,Threat av adj,Matches,Threat GW29 adj,Threat GW28 adj,Threat GW27 adj,Threat GW26 adj,Threat GW25 adj,Threat GW24 adj*,Threat GW24 adj,Threat GW23 adj,Threat GW22 adj,Threat GW21 adj,Threat GW20 adj,Threat GW19 adj,Threat GW18 adj,Threat GW17 adj,Threat GW16 adj,Threat GW15 adj,Threat GW14 adj,Threat GW13 adj,Threat GW12 adj,Threat GW11 adj,Threat GW10 adj,Threat GW9 adj,Threat GW8 adj,Threat GW7 adj,Threat GW6 adj,Threat GW5 adj,Threat GW4 adj,Threat GW3 adj,Threat GW2 adj,Threat GW1 adj
1,Man City,284.15388606517996,28,92.79183292533658,,290.85893648449036,273.1466391614629,258.4925031255581,,280.97928893228493,372.5501138899219,213.46585526870933,211.7327956989247,217.22768556109423,98.36207183634632,458.1028249630723,148.1419471169409,524.2136015911872,262.2355495925263,273.30525919732435,256.71843123209163,392.94977827050985,428.11011916342403,297.62066359579666,282.8451724618817,281.0344909609895,295.7354809490415,387.1421430672681,295.6768592767295,185.48181008146634,256.87631893004107,412.35708831934267,208.15354817127562
2,Chelsea,220.94100984620792,29,276.17321178120613,213.9285432098765,171.44910921593137,285.6060312117503,175.72727412604624,,285.57483781578975,197.57006688963207,292.5687661498707,252.6563034623217,157.06616079868436,122.59081712062253,128.36702536167172,286.85872839506163,243.95300374006538,243.5700143450658,206.39697814451375,203.4312112440793,237.07734520267752,251.014855854089,239.73025988869009,213.2110305183946,150.36529912451357,339.88288441955183,160.61042524548617,268.1537434586108,191.2548101135721,222.14465605345904,197.54169436238303,192.81419828641367
3,Liverpool,219.66960783512206,29,153.96372427983536,94.61329182192586,325.8437399643175,195.8278675314465,250.92807879377426,139.64731712756463,236.5373632254995,247.04319155446754,224.2026812823718,344.7308923034756,166.2787404852521,255.7134816592811,,206.6045352029809,238.23860493827155,173.75897907900884,235.61202902240316,177.57916976571212,249.16380912065526,238.09653087663733,301.57458697981775,140.99538249694,312.6733567208271,178.26837238981102,172.08598137535813,261.7803386287625,197.65515305108326,323.05653527911215,156.11174367704277,171.83314858490562
4,Everton,186.24972402330678,29,55.011092406876784,244.63301407588733,214.18112836184233,186.73273521755297,186.3302583839968,,131.71337792642137,155.456447368421,239.62244653767814,176.62244697160375,263.42675585284275,230.9238421784933,89.24213681743429,85.56130048959606,308.9084419770773,213.6274588216661,173.30344965534218,138.55015133647794,289.2377091439688,85.28494150741201,143.37242617107938,263.4855040142729,141.88117421983696,370.59174141363286,255.0064134847628,169.36009670781888,269.3247205042816,89.62829179551578,114.88756864090996,115.33492469319447
5,Man Utd,183.09782533211367,29,271.2416149921058,172.6082573632538,228.80969552853497,153.74895057306588,173.30460275927683,,248.53667759888685,140.3392065251821,178.7993573113207,129.4010983852797,196.6766621943947,184.39872909698994,184.3993748774269,253.15877746610556,258.6257259227055,146.83077558492585,151.20498081533577,173.54603139935244,311.8099618126272,101.29192386831274,219.82258647798733,93.55947101678808,99.60824205685617,144.57226164424355,110.6639116859946,110.28401341703592,264.33644941634236,211.44736193752323,128.80747502378682,268.0027578796561
6,Wolves,179.07239306752223,29,102.26564663951117,156.5022637971066,178.7993573113207,189.05830871491872,286.8111199510403,,204.27151171998727,120.6753356031128,130.0669607023411,153.50523877230827,123.18663683877095,463.63392330045986,191.18372838050308,219.8065502768351,223.58077647657834,183.56156779661012,253.82582823714813,152.34305349794235,155.3100934166571,307.8853720201483,135.82942098662204,43.09833414396886,115.11998775827745,84.95887428907628,195.88630066939376,239.79194126074495,211.7327956989247,172.21439077718145,98.817276621787,99.37680329886753
7,Leicester,176.9811127106766,29,140.94219931203244,154.03061517295595,127.73587682767771,169.79167162226446,201.70733882521486,,262.607219000892,237.77327817531298,117.80211332684821,192.63081521739127,192.3444179304192,45.220410991447565,77.27232055007664,154.8046383647798,306.5150742319929,193.0883506569915,264.6659946236558,243.63286405295307,194.54785826200674,156.5259692264782,375.43437743190657,169.27891820711585,71.72892777953753,153.94001045150497,172.32833541703874,134.96993880048956,146.67070576131684,153.47608218990354,159.3911138968481,161.59483230256896
8,Brighton,164.06777072146144,29,77.28448501427211,277.3530331907772,148.75374119944496,134.19640370660912,183.56156779661012,,243.9109526748971,123.15337803964,130.03155388031786,315.9611461318051,145.05003497942383,78.2511318985533,135.7673034756839,208.70129230197097,185.01437321598473,248.98556172064167,166.84772331327204,124.82696024126044,97.61218788249693,208.98626179245275,108.1678412809724,162.8361331857462,212.7727406679764,129.76975644699138,170.40418269230767,177.1068450606241,175.04546083792872,172.39333657587545,146.67359723461192,68.54636448323198
9,Southampton,161.50213641533057,29,103.72428511705682,137.89074710080283,174.46728555615667,125.24682965613195,371.1192350332593,,136.3881252324284,125.29454388677446,235.11097365829636,141.55541837828181,173.9177435849758,125.53813395415472,155.9942788502107,72.8976561106155,158.05605351170564,167.1890094339622,181.50304961757203,227.56744888445743,69.04330294530153,83.58026508477677,82.41003200393892,203.75000594671735,150.92786891117476,153.8645851937846,207.44586008230448,172.3654461517378,151.84118115055074,174.45316191446022,277.55976401647126,142.85966507652552
10,Arsenal,157.09236828915496,28,124.71647190008916,,143.84021446937817,166.288139632107,132.09626565295167,,76.16920487106016,167.64310516127924,138.21883832279656,209.68544063647485,112.84326647564468,197.72183539094644,81.7012418186068,88.31122348580188,147.5518822479928,166.43232688391032,270.90811713836473,221.2381152723735,117.55548682914818,160.42385525689818,173.0023870397917,149.93432644705962,151.53271810699584,174.73786719706237,179.25658359103156,98.47505883506568,267.2847651366315,137.22055749128916,221.13893361160797,122.65808319397992
11,Spurs,156.22391249520652,29,114.48343023255812,257.61495004757364,108.611643982808,246.30675607928,105.65807095622723,,167.9630326257861,226.87881202196505,190.23759106746908,148.44981760700384,147.83842963836474,179.46618380855392,88.86407234957018,161.59483230256896,179.06382677400114,171.12260097919213,163.6877489711934,166.87415254237283,187.71305437072817,59.83752921926131,198.03421365220143,170.8831903314375,88.22918533604886,129.29500243190657,151.4890294190054,123.57313359985122,136.54046933067445,129.24375209030097,127.73587682767771,203.203073765406
12,Aston Villa,155.32270684993108,28,24.238244707040863,,79.49248297665368,224.2026812823718,196.91149999999993,,208.53541870955087,75.19532841140527,149.81368269912818,139.92419250645992,133.23096195332414,106.04117727987419,205.91426313229567,42.50106891412713,210.87272895125548,232.73923710601716,133.7648500611995,199.21648411371234,146.3721307088487,130.98325942350328,252.31778138800536,318.8281924643584,207.43821540880498,135.03173822301727,162.4206890077304,93.97649643175733,97.94315033469688,164.55320535296863,200.96317695473246,75.61345329523128
13,Norwich,151.61850999348562,29,229.03353803724065,219.3561145987198,118.26868161274975,77.96622584732339,212.38782190635447,,121.33321575281298,147.48104115226334,90.38165544675641,137.30348177761246,50.99511966422574,140.2580138784789,166.2787404852521,179.3630108321024,211.32475932302103,96.73181663424123,168.66763858495082,228.99362143525008,165.09053981172775,84.21876782077389,131.35467258261932,73.74052057613167,238.78071631019088,165.67953467831904,117.41890280262372,176.62244697160375,94.85478144513824,162.21219555873924,195.9236496655518,194.91556461830848
14,Watford,150.15520168962024,29,162.01810849758272,271.32246594868536,127.73940636474904,75.19532841140527,135.785162459093,,98.522702431712,175.8452402214681,178.2737860082304,134.6623602521408,204.5714446325131,94.4468198091714,224.14650550795588,116.9493387709851,162.9334650427668,88.46959318069915,67.04185311284046,196.6766621943947,100.62301493710689,205.93896131805155,65.63716666666666,76.49267949633861,106.25267228531783,237.70834027117024,167.16053016955354,256.1249326660364,128.42054347826084,252.06779884032105,131.1822755960729,112.29169042769854
15,West Ham,149.91357381841863,29,157.9585821668587,205.91426313229567,171.52569686411144,52.0405424112761,164.42711812627286,127.86461038961036,126.03887247661247,184.11547452080407,64.93218861880534,157.20506584362136,242.3824470704086,115.33492469319447,,158.0272251945525,118.69204196718762,101.87500297335868,146.69624641833806,118.69553714949096,85.12870453190219,209.91819607023405,174.72661664696707,131.1822755960729,121.74242050948307,250.39363580246908,121.71396266829863,103.99618590014045,216.72649371069176,299.28694351833684,113.29429480651727,105.65807095622723
16,Bournemouth,148.28701541877345,29,194.91556461830848,204.52842048710596,149.70910107334524,128.68379198999602,123.15337803964,,188.48962321792254,99.07496855345909,65.65003922337712,55.3319558429973,126.32815173116084,164.2055317440791,29.35472570065593,346.99304441260733,74.84757681343045,108.01207233172181,195.18821664582958,131.1494291151284,162.1720965719063,226.55668298653606,159.29788929201803,113.00738600628928,76.74823766299349,184.43985280999104,86.19666828793773,194.4719699625993,118.76739906450024,272.8186011257808,105.36455676724755,214.86651506586495
17,Sheffield Utd,142.51477918967456,28,130.03589622641505,,234.60942464358448,238.23860493827155,113.50421160282632,,123.00491842665261,147.2495257487666,121.20333184656553,90.44082198289513,108.8120432235773,301.2178270249068,67.17449338085538,116.31152370410445,88.23864386792451,164.6417224080267,144.0301766175071,192.81419828641367,113.42017994284691,196.6766621943947,141.40388715432644,92.81182229013166,100.40594234163558,232.3393530250237,33.370929756895734,204.9565223735408,90.27461318051574,136.94608259478088,194.97094412420972,71.30951440329217
18,Crystal Palace,141.68890872612033,29,120.6802191606197,191.49743635437875,190.16118938127087,171.4575356474988,190.07422486595743,,65.12637159533072,154.54464110015329,99.05877186735206,154.03061517295595,52.67574173151749,180.0484277430865,169.5809740802675,122.3177342158859,36.68678662482839,90.7575637860082,94.9136130987875,240.13597560975603,43.726765759312315,135.73417035942884,169.56005995312515,132.4668352287028,159.84787243532557,176.47728773584902,199.0660977640342,152.98535899267722,171.73054382194246,133.7648500611995,103.89150179008854,205.97918712014956
19,Burnley,137.3439827616109,29,293.6615511698517,79.85123536789295,163.6877489711934,102.4782611867704,124.04657017623366,,78.33076805385555,167.24388847858194,234.14977793696272,140.2580138784789,115.6885189718482,37.97381661991584,29.982409465020567,103.72428511705682,73.8550008930166,100.92711255520214,178.49452631089622,191.1574671504216,187.07470785013376,51.94575089504427,222.86545128939824,198.75360659773506,144.9909361851332,118.36408000476511,174.1552181603773,36.09375763747453,93.55947101678808,183.84339617031395,202.57965057557584,153.23852140077818
20,Newcastle,121.23786107205069,29,235.60422665369643,245.60120502882125,73.22852361472665,95.48908639465468,125.39175707547166,,177.21114422627392,70.52704154727792,48.01005887250237,63.019436238306234,283.07754207573623,73.5104130966952,99.77386342506506,46.967561121049485,193.46363326848245,99.16916079962996,63.07944534700134,93.73340439683712,222.842232510288,148.43016726137373,176.8175338962892,38.08460243553008,131.35467258261932,15.754859059576559,126.32815173116084,109.15271618625275,169.91774857815255,102.86946552955884,104.49313089622638,82.9951872402139
