,Name,Team,Team games,Played,Creativity per fixture,Creativity per game,Creativity GW29,Creativity GW28,Creativity GW27,Creativity GW26,Creativity GW25,Creativity GW24*,Creativity GW24,Creativity GW23,Creativity GW22,Creativity GW21,Creativity GW20,Creativity GW19,Creativity GW18,Creativity GW17,Creativity GW16,Creativity GW15,Creativity GW14,Creativity GW13,Creativity GW12,Creativity GW11,Creativity GW10,Creativity GW9,Creativity GW8,Creativity GW7,Creativity GW6,Creativity GW5,Creativity GW4,Creativity GW3,Creativity GW2,Creativity GW1,Creativity GW29 6 - average,Creativity GW28 6 - average,Creativity GW27 6 - average,Creativity GW26 6 - average,Creativity GW25 6 - average,Creativity GW24* 6 - average,Creativity GW24 6 - average,Creativity GW23 6 - average,Creativity GW22 6 - average,Creativity GW21 6 - average,Creativity GW20 6 - average,Creativity GW19 6 - average,Creativity GW18 6 - average,Creativity GW17 6 - average,Creativity GW16 6 - average,Creativity GW15 6 - average,Creativity GW14 6 - average,Creativity GW13 6 - average,Creativity GW12 6 - average,Creativity GW11 6 - average,Creativity GW10 6 - average,Creativity GW9 6 - average,Creativity GW8 6 - average,Creativity GW7 6 - average,Creativity GW6 6 - average
1,Kevin De Bruyne,Man City,28,26,52.50423657042639,56.54302399892073,,,5.281861871480941,112.73090839385986,17.399220168590546,,83.10295343399049,69.21800971031189,47.02849984169006,12.517409026622774,32.78399705886841,34.091851115226746,109.6651554107666,71.72843217849731,45.95931470394135,72.71662354469301,51.03896856307984,12.877433001995088,24.65860098600388,69.6847438812256,14.649035036563873,8.292222023010254,,69.548237323761,197.6739406585693,10.10308638215065,15.80698937177658,57.44912028312683,140.62278270721436,83.48922729492188,55.7935755699873,55.7935755699873,55.7935755699873,56.99950009584427,43.675014873345695,46.45712003111839,46.45712003111839,50.88415369391441,51.302557438611984,51.12435991565386,61.15756233533224,64.20005758603413,60.664321233828865,46.49656216303507,46.15594744682313,40.937567502260215,30.200167248646423,33.28504537542662,64.08446331818898,61.65854421754678,52.67891846597195,59.81226600706577,81.86735945443313,81.86735945443313,84.19085778295994
2,Trent Alexander-Arnold,Liverpool,29,29,33.88072335771446,33.88072335771446,33.476513624191284,0.0,109.71174240112305,59.945160150527954,0.0,14.947491884231567,7.365551590919495,10.45822948217392,5.0615761429071435,70.83996534347534,44.27894651889801,89.53956961631775,,6.596440076828003,14.859862625598907,10.915414243936539,7.238606363534927,30.244603753089905,14.843395352363586,40.66908061504364,45.20032703876496,12.475483119487762,109.21040773391724,0.0,32.21696317195892,19.957448542118076,15.89951366186142,42.47102737426758,28.54750752449036,105.57014942169191,36.346818010012306,31.99499100446701,33.738029251495995,16.29633487512668,18.112135740617912,25.491960160434246,37.92397311578194,37.79578786343336,38.52939338733753,39.50503307084242,28.904806574185688,26.565749446551006,14.116387069225311,14.116387069225311,19.79516049226125,24.851904561122257,25.111916040380795,42.10721626877785,37.0664489765962,39.96204361319542,36.51010493437449,31.626636038223904,36.62589341402054,23.18207671244939,40.777101616064705
3,Riyad Mahrez,Man City,28,23,30.89015162549913,37.60540197886851,43.152326345443726,,89.80405330657959,,9.964746981859207,,65.6904101371765,0.0,55.28626441955566,75.55444836616515,13.8201504945755,0.0,75.01144409179688,0.0,37.90136575698853,4.466173052787782,0.0,2.810388244688511,,,,,0.0,143.72986555099487,70.11417150497437,9.022330492734907,38.78939151763915,11.080509424209595,0.0,118.72620582580566,43.98296686510245,49.38332053522269,49.38332053522269,36.719336733222,36.719336733222,35.0585455695788,35.0585455695788,36.6120512286822,36.6120512286822,33.71456811825434,21.866522232691448,19.563163816928864,20.031561857710283,7.529654509077471,31.48463210090995,36.85343305890759,37.61279263223211,44.0776912185053,45.456044748425484,45.456044748425484,45.456044748425484,45.456044748425484,45.456044748425484,45.456044748425484,41.288768127560616
4,Mohamed Salah,Liverpool,29,26,24.965748242263135,27.846411500985806,66.03663563728333,0.0,4.0016308426857,3.9721831679344177,95.98408341407776,68.19501519203186,5.560074746608733,48.97318780422211,57.95460343360901,67.49951839447021,21.213653683662415,63.2106602191925,,0.0,63.55864405632019,,12.54977285861969,,0.0,0.0,3.5292573273181915,,20.766143500804898,0.0,4.7113291919231415,52.86247730255127,20.14674246311188,8.805166184902191,3.864553570747376,30.611366033554077,39.69825804233551,29.61883122722308,37.78102919459343,46.77319129308065,57.36108049750328,44.89934220910072,44.068616380294166,43.141937255859375,45.57284663120905,38.00537486871084,26.755455136299133,23.219846189022064,13.272945707043013,13.272945707043013,16.73396962384383,6.140862281123797,6.140862281123797,4.834455003341039,4.834455003341039,13.644867887099585,17.00265829761823,17.881976440548897,17.881976440548897,15.065044785539309,20.16693912446499
5,Dwight McNeil,Burnley,29,29,23.551904390855082,23.551904390855082,9.245540946722029,8.76597985625267,80.28539419174193,14.734706282615662,137.67435550689694,,0.0,4.795866459608078,31.466808915138245,24.68655556440353,1.6270386055111885,5.56185394525528,0.0,13.750657439231873,69.47411298751831,0.0,12.060345709323885,35.27406454086304,59.491974115371704,0.0,12.330835312604904,5.851050466299058,0.0,13.561026751995088,116.52730703353882,0.0,5.921008437871933,6.449872255325317,13.468872010707855,0.0,41.7843294640382,41.04271704951921,44.826188559333474,35.55971545477708,33.375104175259665,11.356353914986054,11.356353914986054,11.356353914986054,12.848819078256687,19.183369756986696,15.06894382958611,16.807828346888225,21.759863446156185,31.6751924653848,29.38341622551282,19.859536613027256,20.834711690743763,18.824654072523117,15.205814441045126,24.711703260739643,24.711703260739643,23.64339878161748,23.74320241312186,25.9880144149065,23.727843289573986
6,Raul Jimenez,Wolves,29,29,22.91240513581654,22.91240513581654,11.449617147445679,7.1015261113643655,5.8815889060497275,0.0,0.0,,71.28899693489075,0.0,0.0,0.0,4.130030050873756,64.55234885215759,9.205263853073118,4.581226408481598,103.54454517364502,47.58335947990418,45.63223123550415,13.958579301834106,25.27278363704681,4.50161211192608,69.92819905281067,0.0,70.86292505264281,6.651783734560013,61.77669763565064,0.0,0.0,6.1619069427251825,0.0,30.394527316093445,15.953621516625086,14.045351992050806,12.861764306823412,11.881499489148458,12.56983783096075,23.328562639653683,23.328562639653683,12.981273792684078,13.744811527431011,31.002235723038513,38.93279563635588,45.84982916712761,37.41753424207369,40.09545420606931,40.08218515664339,34.479460803171,26.548900889853638,30.754016526043415,29.536217264831066,35.620202931265034,34.86993424594402,23.21523440380891,24.242218894263107,12.431731385489305,16.38885531574488
7,Emiliano Buendia,Norwich,29,28,22.89748689609355,23.715254285239748,12.763194739818573,11.111824214458467,2.112419530749321,10.447901487350462,0.0,,,48.706963658332825,12.301385402679445,85.81834435462952,12.169110029935837,53.73806357383728,105.89624643325806,34.94214713573456,24.642717838287354,0.0,16.416145861148838,0.0,0.0,9.839835017919539,16.048252582550052,20.669548213481907,16.498875617980953,15.096649527549744,1.8416540697216988,68.52502226829529,0.0,20.62940746545792,24.95182901620865,38.85958194732665,14.190383938451609,14.113415715595087,26.564502405623596,28.240617488821346,35.45564450323582,53.105018908778824,53.105018908778824,53.105018908778824,50.810882821679115,52.8677715609471,38.56471416850885,39.272553473711014,30.316209544738133,12.666835139195124,8.483116452892622,7.050705576936404,10.495630279183388,10.509418571988741,13.025526826580366,13.332469171533981,23.113333713263273,20.43862494950493,20.43193482483427,21.84076039120555,25.801249127835035
8,Richarlison de Andrade,Everton,29,27,22.175143299431635,23.817746506796944,35.66674590110779,44.36896741390228,134.42757129669192,50.29408931732178,45.33451497554779,,,,25.07748007774353,0.0,81.9796919822693,2.006554789841175,7.444898784160613,2.0473944023251534,0.0,6.408388167619705,21.173767745494846,0.0,8.803478628396988,0.0,40.890070796012886,2.203493006527424,9.884300827980043,0.0,33.355972170829766,85.67647933959961,3.634372353553772,0.0,0.0,2.4009237065911293,55.86156149705251,49.91710384686788,56.185557941595725,34.11538852378726,26.9738567682604,19.759336672723297,19.759336672723297,19.759336672723297,19.759336672723297,15.57975665976604,16.647821354369324,6.513500648240249,6.179074849933386,6.405504823972781,6.064272423585256,12.879284222920736,12.178468362738691,10.29689054315289,10.29689054315289,14.38897280022502,28.66838602349162,22.459102949748438,22.091854115327198,20.444470643997192,20.844624595095713
9,Jack Grealish,Aston Villa,28,26,22.136921448899166,23.839761560352947,0.0,,30.448150634765625,96.44492864608765,27.67030000686645,,21.03072553873062,34.7653478384018,5.888154357671738,33.64745378494263,10.099562257528305,18.02698224782944,16.426874697208405,2.18588225543499,12.731562554836273,2.1453486755490303,1.9386934116482732,63.02846074104309,,,0.0,33.08548629283905,5.419651418924332,6.190413609147072,74.62794780731201,76.25421285629271,0.0,3.463933616876602,30.442625284194946,13.871102035045626,35.05990877747536,36.04126783708731,36.04126783708731,36.57448502878348,22.183590630690258,20.576371004184086,20.576371004184086,19.80906253059705,14.379151600102583,15.519719632963339,10.26936878139774,8.909223973751068,16.40947038928668,13.671657939751944,18.821591945985954,17.60294009000063,18.277117578933638,30.391993311544258,32.59628533075253,32.59628533075253,32.59628533075253,32.59628533075253,27.65935988475879,31.82985552897056,33.109970266620316
10,Roberto Firmino,Liverpool,29,29,22.086158632461366,22.086158632461366,0.0,0.0,7.040759176015854,1.7398709431290629,113.00530433654785,7.68907368183136,18.319509923458103,26.37364566326141,34.759950637817376,0.0,0.0,13.02395761013031,,4.99369315803051,68.14159154891968,11.3641619682312,0.0,0.0,3.921619430184364,25.738537311553955,4.7991931438446045,0.0,49.86129701137543,61.2823486328125,6.65121003985405,111.3609790802002,33.75020921230316,0.0,0.0,36.681687831878655,21.579168022920687,24.63241967683037,29.02802728737394,33.64789253100753,33.357914040486015,14.523696651061377,15.412843972444534,13.191874511539934,20.153198825816315,16.253900714218616,16.253900714218616,16.253900714218616,14.736844350894293,14.736844350894293,18.194318376481533,7.637251975635688,5.743224980930488,14.05344114949306,24.267165921628475,24.722097689906757,38.992504651347794,43.81767399609089,43.81767399609089,35.50745782752832,31.407347694039345
