,Name,Team,Team games,Played,Creativity per fixture adj,Creativity per game adj,Creativity GW29 adj,Creativity GW28 adj,Creativity GW27 adj,Creativity GW26 adj,Creativity GW25 adj,Creativity GW24 adj*,Creativity GW24 adj,Creativity GW23 adj,Creativity GW22 adj,Creativity GW21 adj,Creativity GW20 adj,Creativity GW19 adj,Creativity GW18 adj,Creativity GW17 adj,Creativity GW16 adj,Creativity GW15 adj,Creativity GW14 adj,Creativity GW13 adj,Creativity GW12 adj,Creativity GW11 adj,Creativity GW10 adj,Creativity GW9 adj,Creativity GW8 adj,Creativity GW7 adj,Creativity GW6 adj,Creativity GW5 adj,Creativity GW4 adj,Creativity GW3 adj,Creativity GW2 adj,Creativity GW1 adj,Creativity GW29 adj 6 - average,Creativity GW28 adj 6 - average,Creativity GW27 adj 6 - average,Creativity GW26 adj 6 - average,Creativity GW25 adj 6 - average,Creativity GW24 adj* 6 - average,Creativity GW24 adj 6 - average,Creativity GW23 adj 6 - average,Creativity GW22 adj 6 - average,Creativity GW21 adj 6 - average,Creativity GW20 adj 6 - average,Creativity GW19 adj 6 - average,Creativity GW18 adj 6 - average,Creativity GW17 adj 6 - average,Creativity GW16 adj 6 - average,Creativity GW15 adj 6 - average,Creativity GW14 adj 6 - average,Creativity GW13 adj 6 - average,Creativity GW12 adj 6 - average,Creativity GW11 adj 6 - average,Creativity GW10 adj 6 - average,Creativity GW9 adj 6 - average,Creativity GW8 adj 6 - average,Creativity GW7 adj 6 - average,Creativity GW6 adj 6 - average
1,Kevin De Bruyne,Man City,28,26,51.40699445400571,55.361378642775385,,,6.028215965814536,83.87046883631226,16.608264046112662,,89.86836478005584,66.61403466362076,31.227613625318735,14.363894229658394,35.45294222274417,45.48004728685297,125.16140270729171,68.94891921435408,63.653722322938926,76.76317386677962,41.44366884489046,17.64131397039883,36.66206005436538,65.65591273300298,9.727174110283803,7.980269406633238,,79.80753226590146,188.6593895628052,7.899341299973268,15.092012517963274,48.440932424727585,134.23017143703015,62.11500231632951,49.036160319539135,49.036160319539135,49.036160319539135,50.42544003017977,42.35585226125176,47.16781613470848,47.16781613470848,53.04998912258113,53.43913654770335,58.84348799730671,69.24336793682691,70.24182237385129,65.60203348777559,50.85214304562121,50.3033086320627,41.315550596620184,29.85173318659578,36.24571042343095,64.74872302216534,59.954936563099984,51.527619860593376,57.979912913000675,79.02156325140015,79.02156325140015,76.07280825980483
2,Trent Alexander-Arnold,Liverpool,29,29,33.228920315750024,33.228920315750024,28.227299674790775,0.0,81.62424487774369,46.86956652643973,0.0,11.12075800788772,9.825973764714588,14.484664093365666,4.831480506388469,76.60704684281468,59.070086123662264,102.19196871612026,,6.2956217396986744,12.529793280381858,12.525583796083144,6.91119195956032,29.106804590708407,21.95531247492099,27.00486599016897,43.14555245330089,17.278563517490504,124.64239685808502,0.0,44.135315043087374,16.205458528148853,16.784293221103226,40.825253618980504,26.89703023042409,82.54256272068018,27.97364484781032,24.906757196130954,27.320867878358566,14.522073816466031,19.478320535861855,29.323334889805565,44.501870007844325,43.913478003675,43.587666201511034,44.87001674979348,33.25404093591775,28.260160680425443,14.887384640225564,14.887384640225564,18.33892534863728,23.44155187745712,24.233715164358347,43.85558264744579,39.0044485489944,42.70111564368879,40.901214400018766,36.507671194652495,40.43211954490083,24.14122510695734,37.898318893737375
3,Riyad Mahrez,Man City,28,23,32.19452795435923,39.19333837921994,59.76603908208748,,102.49382530440832,,9.511756700807833,,71.03826635293362,0.0,36.71089041523309,86.69973974674753,14.945248930873545,0.0,85.61094475690815,0.0,52.49345050283352,4.714707612346164,0.0,3.8500640147447753,,,,,0.0,164.9319425471011,66.91674558498191,7.054326290744594,37.03488175892871,9.343053568173454,0.0,88.33089955220473,46.58679630924505,51.07574642002172,51.07574642002172,36.4843170244326,36.4843170244326,34.89902424096463,34.89902424096463,37.32780397496038,37.32780397496038,39.95823065622712,26.294058633826896,23.803183812014638,24.444861147805437,10.17637035498741,37.66502744617093,40.06890995986233,40.45884640626207,46.63132669941685,47.54682495832162,47.54682495832162,47.54682495832162,47.54682495832162,47.54682495832162,47.54682495832162,34.77998445917223
4,Emiliano Buendia,Norwich,29,28,25.536010582658488,26.448010960610578,13.802246409304635,12.681981802780811,2.8180617069878315,15.53379252897392,0.0,,,41.069571188541524,17.037437909022195,82.58986627236372,11.615910979057658,35.68286234741821,141.27030764644297,39.8796512231427,26.648881469926057,0.0,15.78001192016458,0.0,0.0,9.394762644067274,22.22685477880776,17.42850340134799,10.955495386518065,14.528714985327207,1.9441388318809885,101.35742129995717,0.0,28.26105591580631,20.2608980536906,57.77587819556595,14.317608939431453,14.856807522717716,26.508121600981536,27.974429812993165,31.332608116067217,54.87765939047438,54.87765939047438,54.87765939047438,54.67933939624123,56.28124665639188,42.516268944331266,43.210285767849086,37.26314204327939,13.718090768872223,8.637276005692984,7.900271557173269,10.805022124064601,10.000936035123514,12.422388532678049,12.74641167132488,28.07352144730653,24.36904565083857,26.174471069914958,27.72537151444371,34.9332320494835
5,Raul Jimenez,Wolves,29,29,25.054255305942636,25.054255305942636,10.931731606251851,6.778695806195855,4.5986618739701495,0.0,0.0,,105.99147487426004,0.0,0.0,0.0,6.140470411821421,95.48132057356736,7.197357142288686,4.372967127827905,98.86105033496519,35.40145932687008,49.34715112932209,11.7698337828846,16.78149899126388,4.327172369628273,56.78173376255606,0.0,104.81548361978646,6.34844155322143,59.4526640527224,0.0,0.0,6.504806066863243,0.0,34.68942946606961,21.38342736011298,19.56147209240434,18.431689458038363,17.66524581237667,18.688657547680243,34.60221097660814,34.60221097660814,18.136524687946245,18.86535254258423,35.342194265078426,41.24243748622344,48.443550939140216,34.49163647402643,36.088993448855625,36.08136098915569,29.06814156042083,23.16789833927582,32.41262042101988,31.509055049409344,38.62091589298577,37.89972049804772,28.436098204288385,29.52023254876559,12.050985278801178,16.774483264275876
6,Mohamed Salah,Liverpool,29,26,24.35407521805765,27.164160820141223,55.68190058780637,0.0,2.9771662418731757,3.105747032407697,90.434753052021,50.73628854716722,7.417387267693997,67.82794125282636,55.32002855223924,72.99465411142914,28.29995852671588,72.1426497728868,,0.0,53.592465238215226,,11.982125414600498,,0.0,0.0,3.368819809786141,,23.700505777302503,0.0,6.454239558438764,42.92435888354231,21.267872725066287,8.463961549319647,3.6411239800992465,23.93423344223436,33.82264257687924,25.77855702352718,37.083213898998245,45.80702428405925,57.45517546389616,47.09937637634531,50.66710324729857,49.43087203601624,47.058292700247705,39.835308843974595,27.6695331587364,22.952873404283753,11.490568410433646,11.490568410433646,15.440652706650729,6.508575166948191,6.508575166948191,5.587260857587901,5.587260857587901,12.741320671511621,16.285966125689335,17.135156415611586,17.135156415611586,13.791926116077711,17.78096502311677
7,Andrew Robertson,Liverpool,29,28,23.05236594385585,23.87566472756499,,3.494667686513595,23.747770126297883,16.758490922722174,0.0,0.0,14.135291802750384,55.72243063071697,0.0,82.87855107957958,8.368844881977564,64.7337654252605,,13.732820152134206,0.0,17.482584343659862,0.0,40.22063719888741,36.41395121403031,5.40676836020283,44.89541692459894,86.18691714169519,1.9700824775152033,9.776786256336543,67.89275134373216,12.898768508692001,0.0,55.8169316413207,2.4090003547440095,3.5753838984517285,9.689370089714005,9.689370089714005,18.393997247081234,14.436035559364923,25.456045585507823,26.850853065837416,37.6398139700475,37.57273536161147,28.285663589825305,31.199427647101945,17.386335800505357,22.694967853323664,17.97499881811863,17.97499881811863,16.587323519463403,24.06989300689656,35.520615139902446,35.848962219488314,30.774987062396505,36.021453750680145,37.270120442095006,29.78755095466185,24.725886704599432,24.799039684137572,23.7654726244901
8,Adama Traore,Wolves,29,28,22.313335839525863,23.110240690937502,12.831822417348574,3.0071318670386495,0.0,14.994275173697082,24.279995943244092,,93.28295568100536,61.08709087141494,52.54424138965543,7.902424629595904,0.0,115.28488664376165,23.912276285008932,3.0531770392529007,0.0,12.70505072055749,12.711126985822393,45.74849601859614,8.788449660691242,6.988430056207235,28.37717964341199,0.0,46.81143966041079,12.16919837175331,51.10455874589022,6.845260933377181,0.0,0.0,2.657270608508625,,24.732696847055625,32.77524158940002,41.03142650983615,42.34849728143547,39.84945141915262,55.01693320257221,55.01693320257221,43.45515330323948,33.78283433121247,25.025460766269898,25.825898448096826,27.944419612400562,16.355021174872977,13.834383404153362,14.490258906979085,19.21978884754775,17.1022803941215,22.785665839886235,17.189116232079098,24.24180107961226,24.21793955914058,19.488409618571918,19.488409618571918,12.129381443254891,
9,Richarlison de Andrade,Everton,29,27,22.151587572862354,23.7924459115929,48.86131130687267,61.4510888535477,129.2184350335762,48.40203038458926,43.26711903915255,,,,23.94318325588543,0.0,66.5675522482438,2.1182159827749443,7.15640519718504,2.835644430528651,0.0,9.5279011159762,24.165729412392388,0.0,8.294504541167063,0.0,39.04054376196954,1.6393728585004135,10.434344528434321,0.0,36.07148182793024,72.24216011706392,4.848414535749017,0.0,0.0,2.310601181468869,59.190527978937304,51.04697609445852,51.89971999357454,30.716350151774332,23.84207928720696,17.103500185769644,17.103500185769644,17.103500185769644,17.103500185769644,13.11296964312207,14.700953162451436,7.633982689809538,7.28094669268038,7.470629916677384,6.998022511589276,13.504779805250864,12.190025095671565,9.901460948345223,9.901460948345223,14.530957162805754,26.571317182316406,20.872628977946317,20.59940016819625,18.86034274679053,19.245442943702006
10,Dwight McNeil,Burnley,29,29,21.535353556327742,21.535353556327742,8.825245258376697,7.1179801726305465,67.69641267904741,13.882817614810609,132.33940471626468,,0.0,5.473546916821936,43.10764852222451,16.392234953277466,2.2534509983681135,6.3823017703216784,0.0,11.16554094557641,66.31586942897098,0.0,11.606636632553517,33.66545666822433,44.26132843373547,0.0,16.89250778732392,6.677833819959606,0.0,9.004720652358685,91.10968017168963,0.0,8.803271809900188,8.604416761498152,12.946946419570072,0.0,38.310310073521656,37.75169368326253,43.74997174152819,35.199275453899865,33.26104768449279,12.268197193502282,12.268197193502282,12.268197193502282,13.216862864961364,17.08489968275244,14.352860523872863,15.911724796237097,20.458917279220874,27.835805351510118,25.974881860580712,17.73765492030621,18.85062722363281,16.916187784873888,12.806065115562946,20.614123738555307,20.614123738555307,19.26591774231802,19.58701489924111,21.744839302502793,20.244052527109677
11,Roberto Firmino,Liverpool,29,29,21.29522257758807,21.29522257758807,0.0,0.0,5.238241946857059,1.3603599808831082,106.47189021076069,5.720580307567813,24.439041892293133,36.52754024961247,33.179788107105644,0.0,0.0,14.864309426074804,,4.765965102528307,57.456793337601106,13.040527809964864,0.0,0.0,5.800585240337828,17.090766261983585,4.581025251071439,0.0,56.90695327402004,66.27134456643215,9.11176043998485,90.42517255297949,35.62834812059002,0.0,0.0,28.680460671405672,19.798512074344778,23.8716857230603,29.959609097995713,34.61653345803714,34.38980679455663,16.644491759429844,18.168446612514344,14.889600480886871,18.377809328884975,15.02126594602818,15.02126594602818,15.02126594602818,13.510645248405348,13.510645248405348,15.56477877498123,6.752150760559619,4.578729458898809,14.063221671235482,25.10844576564084,25.660308298915343,37.88270934741466,43.05726315900109,43.05726315900109,33.57277094666441,27.307623630826672
12,Willian Borges Da Silva,Chelsea,29,28,20.557138091002273,21.291321594252356,107.718040036514,0.0,0.0,8.522873926319619,0.0,,0.0,6.8215949669956455,6.56779524439545,4.857538912281222,65.0727621859354,8.720136855576934,34.27149621159629,42.91047591847568,66.41704371664567,10.236974038490633,0.0,4.551507514649245,100.76813003264323,24.77717643323012,17.74569183259317,10.531705190783327,73.76746590715011,1.8985957147901333,0.0,0.0,0.0,0.0,0.0,,19.37348566047227,2.557411482219211,3.652044022951786,4.461633841665322,13.886615218267954,15.33997136086411,15.33997136086411,21.05188739613016,27.0667008880435,37.04157563341854,37.93814815445344,27.092687790130867,26.397916233309587,37.48068853681741,34.458471955943146,26.34657997526773,26.395701833983182,38.69027948517487,38.24812751853168,21.45343917975781,17.323909774219455,14.366294468787261,12.611010270323375,0.3164326191316889,
13,Jack Grealish,Aston Villa,28,26,20.292733439074066,21.853712934387456,0.0,,28.687787449787802,92.06061107004624,23.331517109379195,,20.071658555403094,33.19285237866505,8.709346194343965,35.519874537085634,9.638990572095103,14.094830034883953,15.477153126001,2.3638349274038553,14.530597454134401,2.9389995316206394,2.685093389431836,51.17914268832836,,,0.0,31.58897381091292,4.237484929417613,6.534899078395342,71.73607714852446,56.732236740758516,0.0,3.97491014199108,25.669133782299365,13.240531643164465,32.8907377605469,34.34229545960422,34.34229545960422,35.48097664082052,21.744039891162007,20.2045920454128,20.2045920454128,19.438841140512455,14.300671565302252,15.27088010860066,9.840734274356493,8.68175141057928,14.862470186153347,12.282944665153181,17.153801145738026,15.438282391618563,16.037598982747678,27.546096275929784,28.471611951334808,28.471611951334808,28.471611951334808,28.471611951334808,23.869268006514503,27.44120948199479,28.558814909456313
14,Joao Filipe Iria Santos Moutinho,Wolves,29,29,20.28159882499047,20.28159882499047,0.0,41.70076782901709,9.372279043140006,37.4353802035385,63.98684652984683,,21.31266665832218,2.687363245352145,2.2891763158873633,7.447359049952886,2.8251833316970445,98.93112201817218,29.759754097611903,14.121464885287358,8.965931250236665,50.88398008282563,13.826226046619531,16.9691435491455,5.691720171767865,56.53025357826944,7.614728173202803,0.0,2.1975603194589275,0.0,41.119146295455224,17.81112738107877,0.0,4.28981577721775,16.04342707484186,14.3539430167781,28.967990043977434,29.41588391820279,22.84728533268117,22.52646533381665,16.758099188509743,22.58214510323063,22.58214510323063,23.989993009778917,25.895676616434788,27.00846910549301,34.24790594430513,36.08141306345888,22.4210833186211,18.409744330980427,25.477875779810773,25.252675266971792,16.77201191983419,14.833900965307423,12.005710373783172,17.91028139439773,11.457093694865954,10.187972332665487,10.902941628868446,13.210586088098934,15.602909924228618
15,Ashley Westwood,Burnley,29,26,20.103356878610683,22.422974979988837,61.48811874937228,4.106007105696169,44.01489562319827,12.69486816531222,54.08270564000828,,0.0,0.0,0.0,38.79342051473364,24.851329590650405,53.66685145063167,10.94550073118917,71.74602770473359,,,,0.0,0.8804204436472547,2.111322385115635,0.0,3.6368377061789388,21.409896070105106,5.724961045449976,53.70948081570233,16.684499401521872,54.191238986041704,44.7606012567732,2.078146008684051,1.4202200849642,29.39776588059787,19.149746089035826,18.465411571419796,17.595165720009025,19.621242624232053,19.551933592669286,19.551933592669286,21.376183714534147,33.33385499865641,33.33385499865641,27.015021653475355,23.225020452552886,14.280545210780943,13.062434706612569,4.673079434174489,4.673079434174489,4.673079434174489,4.673079434174489,5.627239608416152,14.432083003758663,16.86094583982637,25.892819004166654,32.74677959593237,29.52482125236219,28.807364425614555
16,Raheem Sterling,Man City,28,24,19.92038618466041,23.24045054877048,6.323891858330234,,,,68.74518608810673,,0.0,0.0,,0.0,17.97150139769885,0.0,27.76194729523863,20.12055442089719,33.20639229061175,0.0,11.886256539522154,0.0,0.0,24.508967379605618,56.41460801906036,109.0054859012666,13.123504974384332,41.75457870635185,,48.20663460170273,55.75079716215148,6.857947777230586,16.132558758332383,0.0,15.506763224022635,14.452781247634263,14.452781247634263,14.452781247634263,14.452781247634263,7.622241448822915,7.622241448822915,10.975667185639113,16.510065900741072,16.510065900741072,16.510065900741072,15.495858424378289,15.495858424378289,10.868867208505181,11.600269368289922,15.468305323031354,33.63588630657579,33.84209437905282,40.80119083011146,48.83562993039525,54.042601560819556,45.783158187181265,30.304336996692225,28.11708616762817,
17,Lucas Digne,Everton,29,26,18.708195630746832,20.8668335881407,0.0,,,7.2959189601471435,0.0,,36.96267141134063,53.91094925861551,37.11297462084735,2.2634941380029976,,16.057291491837308,5.656775096446706,9.540816221743562,12.88142790138904,9.606290465276006,17.474609052216877,6.384913780410777,36.38931267731388,52.60204342620193,20.7421641016901,15.725249499948426,48.06798944508453,95.46841350704797,1.5831204557493157,14.658220403159401,10.907336436792416,11.331289919714045,6.367202716371959,13.54719830431022,22.547085708491775,22.924334731492277,22.924334731492277,22.924334731492277,24.384563486773967,25.327359336181747,25.327359336181747,20.757050137915574,13.91879657837783,9.334349219115936,11.869535038151582,11.869535038151582,10.25747208624716,15.379561683058355,22.55643288380142,23.866555583851593,24.88638208963033,29.98527882177494,44.832528776214474,39.03149673928704,32.707526235446615,31.068388291297,30.336061694591276,23.385930573139188,9.732394706016226
18,Pascal Groß,Brighton,29,23,18.55060390261691,23.389891877212627,,,,0.0,33.43207329618271,,3.390972521294079,1.5520186927099051,20.028581894607782,,,46.38165244498639,0.0,57.81245724366068,10.12569755395931,36.176081925901435,13.959570670794035,,64.60114876687364,4.48422012426659,0.0,39.67020780195445,15.6764481292826,56.7150253860097,30.51694551658514,38.64152838654872,0.0,2.028441455704118,62.77444136456911,0.0,17.46421647496348,17.46421647496348,17.46421647496348,17.46421647496348,17.46421647496348,21.527613799543143,21.527613799543143,22.65006797165401,28.420745177185932,27.40924330655031,27.40924330655031,27.40924330655031,30.44582602686485,31.19319604757595,21.557786506965837,26.481871548298358,23.065265915528553,30.191175034731163,30.191175034731163,24.510474493016414,30.20335920339677,30.20335920339677,23.929731479021715,31.77939701823613,22.326892787234513
19,Enda Stevens,Sheffield Utd,28,28,18.166412894417622,18.166412894417622,3.3834670313440878,,0.0,16.701752184239876,0.0,,86.69397104287535,8.422741424740247,3.592712733763093,0.0,52.77451761681904,5.21928142272051,15.962412878821029,44.519862780243216,0.0,11.578201729431898,18.83514899094664,55.93432232602607,29.738851674960035,44.42090300975081,4.379130804819886,0.0,0.0,50.38151550232927,0.0,4.98381212211883,49.89955212470044,0.0,1.2374036430430673,0.0,19.200321947199928,19.235196230936427,19.235196230936427,19.235196230936427,25.247323803032955,26.11720404015304,26.11720404015304,14.328611012810654,20.344797905394483,19.7460124497673,21.675712738005952,16.019151300360548,24.47165811757814,26.767731250267975,26.75123795518591,27.481093089322556,25.551392801083907,22.412201302592802,21.486733498643332,16.53025821948333,9.95740973821133,17.54414662485809,17.54414662485809,17.75038056536527,9.353461314977055
20,James Maddison,Leicester,29,28,17.673187489077783,18.304372756544847,15.512036011570702,11.24167186638974,7.6664955541607105,20.481631514167137,59.91716747138964,,18.80753371230696,23.8550411525401,8.537914848318264,17.4777823918364,6.417017072169517,0.0,26.061458970346745,31.409633020223843,30.36268599316427,15.129746039825372,1.8760722735735293,45.340724166257374,7.168099809542909,33.813953998666214,0.0,11.850082254312547,0.0,,22.506754155767833,0.0,4.8919026119555955,36.5136765886893,44.15493260946433,11.528423096616848,22.271089354997482,23.661590211825715,23.210964042147136,24.846178515093083,22.50207610809348,12.51588152952854,12.51588152952854,13.72486907253517,14.983967717149127,18.621429574623463,18.230090182621627,17.47326604952229,25.030053410565188,21.881160217097886,22.28188038017161,17.221432714644234,16.67482208372543,16.362143371463176,12.55648170304825,11.361798401457767,6.541456503672662,12.627069268454212,18.011210994312844,19.932614843748983,19.932614843748983
21,Sadio Mane,Liverpool,29,26,17.53947995029763,19.563266098408896,8.238282054199683,0.0,0.0,0.0,,,14.628068679482801,28.48855259619138,0.0,11.452151712562348,5.748614135059178,20.958206393669577,,9.46668496078445,,135.41313789579425,29.3886188623061,10.983223616504665,27.413780554755874,36.078942768163834,4.363336927701975,28.927114952720885,9.783680154733892,0.0,0.0,8.989710555798323,6.335807470514719,29.238616430291803,82.7483878373955,0.0,8.559150554978977,7.186103545945696,9.09479549803942,10.052897853882618,13.545932252827546,13.545932252827546,13.545932252827546,12.685701633044488,30.506465849644968,35.40456899336265,35.32641431068637,38.93727538063582,41.45739810971819,41.45739810971819,40.606840104204444,40.606840104204444,22.85916961369222,19.591679829096854,17.76114255967941,13.192179133886762,8.677307098492513,9.006052188961304,9.057969101889789,21.218753715666725,21.218753715666725
22,Gerard Deulofeu,Watford,29,28,16.34733664365158,16.931170095210565,,13.485582350242261,0.0,5.555401922680332,19.084419405794083,,38.773287003863466,1.6193255119734604,9.845148820933481,28.270857933113113,20.34085001583458,10.543598045398406,19.69768892168479,0.0,71.51271400202211,12.778775842638462,0.0,22.64632786730465,11.227478823339757,16.773852131294337,0.0,11.221541446952886,28.24944048080203,9.822316063216597,0.0,66.26252588183122,0.0,5.711639215876738,50.64999097909909,0.0,13.0863360324256,13.0863360324256,12.479597110874138,17.19140676639299,19.65564811525203,18.23217788851942,18.23217788851942,15.052911541489637,14.783023956160728,25.060951486342166,22.478937804596388,19.08879613529063,21.105917772275003,19.694216089217495,22.48985811109989,10.5710724440962,10.311533378148605,15.019773458282279,12.882438157600935,11.011191687044308,19.259303978800457,19.259303978800457,18.340986940287767,22.074412023337278,20.43735934613451
