,Name,Team,Team games,Played,Threat per fixture adj,Threat per game adj,Threat GW29adj,Threat GW28adj,Threat GW27adj,Threat GW26adj,Threat GW25adj,Threat GW24adj*,Threat GW24adj,Threat GW23adj,Threat GW22adj,Threat GW21adj,Threat GW20adj,Threat GW19adj,Threat GW18adj,Threat GW17adj,Threat GW16adj,Threat GW15adj,Threat GW14adj,Threat GW13adj,Threat GW12adj,Threat GW11adj,Threat GW10adj,Threat GW9adj,Threat GW8adj,Threat GW7adj,Threat GW6adj,Threat GW5adj,Threat GW4adj,Threat GW3adj,Threat GW2adj,Threat GW1adj,Threat GW29adj 6 - average,Threat GW28adj 6 - average,Threat GW27adj 6 - average,Threat GW26adj 6 - average,Threat GW25adj 6 - average,Threat GW24adj* 6 - average,Threat GW24adj 6 - average,Threat GW23adj 6 - average,Threat GW22adj 6 - average,Threat GW21adj 6 - average,Threat GW20adj 6 - average,Threat GW19adj 6 - average,Threat GW18adj 6 - average,Threat GW17adj 6 - average,Threat GW16adj 6 - average,Threat GW15adj 6 - average,Threat GW14adj 6 - average,Threat GW13adj 6 - average,Threat GW12adj 6 - average,Threat GW11adj 6 - average,Threat GW10adj 6 - average,Threat GW9adj 6 - average,Threat GW8adj 6 - average,Threat GW7adj 6 - average,Threat GW6adj 6 - average
1,Roberto Firmino,Liverpool,29,29,53.91230779389793,53.91230779389793,80.39640499284712,0.0,68.20400881575455,53.55801534462447,110.86526700362228,48.95415879860708,114.69555571616684,45.6378429860811,63.72045902061361,106.9890426696274,33.812508284675054,150.7537094307577,,20.71655505059448,29.49837644764867,0.0,20.088356548368008,93.80679905289713,37.141423987468556,6.500891791658982,60.850842869655736,42.40816941698186,73.23060695777194,0.0,97.99442695588482,8.456646968796415,44.91360695821327,34.81719217702714,42.070765483855276,73.3752922928412,60.329642492575914,66.0461676131292,73.65247477747606,72.90521647828588,81.81038769911972,68.96826124596184,85.93485301798695,70.27168624039156,67.58177515065283,56.96169864721722,42.47825096034065,52.477299421710995,33.54191851449614,33.54191851449614,31.172641304673558,36.39805237500807,43.46608061117171,52.323122346072374,36.688655837256185,46.830822998658896,47.15678219484846,44.50057620960805,43.23541333628227,38.04210642396282,50.271321806103025
2,Mohamed Salah,Liverpool,29,26,53.39236406606179,59.55302145829968,11.669891056929474,5.622019612486987,18.610486020159186,31.68676669106018,133.48656708324967,76.24736833863433,72.45783418882019,111.07850140768409,9.249016735212741,86.80442427092687,62.27239980939057,36.1323145703119,,94.31773155335361,105.44008726253382,,21.331017572102827,,48.983441519596695,19.969838527239858,101.53524303288984,,108.56120871527146,79.6844073115941,14.033638410249678,44.96306037994758,26.521603975249178,153.96075984503474,38.980459049716806,34.77847097614548,46.22051646708664,56.351840322401756,73.92792062160127,72.36767574077687,81.55395200408798,69.68492412511146,62.999081830391056,66.6423980578133,65.70266236695493,67.71632917310328,61.41283204788157,54.36240516752312,65.26289324461943,65.26289324461943,67.63680610493908,63.34419277978247,63.34419277978247,62.12796291947361,62.12796291947361,61.45789939619876,62.54986030420031,71.2874464395578,71.2874464395578,59.690654828632006,52.20633210605724
3,Marcus Rashford,Man Utd,29,22,53.219612762161255,70.15312591375802,,,,,,,,,116.93285361988356,17.923636012591075,99.35559213432383,40.20210617712477,37.15510696665461,25.12256051318256,142.72573324647828,105.51522317857568,35.35064556563486,55.84517680796791,163.4546284808626,7.533657754299031,115.34134070323384,88.8141568361454,0.0,26.27755691033612,0.0,92.93705374640477,92.76871551970268,87.74149051298998,13.854996570891863,178.51653884539266,56.11530923729341,56.11530923729341,56.11530923729341,56.11530923729341,56.11530923729341,56.11530923729341,56.11530923729341,56.11530923729341,56.11530923729341,60.414122508392516,75.01272036938995,64.34522927460846,66.95240771308231,88.0023279654503,85.07084417230307,80.50677874842899,77.72326769135728,71.83149343041813,66.90355678081282,39.661118700669064,53.89501803268669,50.13291383543149,49.954136114905594,52.263302210054235,77.63646586589698
4,Dominic Calvert-Lewin,Everton,29,27,50.33862648538595,54.06741363245158,48.86131130687267,86.13179682029345,141.52507761334576,145.78440662801742,50.324453673465314,,44.3274411219177,92.193805923982,86.11628388811764,3.1017963717345145,111.38865835428372,39.17482931060621,5.468312361102106,15.32222654039537,150.1158389271775,33.56370399176014,8.97925391153247,0.0,12.896511218917782,45.72630669415253,29.96197326844952,,0.0,199.96368021218248,,72.9101202389133,3.459038112648211,26.82387811547222,0.0,5.699463470852267,86.15908119398539,93.38116363017026,93.37857814147429,70.30803126787242,64.57540655558348,62.71713582844029,62.71713582844029,56.240614368304364,43.42868447103992,54.0952769775499,59.1722615808875,42.10402750709564,35.57488928866127,36.81292243163055,41.880269123923405,21.85462484746874,16.260674182175382,48.09141189895038,60.24309860543593,58.67018642105768,55.519781657944286,50.526119446536036,50.526119446536036,51.47603002501142,
5,Sergio Aguero,Man City,28,22,50.13510888526338,63.808320399426115,0.0,,124.64789344662617,42.55533044569729,95.70059771503033,,67.9501222182103,141.544975266258,87.92189023983978,,40.77235768909146,0.0,0.0,,,,,56.33889070230999,30.368828169624198,101.45924135174876,0.0,,36.20445820352353,12.805086090103504,222.6579393623564,75.0071636901387,43.93804604544521,101.65679088538997,65.62610785622633,56.627329409755035,78.73315318197035,93.38680155527697,93.38680155527697,79.40754559568786,72.31499052140498,56.36489090223326,56.36489090223326,54.429685649583206,35.90032780014424,38.156552985462405,38.156552985462405,31.361160037280495,37.395236404534415,39.52941741955167,39.52941741955167,39.52941741955167,39.52941741955167,39.52941741955167,67.24925886289273,74.68898144964514,65.10211556526123,82.04491404615955,82.04491404615955,86.94852232161001,94.25222954155193
6,Gabriel Fernando de Jesus,Man City,28,24,49.70965786055295,57.99460083731177,6.323891858330234,,55.21583053060034,80.63862948319516,2.181716113463899,,96.2391006589047,5.868751877342068,95.90866046386718,151.97358704534565,0.0,,178.1441216942925,46.96875742180537,70.84043563734619,85.37101629227526,72.77817998905915,0.0,0.0,57.41257218240169,68.27197941412929,143.23080806752526,4.350835434889549,91.72869321681668,,15.169579636767818,,,47.89037004840914,15.362903028715378,41.0779867536394,56.00878152122889,56.00878152122889,72.13507427368644,58.69530269315391,88.02237028995869,88.02237028995869,79.8106464171088,90.6392603771095,88.88298634851083,75.68375183912974,75.68375183912974,75.68375183912974,45.993064890080994,47.73370068351371,47.305624646310896,56.948923275519235,45.54436584982431,60.83248138596042,63.36074465875506,61.77371096975629,52.955531572187304,,,
7,Raheem Sterling,Man City,28,24,49.70000215314,57.98333584533,67.29782608149598,,,,51.24680309240299,,82.80849270232655,39.552641467893785,,0.0,1.6203018051420048,252.68130307808914,18.986570560164658,72.93435487171591,12.676693611156336,85.39120781346007,62.45989503906109,0.0,52.8466752679902,7.591980164868722,41.04404385979489,118.51938291967973,19.871755510645922,84.95181697128163,,63.707637289293785,0.0,53.15833764809276,84.01424425075936,118.23809628260425,40.42101085821022,71.31825702430908,71.31825702430908,71.31825702430908,71.31825702430908,65.94155160226936,65.94155160226936,64.29586196383424,59.81653732104468,59.81653732104468,74.04840528995469,84.18833749560788,42.07478698259301,47.718137767230594,36.82774198275607,41.5556336908625,47.07699620856577,39.97897295382992,54.137609115710184,55.947769452594116,54.68243942511598,56.7014883898323,50.95063194501224,67.34502207367196,
8,Raul Jimenez,Wolves,29,29,48.14357196974704,48.14357196974704,46.775771913492804,61.815640852879724,98.51698995966706,81.03666744645695,13.778538682016345,,109.06623825176122,169.69742739903913,57.54247896137467,15.611803546091757,9.922060022873051,118.3525190176819,41.503501075374665,18.925308260592914,0.0,32.55293061657664,57.44624502960871,67.91969093323861,36.99277144092307,28.256452336021948,3.877511483158594,71.71617773076335,18.96025590126548,17.928094691942245,10.59847802033226,13.400404393712948,57.5126474812854,97.04213081923987,14.829317792392457,24.585533062900367,68.49830785104568,88.98525043197007,88.27305678338588,74.45552571445668,62.603091143859366,80.03208786647029,80.03208786647029,68.77163167040585,43.64294514733149,34.05253198710238,36.87605316551653,44.796750666639134,36.39127931923193,35.63949104682332,37.194681726061496,37.84093363992126,44.36814149228571,37.95380997089517,29.62187726401245,25.222828360580646,22.746820370195817,31.68600970321695,35.9070018846297,35.21851219981753,36.328085261643885
9,Chris Wood,Burnley,29,26,46.95734036836956,52.375495026258356,141.2491329488566,8.77207052699524,,0.0,9.323482254942121,,72.43970095173793,119.67080054969472,20.21691058827786,65.88875273740017,0.0,53.66685145063167,0.0,76.39207057621469,26.070551203270874,0.0,120.65386939889102,56.951319733689196,118.79816670958479,,,168.76864232022692,15.939979483458066,52.16213901574082,141.67438250405525,11.268026017547514,8.10059960814335,71.56336714206157,0.0,2.1920549612969715,58.575864538704444,38.40382747860798,47.923274513675466,47.923274513675466,47.923274513675466,55.31383604629039,55.31383604629039,43.24055255433407,36.0274308920874,37.0030376612529,26.021578871686202,46.13055710483471,46.6779684853443,66.47766293694177,81.87375822761048,80.18532960764166,88.87901944359847,92.38243829445916,84.76855600843555,66.31896149152865,66.31896149152865,66.31896149152865,50.11808229516776,47.46141904792475,39.133071705517445
10,Jamie Vardy,Leicester,29,26,46.79865762721858,52.198502738051495,55.68276459562718,,67.79877504419169,0.0,34.231930682800055,,8.265534842271707,115.9217945894855,0.0,,,9.102745377706388,65.04950375329615,35.50912258751307,108.15347628189943,84.53372239521842,121.44751158619971,168.61826679888415,64.32033072656407,22.942710959241012,186.60242264765355,12.501342183559093,0.0,65.50687843183036,25.19792890706568,0.0,56.146595376010836,42.922961011577335,6.7047524107434935,0.0,46.983466625729356,37.70300585979149,37.70300585979149,27.920334248710606,38.761918207593304,38.974783525045474,38.974783525045474,55.622773764983414,50.391428399272236,70.63268033030552,70.63268033030552,70.63268033030552,97.2186005671685,97.0970717293798,95.00266979133447,108.0774941856268,96.0720974836836,75.8308455526503,58.64561415814135,52.12521385489162,48.30142869501811,26.558790816410994,31.629060621080708,32.74651935620462,21.82870628423289
