,Teams,Threat allowed av,Matches,Threat allowed GW29,Threat allowed GW28,Threat allowed GW27,Threat allowed GW26,Threat allowed GW25,Threat allowed GW24*,Threat allowed GW24,Threat allowed GW23,Threat allowed GW22,Threat allowed GW21,Threat allowed GW20,Threat allowed GW19,Threat allowed GW18,Threat allowed GW17,Threat allowed GW16,Threat allowed GW15,Threat allowed GW14,Threat allowed GW13,Threat allowed GW12,Threat allowed GW11,Threat allowed GW10,Threat allowed GW9,Threat allowed GW8,Threat allowed GW7,Threat allowed GW6,Threat allowed GW5,Threat allowed GW4,Threat allowed GW3,Threat allowed GW2,Threat allowed GW1,Threat allowed GW29 6 - average,Threat allowed GW28 6 - average,Threat allowed GW27 6 - average,Threat allowed GW26 6 - average,Threat allowed GW25 6 - average,Threat allowed GW24* 6 - average,Threat allowed GW24 6 - average,Threat allowed GW23 6 - average,Threat allowed GW22 6 - average,Threat allowed GW21 6 - average,Threat allowed GW20 6 - average,Threat allowed GW19 6 - average,Threat allowed GW18 6 - average,Threat allowed GW17 6 - average,Threat allowed GW16 6 - average,Threat allowed GW15 6 - average,Threat allowed GW14 6 - average,Threat allowed GW13 6 - average,Threat allowed GW12 6 - average,Threat allowed GW11 6 - average,Threat allowed GW10 6 - average,Threat allowed GW9 6 - average,Threat allowed GW8 6 - average,Threat allowed GW7 6 - average,Threat allowed GW6 6 - average
1,Aston Villa,222.97235233875523,28,241.23922158032656,,302.92571503669024,434.3211870640516,275.97603127360344,,183.77475291490555,130.02842385321856,379.4244086369872,237.4430033378303,327.1201099269092,145.1425390318036,273.93958047032356,188.79975825548172,410.3634737432003,197.94085510075092,184.80411283671856,69.78403460234404,210.3806421160698,240.2513239532709,325.1281149685383,132.3776539415121,186.72962514683604,166.91895322874188,256.6419705748558,53.527862671762705,141.5967620909214,125.6678672041744,162.77734488248825,258.20053704082966,261.3775552871327,284.4084197965761,284.4084197965761,273.4946345134328,255.62778832390904,233.82220628360906,233.82220628360906,248.8496775428454,258.6448999432226,263.8014107942581,257.2177194214116,233.49838657304645,220.9386358348032,210.34547944242755,218.9207403920591,204.71484726294875,193.7876470697423,194.1085657880952,210.29771889249483,218.0079403022925,186.88736342204115,156.298804609105,155.1805068195487,151.18846010882407,166.4020574108387
2,West Ham,199.00437458257736,29,155.9735837392509,87.00248040258884,252.19033230096102,220.70541251450777,203.17888371646404,259.9910791963339,303.14307920634747,195.4731710255146,202.9063906520605,72.07091711461544,262.7665925770998,214.19482100754976,,82.51237869262695,179.18142899870872,182.23749697208405,274.19731449335814,221.23407870531082,241.58032862469554,193.19172017276287,125.3776917234063,229.8820946365595,206.82007716968656,231.95664994418624,127.8264096006751,140.50236213952303,116.7403718456626,229.3475973419845,240.56527884677052,318.37683953344816,196.5069619783511,221.03521122286716,239.11365966002145,230.8996693852047,206.12725348522267,216.05853829532862,208.42582859719792,171.6540451782445,168.93875484044352,165.4939392271141,199.18167212357125,192.25958647827306,196.82383774779737,196.82383774779737,215.27039466115335,206.30310511526963,214.2438713926822,203.01433183873692,204.80142704521617,185.84244054121277,177.06088086900613,175.62132755604884,175.53224467361966,181.15644495313367,195.55980988467732
3,Norwich,189.36158291802838,29,119.7876375168562,142.65376944094896,369.81254406273365,213.6745821684599,98.86647146195173,,232.9588670283556,55.82978557795286,313.4555898606777,129.89600859582424,182.18874149024487,65.41937366127968,181.73485938459635,106.50818543508649,71.28992918878794,202.71853897720575,202.56558619439602,81.26933397725224,136.01748021319509,265.49633480608463,451.2320600450039,67.55542438477278,417.96979345381266,180.49684893339872,239.31216225028038,234.53390412032604,221.79715558886528,190.5989270657301,92.23426710814238,223.61174263060093,196.292311946551,185.6326699567338,214.09964002668858,174.11355078220367,168.86591066916785,163.29139436905584,163.29139436905584,154.75405976176262,163.20045973795155,122.83951629263659,134.9766046895335,138.3727454735587,141.0144055262208,133.39484233098725,159.8928672261536,223.2165557021896,200.68936993678412,236.59007114668688,253.1279903060446,270.34377064555883,265.18336553126574,226.94421478857598,247.4514652354022,193.16221084445715,200.3480264606575
4,Newcastle,182.33598263870024,29,34.88713949918747,61.761244758963585,175.55208019912243,302.25744768977165,242.14834794402122,,205.25412652641535,205.4356697946787,207.98816718161106,265.20729400217533,287.94988729059696,199.6384732425213,98.53680711239576,143.60236395150423,194.74571235477924,109.17527806013823,248.49872589111328,269.85012367367744,192.2173948958516,160.66447999328375,193.25524177402258,231.95886705070734,97.25687317550182,182.43773989379406,123.73285442590714,293.2813139632344,111.44526060670614,126.12380441278219,209.5719700679183,113.30880708992481,170.31006443624696,198.73481948549548,223.1059732226034,238.04850885644555,235.6639154565831,228.57893633966646,228.57893633966646,210.79271643732986,200.48716546346745,198.28008965899548,172.27475366865596,165.69956010207534,177.40150184060136,193.014933137844,195.85861914480725,195.6102073813478,216.074138879776,190.8671634271741,176.29843279719353,164.88434271886945,186.98714838052788,173.35215151930848,155.71297441298762,174.43215722839037,162.9106684277455
5,Bournemouth,175.58991801122139,29,189.45327457040548,204.06293282285333,309.93532966822386,212.71774135529995,145.24512477219105,,208.72743427753448,176.1026805266738,235.14222502708435,232.82472603023052,106.283950060606,145.131741091609,14.431825280189512,203.30155473202467,307.2398578748107,38.37624974548817,297.04277692362666,127.64991410076618,237.32647001743317,64.11288864910603,67.49028470367193,40.287323854863644,124.10904876887797,130.24743013083935,218.02082508802414,151.52766536921263,225.44452138245106,313.68473079055553,165.06934687495232,201.11774783581498,211.69030624441803,209.46520723712942,214.6450892711679,201.79332199816903,184.0543567823867,184.03545950228968,184.03545950228968,151.6528580027322,156.186003703624,168.20227584491172,135.79419646412134,167.5873342746248,164.67369644281766,201.82280389902493,178.62469288520515,138.66643069001535,138.98494304157794,110.16265501578648,110.59557435413201,107.37796686589718,121.94709631924827,148.27280243237814,193.8390369216601,200.6657532726725,212.47747289016843
6,Southampton,157.1420999436543,29,324.3156397715211,278.68175338953733,47.23502993583679,89.26985524594785,386.74177695065737,,67.4589317291975,217.72044952958822,78.01141496747732,108.22402834892273,13.783705979585648,85.99730134010315,92.10535828024149,90.32402485609055,111.92936785519123,90.12892320752144,50.4004817456007,161.79230064153668,210.42861081659794,336.64131984114647,441.18855968117714,88.74950557947157,215.20109586417675,119.00841733440757,129.77269385010004,188.0341999232769,190.35579729825258,100.50658211112022,152.1897204220295,90.92405186966062,198.95049783711633,181.18463279679418,147.73957639311752,157.90440946196517,145.32338458423814,95.19930531581242,95.19930531581242,99.30704307431976,78.07430562873681,83.72729777668913,80.71144691978891,86.81424288079143,99.44674276436369,119.16728485375643,160.22016735126576,215.0966993222634,214.86679638425508,242.33356540401778,235.20291818616292,221.76026535841325,196.99241203876832,155.18695164161423,157.146464396889,146.64456848986447,141.96384091240665
7,Watford,155.1313895764279,29,85.61067096889019,20.603114739060402,250.4419439472258,76.20101347565651,296.230898052454,,110.02327613532543,176.6970867291093,32.04473601654172,123.25241528451443,61.09971012920141,204.9168810248375,153.18260453641415,162.06605285406113,21.074623242020607,228.73539365828037,196.71000204980373,292.592865601182,62.11274787783623,219.13464404642582,89.98541235923767,89.1617126762867,35.3723575361073,116.36286247521639,663.8958435505629,100.61551239341499,104.37609208747745,357.46687361970544,83.29132422804834,85.55162642151117,139.85181955310205,155.0328888464719,156.93982572605213,135.74157094893357,133.22468705785772,118.00568421992163,118.00568421992163,125.19890562010308,122.76039997426172,120.93204784517486,138.51254424080253,161.11425956090292,175.72692365696034,160.548614213864,170.06004607925811,181.5451775987943,158.2828974351287,131.3932900161793,102.02162282851835,202.31880544063947,182.5656168318043,184.9640634531776,229.68159027708074,237.66808472573757,232.5328787167867
8,Spurs,155.10801154285156,29,339.46203142404556,269.1329397261143,184.5388650894165,171.31280601024628,326.0047343559563,,142.47160535305738,239.1742993146181,174.56401586532593,151.19242649525404,26.80521234869957,109.00675179436801,149.37439151108265,72.03825283795595,110.77056378126144,147.68314762040973,102.94913528487086,66.14491958171129,92.79526975005865,115.53235072642565,219.08991746604443,84.68514457345009,270.7491980865598,116.25578990206122,128.79502307623625,57.73233361542225,193.21654047816992,51.42799839377403,321.2668063119054,63.95986396819353,238.8204969931394,222.10587497490147,206.3443876647701,200.78664789907634,176.70204895548522,140.53571852855384,140.53571852855384,141.68618288822472,113.83017514211436,103.19793312810361,102.61305331562956,115.30370713832478,108.16006843621533,98.73021480937798,105.97923112412293,124.03245673825343,113.53278956376016,141.49946669737497,149.8512784174333,155.85123730512956,146.21790111996233,141.90567162198326,136.36281392537057,144.78241529626152,136.0664276406169
9,Brighton,155.07103730763853,29,90.86182229220867,217.15920716524124,165.96976537257433,28.004757314920425,130.77397048473358,,192.3148039728403,102.04542279243469,202.53300424665213,167.19650775194168,50.07255468517542,103.17407958209515,165.93347936868668,48.48585659638047,189.62498176842928,96.53770793229342,138.88749657198787,350.91722775250673,365.2989748865366,45.508215203881264,104.92303110659122,311.94125805050135,47.85038307309151,428.2770451158285,109.8068873398006,34.89318955689669,230.81780709326267,209.2407390475273,100.85639301687479,67.15351277962327,137.5140544337531,139.37798785045743,136.94028736402592,137.1447444272538,140.82271065562963,136.22272883852324,136.22272883852324,131.82584140449762,122.89924703848858,120.74790995878477,108.97144332217674,123.77393363664548,165.06445833171406,198.2920409180224,197.79576735260585,183.67877557563284,219.57936726200083,204.40651501218477,217.29981790607175,174.71780331494907,172.948632373785,193.9310950382302,176.81434187106788,185.64867686169842,125.46142147233088
10,Arsenal,154.02547712437809,28,163.24702240526676,,272.7795569226146,116.66211616247892,224.76719468832016,,338.6117972433567,119.3483461625874,31.78624613210559,71.55629880726337,149.66558469459414,155.46280425041914,48.65230955183506,169.55349557101727,52.1846879273653,154.16371207684278,81.40800632536411,309.81037784367794,137.05490697175264,151.48660354316235,177.8916697949171,89.57221042364836,68.39671703055501,113.40067945420742,171.5457061305642,284.14942072704434,202.70053036510944,278.8210816681385,139.97920341789722,38.05507319048047,205.9026722641041,183.9925428852439,183.9925428852439,150.45533319935203,155.9559112880379,144.40517954838774,144.40517954838774,96.07859826646745,104.44612316787243,107.84586346708238,121.61376567867894,110.2375026171406,135.9620982160171,150.69586445267,147.68471578136086,168.63587942595282,157.87062915042043,155.70208093461892,122.96713120304048,128.71559772950908,150.82606726015607,154.96087735518813,186.5023558959365,198.43277029382685,185.87516924987236
