,Team,Threat adjusted,Threat,Creativity adjusted,Creativity,Threat allowed adjusted,Threat allowed
1,Man City,260.2697012733498,263.7255270898874,197.08423172325305,199.8329568354945,104.0558902587896,100.09729006061596
2,Liverpool,213.28368469158406,213.48706802417493,161.70044704473617,160.56809241016364,104.66079865535352,99.58186511207244
3,Chelsea,193.8349801084376,194.7832566429058,137.12250197427076,136.48180857878822,112.46359743264004,108.07545115079346
4,Man Utd,174.9363899853369,169.75405921774177,107.39699211052417,104.82677695951585,108.53621330266307,106.90017754918543
5,Everton,168.62021046624847,162.79040182747974,122.54560275896849,119.7821280726328,130.0089085342434,129.02412803458242
6,Wolves,159.41744121693554,156.6603849385062,111.28137920335226,107.18521958795087,107.60450670135971,110.98348628729582
7,Leicester,156.04227225473528,166.64986450803178,114.38821970887622,121.78576305380156,118.99981104700295,129.72596923274727
8,Southampton,147.2601433687757,146.1576771280118,97.37727712365984,97.31760683694276,158.71441677911832,157.1420999436543
9,Arsenal,138.88581249785167,139.20539119280875,98.37294780693377,98.36409561934748,158.29225126254573,154.02547712437809
10,Burnley,138.48636090801324,141.4807033275479,91.66013892156239,94.60587465557559,142.00733419438623,140.25213131681085
11,Sheffield Utd,135.45103104457397,134.06381568804915,105.64747287426789,103.18322228600404,136.74779524826684,136.91098867982095
12,Spurs,134.79273248432943,140.1835222086259,93.79130076502177,96.96009661038887,147.30931066868774,155.10801154285156
13,Brighton,133.960689046863,136.01512984083644,95.01661303745203,96.17450084729956,156.88511288760736,155.07103730763853
14,Watford,132.2203875801491,129.10223565674548,85.32378213119453,83.31772298712669,149.22661720978826,155.1313895764279
15,Aston Villa,127.74939037740528,127.41791498182076,90.12793790252275,91.91875197991196,222.52797293387115,222.97235233875523
16,West Ham,124.77640344627001,121.924688512909,96.82193800674172,94.5671193654938,200.67081158304464,199.00437458257736
17,Bournemouth,124.34511510924705,120.71548764240639,89.98368380817136,86.71634203979167,178.83515548585436,175.58991801122139
18,Norwich,115.06195566972137,112.47156756962168,87.70474776989755,84.25445541546776,193.23233629318844,189.36158291802838
19,Crystal Palace,93.01684313602911,95.80426694311458,70.04001583930301,71.72325588441615,147.64131720365526,153.84452889255923
20,Newcastle,91.14491441875799,90.4834359370429,66.32251150866556,64.16551267953011,183.73174879945435,182.33598263870024
