,Teams,Creativity av,Matches,Creativity GW29,Creativity GW28,Creativity GW27,Creativity GW26,Creativity GW25,Creativity GW24*,Creativity GW24,Creativity GW23,Creativity GW22,Creativity GW21,Creativity GW20,Creativity GW19,Creativity GW18,Creativity GW17,Creativity GW16,Creativity GW15,Creativity GW14,Creativity GW13,Creativity GW12,Creativity GW11,Creativity GW10,Creativity GW9,Creativity GW8,Creativity GW7,Creativity GW6,Creativity GW5,Creativity GW4,Creativity GW3,Creativity GW2,Creativity GW1,Creativity GW29 6 - average,Creativity GW28 6 - average,Creativity GW27 6 - average,Creativity GW26 6 - average,Creativity GW25 6 - average,Creativity GW24* 6 - average,Creativity GW24 6 - average,Creativity GW23 6 - average,Creativity GW22 6 - average,Creativity GW21 6 - average,Creativity GW20 6 - average,Creativity GW19 6 - average,Creativity GW18 6 - average,Creativity GW17 6 - average,Creativity GW16 6 - average,Creativity GW15 6 - average,Creativity GW14 6 - average,Creativity GW13 6 - average,Creativity GW12 6 - average,Creativity GW11 6 - average,Creativity GW10 6 - average,Creativity GW9 6 - average,Creativity GW8 6 - average,Creativity GW7 6 - average,Creativity GW6 6 - average
1,Man City,199.8329568354945,28,60.37690453231335,,153.11007127165794,182.12384022772312,170.15403732657433,,206.3447391614318,217.44547132402658,281.5204322338104,177.79875919222832,89.59628716111183,49.23858866095543,277.22399309277534,129.9536308273673,176.42728071659803,197.71304577589035,130.90223260223866,55.212304554879665,121.53282463550569,243.3011718094349,184.294075332582,397.4654586985707,128.53650338947773,285.12402130290866,486.7371119558811,200.31225997954607,223.0952650308609,295.3893158584833,238.2596980780363,236.1334666609764,164.92584397395453,201.7830985908707,201.7830985908707,205.89787991096577,190.47662106653056,170.3240462889274,170.3240462889274,182.13725527748466,167.55528186137477,150.03975660850605,153.35880437244973,160.24312861263752,161.23874792829156,135.29021985207996,154.18147668242455,155.49260911842188,188.7846779388686,188.39038973674178,226.7090091947466,287.57639041480917,280.4115717764944,286.87843672620755,269.86574625285965,288.1529453676194,279.98785292729735
2,Liverpool,160.56809241016364,29,176.57454945147038,16.138359904289246,173.86183384805918,120.01245114952326,330.8094531297684,126.75779238343239,74.5503343641758,196.9197615981102,157.9644251614809,269.03780959546566,141.7968813329935,258.0213764682412,,98.07279109954834,286.4415071904659,239.864619448781,68.8099842518568,98.63536693155766,115.117022767663,201.94353349506855,123.17226603627205,100.08212924003601,225.47201234847307,117.42356941103935,103.00306528806686,215.50284251570702,100.14327391982079,172.73777555674314,142.12224539369345,205.48564661294222,157.35907331109047,140.35503746320805,170.48527107884487,167.83570296441516,192.67326270540556,161.17116740594307,183.0484314200779,186.9688408759733,201.8891318080326,215.53916418924928,182.16785996531448,174.97427423174182,151.15688194831213,151.15688194831213,168.4686723475655,141.25713215519986,117.96005045374234,144.07038846984506,147.20175554975867,145.18276263649264,147.44264747326574,143.60448212052384,155.71375650664172,141.8221286808451,156.4991415478289
3,Chelsea,136.48180857878822,29,186.2981580197811,127.02774722129107,63.64377252757549,64.05756790190935,59.84884388744831,,206.66974186897278,156.7837029695511,185.39710082113743,66.0066906362772,139.57691006362438,80.05907759070396,60.72638873010874,150.79979728907347,115.90649224817753,167.3060692846775,132.4421925470233,69.45193111896515,195.08057907223701,161.78615801036358,70.70877999067307,163.98748736828566,197.52237424254417,289.84353970736265,116.50521541014314,236.5030463784933,133.54594577103853,174.84434843063354,109.35265887528658,76.29013080149889,117.92430523782969,113.00522939612468,122.73345499609907,123.12727468088269,135.7138317078352,139.08220399171114,139.08220399171114,114.75831180190046,113.76099418848753,102.17922609299421,119.06245586772759,117.87333628162742,116.10547853633761,138.497843593359,140.32890371357402,132.7959516706566,132.2428546845913,143.08955163384476,179.8214863985777,166.72559245489538,179.178407182917,189.65126814631125,191.4607449900359,176.7657924288263,141.17355761118233
4,Leicester,121.78576305380156,29,157.38148298114538,87.75152042508125,52.797737158834934,39.93943938985467,154.4468391686678,,206.62656426429749,144.07702460885048,78.01141310483219,169.31654773652554,167.06298179924488,10.237960144877434,101.38822067528963,83.34253206849098,376.59829407930374,130.33762201666832,203.47957145422697,231.85531720519066,113.015924859792,83.23933407664299,240.853482298553,64.6336417645216,6.767745316028595,171.36987075209618,70.95902431756258,24.18501134961843,212.00560573488474,58.95060393959284,54.11796607077122,37.03784979879856,116.49059723131359,114.27318750259776,112.64983628255625,132.0696380455047,153.2568951137364,129.22208194310466,129.22208194310466,111.68235801160336,101.5599425882101,151.32442275062203,144.82793513064584,150.8973667398095,187.83359291652837,189.77154361394545,189.75434394863746,167.13020865184566,156.17954527648786,123.39424092012148,113.31333317793906,106.30384975423415,96.46146263306339,91.65348320578535,90.7063102349639,98.59801369408767,76.20934353520472
5,Everton,119.7821280726328,29,37.27464322000742,151.57435536384583,259.87033918499947,134.81695037335157,181.29016067832708,,189.11459185183048,181.0588277876377,163.02445884793997,20.84067016839981,207.71377086639404,127.72585693746805,32.02333562076092,12.185747735202312,115.09130476042627,94.65021640062332,124.98619481921196,55.80030791461468,180.7660661637783,67.62836072593927,95.56943587958813,138.87792583554983,116.54422990977764,215.5343361198902,100.63006896525621,114.20965362340212,126.67009830474854,116.39001592993736,73.54414984583853,38.27564027160406,158.99017344539365,182.95420420666537,184.8625547873477,145.02427661791444,157.17374670008817,148.24636274327835,148.24636274327835,122.06448670476675,93.91897336269419,85.93011434810857,98.2317053868125,84.44377604561548,72.45618454180658,97.24663963230948,106.48707513076563,103.23343031729262,110.6047152231137,109.19772107154131,135.8200591057539,122.46405957266688,130.22760838891068,135.41105212643743,131.66306714216867,124.49638713151217,94.95327115679781
6,Wolves,107.18521958795087,29,50.29519451782107,111.85004524886608,197.41905853152275,91.23593308031559,119.33310851454735,,179.98455241322517,125.51928851753473,98.15738536417484,111.43944459035993,22.158145532011986,234.384848177433,137.3122289776802,51.6088193282485,164.63083550333977,178.37538570165634,76.98992136865854,116.49932973086834,87.67066076397896,114.40628711134195,143.20194125175476,5.731265991926193,103.9965897798538,116.36285912245512,168.86967718601227,22.175652906298634,131.6028719767928,41.330123133957386,24.53505303710699,81.29486069083214,125.01964871771634,137.55699771766862,135.27488773688674,120.94495208002627,109.43198748864233,128.6072774324566,128.6072774324566,121.49522352653246,109.17681199498475,120.25572035151224,131.4117105367283,140.55033984283605,120.90275343507528,112.62915873279174,123.09540336330731,119.52392098804314,90.74990103642146,95.25101243828733,95.22826733688514,108.76143674055736,93.38966437305014,91.45648616055648,97.38962901756167,84.1460395604372,78.3013731551667
7,Man Utd,104.82677695951585,29,54.81759235262871,48.180742003023624,123.33926633000374,58.84073190391064,60.40636710822582,,105.60133280232549,127.4342380464077,155.3230408579111,63.06778835132718,148.64203771576288,129.80992645025253,138.1155289709568,71.59820012748241,87.26832084357738,57.00165070593357,101.2458024546504,123.0056231841445,264.1464564949274,59.491936676204205,233.59534218907356,79.1861955076456,90.64409211277963,89.5301079377532,121.94615323096514,21.11398633569479,170.7452037371695,77.77025606483221,21.03075496852398,157.077856361866,75.197672083353,87.3004463656495,105.15749617479742,95.11224984501798,110.07913414699335,121.64639403733115,121.64639403733115,127.06542673210303,117.75942041228215,106.41696707655986,105.40594413566093,97.50657159214218,96.37252104779084,117.37767563511927,115.35996505990624,139.74780195082226,143.44522608444095,141.67827436079583,136.0990218197306,112.39897127573688,106.00264621898532,95.52762314366798,95.2916332365324,83.68941037915647,94.94736844984193
8,Sheffield Utd,103.18322228600404,28,84.45771187543869,,152.12357081472874,116.05492122471333,59.678880125284195,,67.388607095927,98.4072607010603,187.34272299334407,59.271423891186714,119.26851831376553,117.27993451058865,64.69141729176044,173.23528230190277,54.75393645465375,79.5097067952156,136.21672093868256,115.85324499756098,72.8129306808114,246.29982188344002,113.64385075867177,86.26178409904242,18.926269188523293,97.19609245657921,50.80109164118767,184.39429253339767,101.64991188794374,53.42466868460179,109.43022994324565,68.75541992485523,96.35182530619204,113.49932715917627,113.49932715917627,98.02396933858593,98.55956885342796,108.15974458431204,108.15974458431204,107.71021295028429,120.18154988375802,98.0834187939763,101.45646594464779,104.28116638213396,104.04338479662935,105.39697036147118,117.57439362506072,127.38937934239705,128.51472555970153,108.96631693467498,105.85679151117802,102.18815167124073,91.87056344623367,89.87157363444567,84.39872106537223,99.48271452449262,94.74260243587196
9,Arsenal,98.36409561934748,28,155.9735824353993,,133.5673276335001,291.44867956638336,144.36940625309944,,56.807662546634674,35.155896842479706,53.31730954349042,72.53712341189384,74.18857961893082,79.04194677248597,82.85180246457458,11.478901654481888,113.38068749755621,84.34777315706015,38.325196504592896,52.69674509763718,90.1152579113841,83.51751640439034,69.66622434556484,87.98517696559429,116.69597029685974,145.32162100076675,148.26527126133442,93.46867185086012,166.3055032491684,46.66409008204937,113.3919458836317,113.3088070899248,136.22042587958276,119.11104706426461,119.11104706426461,108.93934636066358,72.72932970275481,61.84141978931924,61.84141978931924,66.18210977564256,62.23594391097625,72.24650690332055,74.21494852751493,68.23771800845861,63.84685106265048,65.05742697045207,77.06386276210348,69.77811890343825,70.38435287152727,83.44614850357175,98.88362782076001,108.57529671241839,110.23382262016337,126.34036910409729,119.45352129017313,118.90285055463512,113.5673815694948
10,Southampton,97.31760683694276,29,31.489093974232674,79.34545688331127,178.98308057338,58.472884260118015,44.74824443459511,,113.0601298995316,61.46794185042381,180.0828890874982,140.5552266165614,92.31317415833472,50.23993831127882,133.4775611758232,44.70725618302822,124.0480087697506,191.1928988993168,176.12613197416067,161.48208379745483,2.872695028781891,5.1992688328027725,39.47437480092049,68.73592622578144,23.98782866075635,54.318586364388466,80.21089471876621,150.67576467990875,70.85757190361619,197.60634116828442,179.75823506712914,86.72110997140409,84.34981500419478,89.34628965022664,106.13586168425779,99.73121935812135,105.37126767449081,106.28654998727143,106.28654998727143,109.6894551999867,106.8960075887541,97.5568608691295,105.9964729162554,119.96529921889305,138.50565679992238,116.73817910874884,110.15351455037792,96.05790888890624,75.64841344331701,50.29202955774963,32.43144665223857,45.321146600569286,69.56722924175362,74.7977620922029,96.27616458262007,122.2378989836822,127.63831958485146
11,Spurs,96.96009661038887,29,30.438745580613613,64.6423939615488,21.991565451025963,209.42286178469658,42.02931672334671,,129.53768484294417,150.73069874197245,96.03160247206688,83.85219164192677,93.80499012768269,82.18123447149992,22.45263122022152,98.92054293304682,238.79570215940475,23.006853088736534,276.22021241113544,193.37269738316536,106.65405355393887,24.339256994426247,66.32380587980151,29.265888780355453,41.43099104985595,119.00841519236565,133.73453821986914,96.40696495771408,54.0772408246994,101.75558719784021,7.454203255474567,173.95993079990149,83.01042805736263,103.05908691758911,108.29062166934212,118.60072603449225,99.33108075832327,106.02306704968214,106.02306704968214,88.1755581125617,79.54053214440744,103.33454875896375,93.1936590000987,123.59619604734083,142.1281065326184,156.16167692157128,143.73146259846786,114.98614655186732,116.02931916713715,76.89778227359056,64.50373524179061,69.01714935277899,81.02843401332696,78.98733983747661,91.06895624039073,85.40615827466051,94.56474420924981
12,Brighton,96.17450084729956,29,28.953248541802164,125.90026818215847,95.61096876859665,50.2851877361536,168.9033403992653,,105.09778261184694,67.3039136454463,41.968172788619995,134.50747318565845,91.34232737123966,90.9271514043212,32.0369727909565,84.42806405946612,64.54426422715187,117.17502493411303,79.84659373760223,78.47055122256279,114.51973840594292,208.7548829615116,24.446656368672848,120.48580218106508,86.40927765518427,59.65896500274539,108.85168667882681,113.88984899967909,78.66417430341244,100.50658546388149,231.73006922006607,83.84153172373772,95.79179937330385,102.18357689057787,88.19489432498813,94.6776450611651,101.52050166701277,88.52447016785543,88.52447016785543,76.34766853104036,79.20169360004365,82.96437550646563,80.07563413120806,78.15967852560182,76.08357849530876,89.8307060978065,110.55184258148074,103.86890793840091,104.42070414622624,105.51448479915659,102.37922042918701,101.43454514133434,85.62370614769559,94.65995913681884,91.33008968395491,115.55022161143522,119.58064939826727
13,Burnley,94.60587465557559,29,145.93768958002326,29.980914294719696,194.42656692117453,86.80424392223358,224.76719748228786,,66.49869382381439,14.215902239084244,43.77225041389465,223.21359366178513,28.515957668423653,53.17336171865463,12.980951368808745,111.50988936424255,76.89511105418205,43.4545136988163,75.85602197796106,52.54435045644641,199.8870383016765,8.033951465040445,217.62576624751088,99.96286481618881,47.42927327752113,156.93983063101768,223.10456559062004,28.726791962981224,59.79973860085011,71.03681825101376,82.14511852711439,64.33139769360423,124.73588433737557,102.78225311388572,105.08080913374822,109.87864692384998,100.16393254821499,71.56495992094278,71.56495992094278,62.645336178441845,78.86100069930156,84.38147747268279,54.42163081218799,62.31164153044423,62.20680632007619,93.35782080888748,76.11183115902047,99.5669403579086,108.98499887747069,104.24720742739737,121.64645412315924,125.51604200464983,128.96484875430664,102.6605108131965,97.839503052334,103.62547726059954,88.19073843769729
