,Teams,Creativity av adj,Matches,Creativity GW29 adj,Creativity GW28 adj,Creativity GW27 adj,Creativity GW26 adj,Creativity GW25 adj,Creativity GW24 adj*,Creativity GW24 adj,Creativity GW23 adj,Creativity GW22 adj,Creativity GW21 adj,Creativity GW20 adj,Creativity GW19 adj,Creativity GW18 adj,Creativity GW17 adj,Creativity GW16 adj,Creativity GW15 adj,Creativity GW14 adj,Creativity GW13 adj,Creativity GW12 adj,Creativity GW11 adj,Creativity GW10 adj,Creativity GW9 adj,Creativity GW8 adj,Creativity GW7 adj,Creativity GW6 adj,Creativity GW5 adj,Creativity GW4 adj,Creativity GW3 adj,Creativity GW2 adj,Creativity GW1 adj,Creativity GW29 adj 6 - average,Creativity GW28 adj 6 - average,Creativity GW27 adj 6 - average,Creativity GW26 adj 6 - average,Creativity GW25 adj 6 - average,Creativity GW24 adj* 6 - average,Creativity GW24 adj 6 - average,Creativity GW23 adj 6 - average,Creativity GW22 adj 6 - average,Creativity GW21 adj 6 - average,Creativity GW20 adj 6 - average,Creativity GW19 adj 6 - average,Creativity GW18 adj 6 - average,Creativity GW17 adj 6 - average,Creativity GW16 adj 6 - average,Creativity GW15 adj 6 - average,Creativity GW14 adj 6 - average,Creativity GW13 adj 6 - average,Creativity GW12 adj 6 - average,Creativity GW11 adj 6 - average,Creativity GW10 adj 6 - average,Creativity GW9 adj 6 - average,Creativity GW8 adj 6 - average,Creativity GW7 adj 6 - average,Creativity GW6 adj 6 - average
1,Man City,197.08423172325305,28,83.6221066518401,,174.7453073603423,135.49799326375995,162.41895631238387,,223.14326414565525,209.26519304510052,186.9336958445117,204.02645353922048,96.8903207986358,65.68646956333693,316.39716106399453,124.91786201642658,244.35205810330436,208.7154239126231,106.29268050977709,75.63755909512477,180.69328904314446,229.2346877443481,122.37396891872524,382.5128453439782,171.47341845656493,327.1836268687323,464.54037448349163,156.6189625917638,213.00428901127728,249.0714186391106,227.42858236661183,175.68051955730095,164.78213679651367,182.0007349952923,182.0007349952923,186.88092602510528,180.4463139475846,164.32423282274345,164.32423282274345,179.86654897580001,165.808660471021,175.37838751415313,176.15988257638688,177.72694252824377,179.3854574502084,156.76814544673337,174.15428306805362,153.82460153729045,182.79083844251633,193.65429476698094,235.57863939591553,282.88648696930676,270.78386611054265,285.88891945930135,263.64868167515675,272.9745423268312,247.72402444159266
2,Liverpool,161.70044704473617,29,148.88715050381012,15.40240012388336,129.35115777326584,93.83462399681552,311.6836681348869,94.30630540748359,99.45346530681823,272.73417598610314,150.7834752105904,290.9401773735675,189.16335303577816,294.48111650659007,,93.6003645190609,241.5266521935898,275.2478580728401,65.69759232862454,94.92471365958505,170.27305047454524,134.09346798949448,117.57294279092709,138.61390460609746,257.33236077646677,126.98302206539,141.10804648556538,174.98841947237432,105.71606838663199,166.04409953490523,133.90543211138595,160.66389947027204,132.2442176566909,124.00527012385889,166.89389943422884,170.46595234044963,203.31687790324165,182.89682538672352,216.25929390324123,215.2837771052817,210.08252313986281,230.82658695023773,193.28615610941392,177.57971621338174,156.8783718747076,156.8783718747076,163.62722245311318,142.96827088600273,120.1959453082123,152.13507338285268,157.47812478382016,152.61729078565688,159.4331160328035,157.45697029875433,162.0286694535556,141.4575146760421,147.07099424352248
3,Chelsea,137.12250197427076,29,213.77962734020394,107.10942985525946,60.750572082353855,88.71983114146101,68.30579160085092,,198.66118501955717,127.30844782090664,195.71411860154356,63.0210964227442,134.16823432327826,75.43045319559732,57.96581046874737,127.15395386634171,133.00424965283156,111.09368375304228,98.53543221543849,102.72844005739977,187.74166594653232,154.40820225598898,74.64359740239944,133.15792447485114,186.10259640457687,276.73342637432694,173.21831057803428,315.5055938858813,144.41792106681507,136.70626285697583,124.80474881321436,105.6619497766978,122.88773950661441,108.47587625339817,123.24332437777885,123.62174510117724,131.19647896481345,132.3839225639379,132.3839225639379,108.93469347213623,108.90894447970874,98.45729965492337,106.46939754330644,100.53059719199979,105.08026166896686,126.70957091526435,131.25194564687223,121.52517027180022,125.20254372543502,139.7970710902914,168.79790214311262,166.37734291502963,193.22690818667834,204.8559621307476,205.44735186110174,195.231043929208,166.71913116293646
4,Everton,122.54560275896849,29,51.0640345849108,209.93071784817755,249.80023232746322,129.745149318793,173.0227612874442,,153.561146298583,134.70563654510042,155.65058695239526,30.826062020986466,168.66368926854412,134.83357292226532,30.78241519618626,16.87727955977182,157.66821246338267,140.72460638816978,142.64738333725626,43.62881402656191,170.31505612428367,64.55402374698157,91.24666871761966,103.32354202404872,123.0297083064594,318.8033186647771,108.8223627671083,96.3012503265028,168.98355097406866,77.28467757933399,70.19030616583142,36.835714267078465,161.18734027756196,175.1276072709269,166.08091878829654,129.5852237372171,136.07164706217557,129.70678233464574,129.70678233464574,109.24366048424628,89.60560098669156,89.94187190518944,108.25829596638668,103.92224497783867,88.72145182855479,111.97689198323769,119.92301601443928,108.85275872347881,102.6192479961253,99.3496354909925,145.21205293069502,134.96327070449914,140.25447513441932,153.21062217716081,148.87081143637505,140.06424441293706,93.06964367998728
5,Leicester,114.38821970887622,29,104.50361289130727,68.61063869095958,78.09472090267977,53.2809904021226,211.58294367270508,,153.72773151384402,152.0946538924474,73.50117465767205,137.48512424737015,124.29289188144381,15.221654702906294,149.96636641142692,65.1633650065688,250.06679054298382,124.3938180460729,233.49552899073882,221.36810921533535,108.63650070730647,80.10787811964695,226.92851167232487,68.23038857633013,10.062188254302097,139.15242359695887,67.73327775046343,33.496278322307475,178.762514908053,63.74977254034681,74.13838074295968,49.41014069782678,111.63343967893638,119.56527984579309,120.3803691735785,130.27876973102693,142.11408664424712,109.38720514928063,109.38720514928063,108.76031096554443,94.271762817898,123.69936546544996,121.51748109856709,139.71792061678295,174.0756630355211,167.18735208483437,169.67810427034738,165.8217244585709,156.46115288028045,119.22226275754099,105.51964848781158,98.70244466167107,90.93384469544782,82.90617856806917,82.15940922873862,92.8387746435149,77.88172749365953
6,Wolves,111.28137920335226,29,48.020257836805364,106.76542207427552,154.35684339144788,104.12803701292884,165.27654083290156,,267.5984932469233,118.26237701701862,79.70384763331283,106.3574567269292,32.944418162615364,346.68567797077753,107.36087175015123,49.26271926019931,157.18430447580582,132.70918722119336,83.25767078112598,98.23189861231928,58.21460454468835,109.9729857195851,116.28005028840376,5.399912216896502,153.8244835996562,111.05634812907952,162.51681573600075,30.379319803721135,151.01605526938206,43.6300707240267,33.98108660372728,92.78224025531698,141.02426573254706,152.73128559591595,148.22102318908884,140.22112541166908,128.3571889366168,158.59204512626283,158.59204512626283,131.88577487680078,120.38583191733092,133.29924139107973,137.6911964734571,146.0767385765422,104.66777535013249,96.47673081588867,106.59510855911965,99.7777328612193,78.55952036050316,90.32065583025819,92.45806408305157,109.8417659482703,96.57615496229299,102.36548912578935,108.73718221031106,88.76328271098959,85.7175980653625
7,Man Utd,107.39699211052417,29,81.08234946616561,55.28804567830049,117.71460930772932,80.6082878166891,80.58478324405408,,111.47785850488903,189.46742724339884,121.44305859385824,60.62387970843191,156.91370183152927,105.40572734997329,131.81702807155054,82.15989199344268,129.08119791994272,54.41039637497259,67.22869772334097,133.01951082991707,252.1986656810812,50.16342931180787,182.6421416425361,117.73291829596599,73.60304963108565,86.06077104949023,90.726502518123,24.09750058366034,160.8735509633798,74.84454631075019,28.055963497373355,215.1872800617615,87.79265566963794,105.85683529917681,116.88267078510312,107.3675491852202,120.08511818769357,124.22194220534675,124.22194220534675,127.61180379979034,109.72721459146432,111.0002378124784,109.96465725690184,95.0171565722038,99.61945381886112,119.6830600871162,114.35031630684374,123.2771402606093,133.8308939141082,134.89328589873233,127.06682926866118,100.15480207483479,95.81048062014355,92.1823821736175,85.03432017608152,77.44313915379615,98.9642239891747
8,Sheffield Utd,105.64747287426789,28,66.03529518440847,,145.24276451481686,97.8571746424911,57.433766240746124,,99.67651544127074,94.59392966095402,139.38078060745016,88.12391682074045,176.41365239137085,111.93160200590276,61.76531511530354,115.03076815563647,42.810683311240524,64.56192300012286,181.71917061975984,160.4569244513505,69.50290685448431,260.0059673971923,84.54968720905694,82.91909640977642,18.06317200897742,144.50977899011113,58.29493192506772,173.73351618643636,139.25430715894754,60.97384758806078,105.31347493514211,57.97437165268294,93.47324094744788,105.69748851795482,105.69748851795482,96.1776805689421,109.27042686042206,118.35339948794815,118.35339948794815,112.03486610028698,115.44100584940071,99.34598963336576,95.41899066326283,96.30324370132764,104.39079744223562,105.68039606543242,129.8429292723584,136.79942992199446,139.8589588236034,112.58295905513965,109.92510147826643,108.057105656697,93.67836378823768,102.79580044655275,99.13825897626684,113.67997613062761,99.25740824105624
9,Arsenal,98.37294780693377,28,116.04250929329558,,153.2702944023994,236.65647839849134,152.403306053382,,77.8231042440201,38.017938365085,51.31151734881434,100.4640287068832,101.63392237200702,66.64794140371666,95.0735511483709,16.97878866056792,84.35389684060587,80.53258077224896,29.96547749143134,49.65007697152374,102.84900471139868,111.41608540158404,67.04538750624712,95.14805012390408,98.39770537005909,201.2706710335021,98.45031460896452,89.20620753489787,158.74537384554404,69.3795107817128,119.7020053001752,92.00680990331229,129.03560512611224,118.2471064686987,118.2471064686987,109.44606218611268,86.94230284836529,72.64974207342105,72.64974207342105,75.52481655747951,72.01829160672666,77.5253548553586,74.20344686625289,62.258706052823605,59.42572864745811,60.72163757462942,76.46118703146543,73.57643547573899,76.01234703434818,87.4177183474528,112.68781735778252,111.95470234071017,108.25305602959581,123.53638708614528,119.24163052911341,122.79234718413277,104.58170366243445
10,Southampton,97.37727712365984,29,25.56916057738972,59.032085908368146,118.84739050638495,61.726795911979664,66.53105850245615,,108.80681839482102,82.00097121549953,205.52952227485792,134.16568639801025,88.84036118675131,68.82571436911573,88.63105823234058,33.26167232996348,100.72704721624154,149.48877060036466,168.09422847342202,155.22457151452994,3.296455956638291,7.69039489655079,45.0523058356193,91.6967859705903,32.86189233576071,51.849302222170664,67.63359493843957,162.9422785138874,98.13784725653595,188.6682722685658,267.262007809707,91.54698496917281,73.41888496689994,82.82418673991825,107.24042613433319,109.79347544960409,114.31240299539938,114.69484563984264,114.69484563984264,111.33221894609589,103.20900246517321,85.74192328873714,88.29577065579622,101.504748536908,115.90455806114369,101.68212434852667,97.4202447762912,88.14112121285417,78.50912377455843,55.97040108494823,38.741189536221675,49.46404603318856,75.33935996941132,84.18695020623076,100.3488645892267,139.41555050155105,146.03183095938473
11,West Ham,96.82193800674172,29,147.15413288324717,255.71529847798163,72.40333243652269,13.251408418660986,112.2042664692712,109.31533241431325,28.3208816425175,181.9672874828296,48.15187514160392,124.5859936985318,75.00858477121386,74.44389154300829,,78.93378995527776,31.451785114450697,65.5317398445063,153.47936866827163,59.2505514222728,45.800016763513476,62.986476335931926,270.5188295491489,41.157857805150414,106.27985558115762,89.95592113920075,45.13089256941198,33.141638493285086,128.0728300376063,179.1674548240374,93.49160357185923,80.96330514072531,118.34062851666614,98.53508664321122,86.24375147735255,82.20184192819941,100.7576061415112,94.55832585850165,88.7464190466175,97.18190376541088,72.09598670401438,74.99263082116478,79.80819331612143,77.18185442463124,72.40787529471545,72.40787529471545,69.74998969149114,109.59449709727419,105.5321834240482,97.6655979095292,102.7831595290172,102.67163883000028,97.69749918955914,73.95649927096869,96.95809877411652,94.82672343923348,93.32795410615422
