,Teams,Threat av adj,Matches,Threat GW29 adj,Threat GW28 adj,Threat GW27 adj,Threat GW26 adj,Threat GW25 adj,Threat GW24 adj*,Threat GW24 adj,Threat GW23 adj,Threat GW22 adj,Threat GW21 adj,Threat GW20 adj,Threat GW19 adj,Threat GW18 adj,Threat GW17 adj,Threat GW16 adj,Threat GW15 adj,Threat GW14 adj,Threat GW13 adj,Threat GW12 adj,Threat GW11 adj,Threat GW10 adj,Threat GW9 adj,Threat GW8 adj,Threat GW7 adj,Threat GW6 adj,Threat GW5 adj,Threat GW4 adj,Threat GW3 adj,Threat GW2 adj,Threat GW1 adj,Threat GW29 adj 6 - average,Threat GW28 adj 6 - average,Threat GW27 adj 6 - average,Threat GW26 adj 6 - average,Threat GW25 adj 6 - average,Threat GW24 adj* 6 - average,Threat GW24 adj 6 - average,Threat GW23 adj 6 - average,Threat GW22 adj 6 - average,Threat GW21 adj 6 - average,Threat GW20 adj 6 - average,Threat GW19 adj 6 - average,Threat GW18 adj 6 - average,Threat GW17 adj 6 - average,Threat GW16 adj 6 - average,Threat GW15 adj 6 - average,Threat GW14 adj 6 - average,Threat GW13 adj 6 - average,Threat GW12 adj 6 - average,Threat GW11 adj 6 - average,Threat GW10 adj 6 - average,Threat GW9 adj 6 - average,Threat GW8 adj 6 - average,Threat GW7 adj 6 - average,Threat GW6 adj 6 - average
1,Man City,260.2697012733498,28,83.62210819969995,,277.0506840313755,164.20222888323403,311.1847919621526,,310.6893466441449,238.64359981304779,251.9433720577102,206.27354773737326,117.47146391619599,264.36136374425394,409.88684049579905,162.9832120064376,287.9711949052033,270.4723102799474,201.7810938220702,170.20290562041217,220.6049508268333,317.1783648295519,215.88983674034316,387.1045579156013,215.96085327212333,356.6704615273692,633.620112799138,183.3759788825328,220.37752743986528,264.4980597093161,306.6622467431933,236.8686208488679,230.89879325560912,258.95233723194417,258.95233723194417,247.15614784961045,239.36768702177076,231.5637823187877,231.5637823187877,248.09669796073004,235.486633326295,241.4912704675438,252.19106422463952,266.2426692089519,250.54959285497827,219.002611243484,244.7018033806697,232.68824368652633,252.12695162580198,254.49024486747751,285.56817085197036,354.4040311806878,332.10363352285134,332.8515819727716,312.41716560505745,327.53406451690245,307.56709107048556
2,Liverpool,213.28368469158406,29,159.74645435613053,19.663548148095597,187.62663858050698,167.06661586699659,364.3822584891486,193.43030244439157,214.40531855240678,277.9074718954817,166.62846037633582,375.18896587566695,198.93848624058162,430.2416007192047,,154.67533301777698,259.06376146664576,277.22147597758976,132.60538028801358,164.6256465574595,197.00463658023236,159.5304026843143,209.1302462903345,142.94822203465415,427.8378204840546,213.12320325213207,141.10804546488035,238.1445784756507,126.73827901312998,268.0166239707436,143.3908549613105,174.8362239920676,181.98596964754498,191.09578034692436,234.13643430482205,230.6367379374602,265.3237962722386,237.74983423081073,277.2183839432796,267.26338635417466,264.1227679493686,282.5549372162443,242.12433961830206,236.40553300444836,197.53270564795298,197.53270564795298,198.3418839257092,190.019631396324,167.64075573916804,216.84616243850823,224.92908855428698,215.61299003506167,228.71535266695105,214.9833581207503,235.82809177676526,188.4202641896412,182.03910097963046
3,Chelsea,193.8349801084376,29,232.81098510994426,172.06527603116055,176.14986007865812,130.2184466335273,92.1027432043651,,325.4904191278052,166.8138700212238,305.7797411607116,159.63392703087803,143.86596771830938,81.0253578844074,142.5839383550048,171.42328422230892,144.7769131741394,131.43563083149616,203.9995742770781,121.35881913182273,323.15499708927894,209.1414176300992,104.33193024983453,188.35071989756912,202.75922078708652,408.9053502866974,183.35238961429826,409.28372792715356,249.35097290206147,149.02435942356215,139.95746459718583,152.06711874702353,188.13962169757676,177.1401025161233,199.42584670438183,196.67319119641851,198.94777804388218,197.10154715722254,197.10154715722254,166.61713369508917,167.38536939527003,140.5515647308413,135.85184869761102,145.8741164574058,152.59635999864167,182.69153645435404,188.97789202231908,182.23706153493492,191.72290971261376,191.51618413094852,239.44060599009427,216.14017141093086,249.4972231271066,273.6670635691444,267.1126701568099,256.64571079182645,213.83933886854743
4,Man Utd,174.9363899853369,29,257.20611605328804,137.73681379199968,239.02100655551257,93.40445279366088,158.9687533392234,,149.5430717233051,211.20538284594366,245.08279876419766,68.78345609816928,225.2624474900841,162.10654342547934,146.1969977792704,170.48000627104182,241.66797592792287,140.96957720372876,122.71264130179536,143.8976496721116,348.7758846495089,54.05980267930385,352.80664867746617,117.73292328080416,78.97263127081861,109.00634586691743,95.10134403791464,125.94932983114535,179.35035589622754,219.34875198310235,152.52360897215158,325.28199139267457,172.64670237616497,164.97991350827422,182.87091100364054,154.49798592741666,176.47431837682052,176.99728339119656,176.99728339119656,176.43960440052408,169.65204163804043,169.0829044986613,181.11392468292124,164.02229031820642,160.98747469264512,194.75062250435153,175.34725523906192,193.8703673639858,189.997591710165,182.70759003833555,176.89237273746986,134.61328263553747,146.5948704941777,117.68548836397129,134.62145981435432,146.8799560979098,182.92589701886934
5,Everton,168.62021046624847,29,61.08859543809344,338.89761801582097,262.20921135960435,272.72245194663725,282.72184087606905,,166.66645679359115,145.42973823604456,193.37209404649846,127.88359059341921,233.81545726273816,155.73073220490394,46.767007991105075,38.653754330021215,279.61727985144057,262.3484725053794,142.64738227433307,63.54238517073552,198.26265748856204,110.28033257469885,100.1771850185885,171.02957235898486,141.10591478123575,349.47457413221366,136.83119914724278,127.76769013088976,198.56158358306092,83.44530689645732,79.4929788539129,119.44303965892156,230.7176957383027,244.77455287129456,220.52029887640745,198.13269541537662,191.64819630139345,170.4830115228659,170.4830115228659,150.49977005578492,132.70377273811434,147.07797037227138,169.48878402426473,154.29410485953056,138.9293803538358,164.17865527007862,176.11641831085822,146.20973583871623,130.98991914765045,130.7330078988009,178.3883727257139,168.14979633549407,171.06435592819255,187.46175568893796,172.86437811185002,162.59555545729623,124.25696637841419
6,Wolves,159.41744121693554,29,86.75198845185571,256.89834849879463,289.14684009076865,130.6695191822013,213.5820312799702,,275.71265659967906,205.13291774264627,168.88649921828002,117.63171894205787,54.083963884326444,354.1111168107975,142.09377472193626,68.76344531309624,181.0479232482742,135.5825525436573,139.18163717853753,107.63403917246096,139.69583185435053,145.61642116702401,156.92335617486336,83.61844313232574,176.41859833694286,111.05635132894437,168.96737842493062,208.31086807628063,229.70062191865594,140.53586246895054,42.568849910957205,92.78223961756304,208.7935640172116,228.52371889901,213.85507735225758,185.26922382747247,172.50496461115998,195.92647886629788,195.92647886629788,173.6566652200074,150.92841981508238,152.95532382008142,155.94712942034798,170.13007496938317,129.05056202966043,128.65090488506277,141.45973419405075,137.43897301514895,128.77828811326034,134.9844483063279,135.55483366574182,140.4334247608385,150.8824992457146,163.0120435363467,172.49828009245084,150.18998868811988,147.14430340288968
7,Leicester,156.04227225473528,29,160.18638119740552,111.53728374852071,106.98082145649607,70.38908282464222,227.34959784566163,,225.53488248928647,251.57570193644975,73.50117641262815,215.34845976151556,195.49525172780363,17.989268138782162,149.96636420735135,83.27598875913921,272.48736504744454,218.3043429761686,262.1810480256562,335.0446482532535,131.74396012463012,94.42558221240097,415.68119447491875,88.06284702778677,14.601826911080176,148.13953905874965,122.94009331158337,63.59104122209075,190.0941697974069,76.22631088051787,130.03179958575726,72.53986597219505,150.32967492700212,165.56122838350947,159.2218771608607,177.2831502116973,198.13417836222416,163.24079007774426,163.24079007774426,150.64603703075508,122.59608483453667,155.76044960700605,156.25309680944824,167.36739619242368,220.20995954483556,217.17289219771536,219.031157773259,242.8967960111714,221.1898800197744,179.92667650067838,148.77582496826108,147.30851383275328,142.16942366770158,104.57158622144959,102.59883019690477,121.83715897601765,109.23721346159186
8,Southampton,147.2601433687757,29,28.328375299412127,64.72882127227354,201.14711756026142,73.26464635979852,106.49820001163539,,108.80681884296415,104.985858095404,279.6460866823352,144.31932676722204,142.84980814145646,134.4351333238106,181.89989909109872,61.38823845516796,158.1336190565591,158.5003697525551,187.73940957505434,297.80506927231943,85.17775629968243,136.10622069867918,52.1957361641334,183.69167262538562,174.04296679422617,110.97088472208459,183.83453050671343,170.49388946493977,106.59193699958098,199.77642666171099,318.38157734112735,114.80376185690358,97.12899655772418,109.9052436903895,145.72478792539977,136.25348945989322,147.8510164235029,152.50717197553206,152.50717197553206,164.68935201688785,157.42308207684852,137.17100413921915,139.53451130344135,147.0161115423743,174.2444342004591,158.12407706855637,170.5770741091416,152.92076029373732,157.1193107725424,154.83657030907105,123.69753955069858,140.14033525187043,145.8716133795805,154.9376468521551,157.61843919154265,181.67487428269283,182.31368713849602
9,Arsenal,138.88581249785167,28,116.04251026334583,,153.27029525736347,245.4332036995381,156.26237357342623,,77.8231042440201,132.88581067490432,162.62094233543337,269.752446864094,107.56960493967135,122.37466523863445,102.15487027275371,41.65374000793559,133.30887394588433,92.17114418834491,158.38077993727552,152.4382609470199,118.14920661896738,137.59848896127806,151.24753965590887,102.70532654828602,104.64839174354053,237.68351022415757,170.41403242991487,96.02712975443303,184.43305454176635,146.528943624671,123.21768954396543,92.0068099033123,146.95288295209966,154.71595496411427,154.71595496411427,174.12964689856935,151.15238043859156,145.50442904945956,145.50442904945956,149.55972338758184,134.3543782764204,129.4690335448289,99.8721497655374,108.34067893180475,113.35127821653566,116.01700094090461,132.00779243312834,134.99757005146577,136.75326711145595,127.79786907916679,142.0054106253564,150.71621492718097,143.7876550593735,149.31857420701638,156.6225103864139,159.71739335315138,135.43794329967716
10,Burnley,138.48636090801324,29,324.03032991662224,50.150162656113416,261.3365755037275,84.10870872548116,216.0573524043621,,99.34395191072504,177.4304137155465,111.0880292486281,157.6656366082071,53.55269215001086,64.86344220150247,12.16887342604727,116.60519372749742,105.73501306323101,71.96674585926715,187.86772072822592,279.24971410417373,179.7329207407255,77.49524174794405,306.70237800035676,207.60235711461755,64.13590121500108,110.83663301437088,187.11197502867745,33.31491160009324,91.79260981731828,163.93677570789734,134.55493860694648,85.6672677890666,172.50451351950525,148.07119415265927,158.22750525141174,140.94901543549167,135.85634600624664,110.6573609724367,110.6573609724367,96.12818122499039,85.99064456031554,85.09847519608269,70.81532673792604,93.2011648342952,128.93221015140708,156.8595513705201,150.34122604059456,183.83578686344887,206.4417220726739,185.81975215380308,157.75090530550264,158.98074768682798,151.6173593288528,115.79906463167976,108.5214677305597,120.25797396255062,116.06307975833323
